arm,blocks,cell_id,checkpoint_rse_gate_pass,cohort,convergence_gate_pass,convergence_log2_ratio,cumulative_blocks,cumulative_i_swap,effective_sample_fraction,effective_sample_size,episode_coefficient_of_variation,episodes,episodes_per_block,gini,high_n_over_registered_ratio,i_swap,log2_high_n_over_registered,mc_standard_error,relative_mc_standard_error,schema_version,seed,source_accuracy,source_i_swap_b2048,source_population_risk,source_row_sha256,source_state_relative_path,source_state_sha256,source_walsh_l_w,source_xi_value,step,study_config_hash,study_id,tier_role,top_10_episode_fraction,top_10_percent_fraction,top_1_episode_fraction,top_1_percent_fraction
hard-factorized-cosine-6400,256,hard-factorized-cosine-6400-14c47274dde1,True,discovery-remedy,True,-0.08412782868696082,"[8, 16, 32, 64, 128, 256]","[0.0005405468191635409, 0.0005529993472459628, 0.00046330632846420015, 0.000431388983847602, 0.0005229869389320722, 0.0004933621670627124]",0.0003451523085239977,180.9592135314297,53.8170714438455,524288,2048,0.9755526627602378,0.6010695060953094,0.0004933621670627124,-0.7343962648478086,3.739562822210804e-05,0.07579751898032058,phase2-iswap-nested-mc-sensitivity-v1,100,1.0,0.0008208071812987328,7.742858979865061e-05,bd6ef95b39b78381bd422a812b0594ad6e0aa9c77a7f96460807fe94e5944009,seeds/hard-factorized-cosine-6400-14c47274dde1/seed-100/checkpoint_states/step-6400.pt,8c1277be23480329bb4c24fb79cfcf08cf1941e7e78e619887d3b597f73022fb,0.0001310785559745138,0.9998323917388916,6400,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,tier1_schedule_control,0.13218544662831958,0.9622761736362554,0.014913931490654057,0.9013882581207312
hard-rank-matched-constant-6400,256,hard-rank-matched-constant-6400-e4d3bef28141,True,discovery-remedy,True,0.017893751169218316,"[8, 16, 32, 64, 128, 256]","[0.005304256279085549, 0.005034704118868854, 0.005065994400661941, 0.004704727257687331, 0.004572627016231179, 0.004629694496110537]",0.0027104428326981712,1421.0526518696588,19.18186914607327,524288,2048,0.9922398664641907,1.3721519602722636,0.004629694496110537,0.4564402629912007,0.00012132952215262461,0.02620680959716781,phase2-iswap-nested-mc-sensitivity-v1,100,0.9974365234375,0.0033740391954779625,0.004324196607660841,e566d91cfe222e166ca4c29a2febe94ebaffe868fb13202853b1b45f8380deb9,seeds/hard-rank-matched-constant-6400-e4d3bef28141/seed-100/checkpoint_states/step-6400.pt,82da77c0a1a152167e690ffc37569b70b933f5d8af117ac25a1e6e1a5982c6be,0.007041820172443001,0.9941890835762024,6400,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,tier1_rank_matched_conditioning_control,0.015834263788835942,0.9937262491510302,0.00162544802118232,0.9483349446093874
h1-dense-direct-constant-6400,256,h1-dense-direct-constant-6400-452a4fe7bf0d,True,discovery-remedy,True,-0.00665810058515433,"[8, 16, 32, 64, 128, 256]","[8.43447343358149e-06, 8.546190593816563e-06, 8.558401509477286e-06, 8.391431833503968e-06, 8.38898719730852e-06, 8.350360854911754e-06]",0.06445854124544258,33794.8396724906,3.8097080609307947,524288,2048,0.897923117735058,0.9644394455901105,8.350360854911754e-06,-0.05223743648792978,4.178016753125635e-08,0.005003396650419113,phase2-iswap-nested-mc-sensitivity-v1,101,1.0,8.658253136673011e-06,7.4373149268456185e-06,ddedf52eb70603f3e580ea056aaaf9360e3b1ce91ee1921094e71ca80ee8fb06,seeds/h1-dense-direct-constant-6400-452a4fe7bf0d/seed-101/checkpoint_states/step-6400.pt,93ec91170e2b18848db2cfa3be7d02f37618dcfa0b99c95f5f2ac0268f3f0789,1.1237315419094043e-05,1.0010923147201538,6400,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,tier2_full_rank_direct_calibration,0.0037641851612217276,0.8416874217746274,0.0004788939008481631,0.28709099445102515
h1-factorized-constant-6400,256,h1-factorized-constant-6400-d57899ee3aaf,True,discovery-remedy,True,0.0002505680881702157,"[8, 16, 32, 64, 128, 256]","[3.2468873273109548e-06, 3.2336589885917236e-06, 3.195025398147397e-06, 3.2060301615666404e-06, 3.1915655211079737e-06, 3.19211988214673e-06]",0.07020368921732995,36806.95181237548,3.639270658835968,524288,2048,0.8718524528779317,0.9829720381466234,3.19211988214673e-06,-0.024777716979656698,1.594108842504132e-08,0.004993887765368258,phase2-iswap-nested-mc-sensitivity-v1,101,1.0,3.247416771046119e-06,3.2978566504512376e-06,e80f9ec273bd6fd8df6c53e53287792b3e6899845b673b13f6450188775eb9b5,seeds/h1-factorized-constant-6400-d57899ee3aaf/seed-101/checkpoint_states/step-6400.pt,d6b29a36cf78cf2c79a1485ade6e4760f00b96b312a555463c0c24c2d50ff000,4.843306551122087e-06,1.0006825923919678,6400,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,tier2_full_rank_factorized_calibration,0.004095425856954972,0.7907587021002797,0.0004636398139833435,0.27348896755710106
hard-dense-direct-constant-6400,256,hard-dense-direct-constant-6400-a8450bd9ed4e,True,discovery-remedy,True,-0.0041365709194758635,"[8, 16, 32, 64, 128, 256]","[2.933773280524351e-06, 2.9190941501584713e-06, 2.934826569929753e-06, 2.955568300373843e-06, 2.9602861052564013e-06, 2.9518103744458646e-06]",0.09428500197767457,49432.49511687105,3.099380430898825,524288,2048,0.8005075789441569,1.043081389532469,2.9518103744458646e-06,0.06085173282768911,1.1884574328149403e-08,0.004026198441144941,phase2-iswap-nested-mc-sensitivity-v1,101,1.0,2.8298945835558698e-06,2.928433520347682e-06,9e24b564669c48fb5dce19b769b86b8e03d661a45e648c06fa7a2eb3d53a2e17,seeds/hard-dense-direct-constant-6400-a8450bd9ed4e/seed-101/checkpoint_states/step-6400.pt,6917d052cc9db0155bd2ea059b1ddc183e12c19f6bc313daa472fd79307a78f2,3.4656476892165177e-06,1.0010201930999756,6400,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,tier1_dense_capacity_upper_bound,0.005232853834217969,0.6723530844700227,0.0009523404948130435,0.21100134908234355
hard-factorized-constant-6400,256,hard-factorized-constant-6400-6e9beb2f8bd9,True,discovery-remedy,True,0.020426685337270847,"[8, 16, 32, 64, 128, 256]","[0.04441580388238166, 0.044192832611547175, 0.043930695849849176, 0.04466010329530192, 0.04468054367359236, 0.04531766179673831]",0.03705045624034039,19425.109601335582,5.098065369964534,524288,2048,0.926886763277665,1.0845934347778416,0.04531766179673831,0.11715434262220717,0.000323039961420998,0.007128345740120432,phase2-iswap-nested-mc-sensitivity-v1,101,0.987060546875,0.04178308695554733,0.023914686621155905,cb3e3a87bbe75917bee4a2fb715ebe9362551a97ca93c908de0d4b182dc3926f,seeds/hard-factorized-constant-6400-6e9beb2f8bd9/seed-101/checkpoint_states/step-800.pt,239ad1d980365dff74487864bbd477530c553c9e4bd04d696fbedb4bfaddb407,0.036837499606555066,0.9733155369758606,800,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,tier1_training_limit_baseline,0.0018744516088196202,0.9116555877885055,0.00019585902810505832,0.4427671580436837
hard-factorized-constant-6400,256,hard-factorized-constant-6400-6e9beb2f8bd9,True,discovery-remedy,True,-0.004595011863050724,"[8, 16, 32, 64, 128, 256]","[0.01628624338251413, 0.01668010074229677, 0.015859786499543355, 0.016269271115925237, 0.01669423934025365, 0.01664115244839591]",0.01013173125933432,5311.945118493872,9.884331098084806,524288,2048,0.9746958809666342,0.8773344929817218,0.01664115244839591,-0.1888011047127355,0.00022531958816371115,0.013539902892087884,phase2-iswap-nested-mc-sensitivity-v1,101,0.9971923828125,0.018967853859066963,0.005801049432704643,4c49ec0b1d92fb153813d8ad61e02413175793c3555262c420bdcbddeaf52314,seeds/hard-factorized-constant-6400-6e9beb2f8bd9/seed-101/checkpoint_states/step-1600.pt,988e01d2e69e9ef3cbff2f3b716a06839496c1f4e2996b5e93af90956fe56eee,0.00980816224034343,0.9935907125473022,1600,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,tier1_training_limit_baseline,0.004788960436512452,0.9761837081435878,0.0004997173839298831,0.7966965513345914
hard-factorized-constant-6400,256,hard-factorized-constant-6400-6e9beb2f8bd9,True,discovery-remedy,True,0.03050003035196591,"[8, 16, 32, 64, 128, 256]","[0.006641601616652873, 0.006453915558703888, 0.006118327101375271, 0.006356524419607148, 0.006573906687756441, 0.006714365201136016]",0.0032727660503432026,1715.871967002337,17.451433065662094,524288,2048,0.9886235064312656,1.6525615440246917,0.006714365201136016,0.7247040009952191,0.00015442679921707903,0.022999463775213072,phase2-iswap-nested-mc-sensitivity-v1,101,0.9984130859375,0.00406300462782383,0.0027108430814550316,637cdf30d59178243a3596c975f6d07d79ccba9f917bb6f7fe9d205ce87d7540,seeds/hard-factorized-constant-6400-6e9beb2f8bd9/seed-101/checkpoint_states/step-3200.pt,16e6329a75e8952162b1b11d35a4774e8b1f3698d9c79c030dec754c55a57ba8,0.004814644403614726,0.9939379096031189,3200,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,tier1_training_limit_baseline,0.011411311551727225,0.9879864380842772,0.0011552939763443252,0.943593404379432
hard-factorized-constant-6400,256,hard-factorized-constant-6400-6e9beb2f8bd9,True,discovery-remedy,True,0.07699620680753916,"[8, 16, 32, 64, 128, 256]","[0.00249141921582245, 0.0028628791888492527, 0.0029364762176399706, 0.002659779461085184, 0.002693276025487916, 0.002840920188236334]",0.0015391846615877502,806.9760478545184,25.46950846216361,524288,2048,0.9922760780533431,1.302147578892072,0.002840920188236334,0.380892965608098,9.350313765980676e-05,0.03291297588963746,phase2-iswap-nested-mc-sensitivity-v1,101,0.9990234375,0.002181719057261944,0.0014160380007871933,3b76266df33d566964a0644dfdf1c1245f6c438277c95605653ea9cc65c4f9b6,seeds/hard-factorized-constant-6400-6e9beb2f8bd9/seed-101/checkpoint_states/step-6400.pt,91247d2b255f703a4b8f63360683b5e605e09d731befd08603f0b126c4cb1821,0.00243686788396318,0.9951310157775879,6400,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,tier1_training_limit_baseline,0.025688419793418186,0.9910307150367904,0.002601662414501589,0.9650288689543082
hard-factorized-cosine-6400,256,hard-factorized-cosine-6400-14c47274dde1,True,discovery-remedy,True,0.020426685337270847,"[8, 16, 32, 64, 128, 256]","[0.04441580388238166, 0.044192832611547175, 0.043930695849849176, 0.04466010329530192, 0.04468054367359236, 0.04531766179673831]",0.03705045624034039,19425.109601335582,5.098065369964534,524288,2048,0.926886763277665,1.0845934347778416,0.04531766179673831,0.11715434262220717,0.000323039961420998,0.007128345740120432,phase2-iswap-nested-mc-sensitivity-v1,101,0.987060546875,0.04178308695554733,0.023914686621155905,91559072d9ca2a7cadb48bc8b880808d1d70aa7260bcf136140d9a5f373048e5,seeds/hard-factorized-cosine-6400-14c47274dde1/seed-101/checkpoint_states/step-800.pt,239ad1d980365dff74487864bbd477530c553c9e4bd04d696fbedb4bfaddb407,0.036837499606555066,0.9733155369758606,800,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,tier1_schedule_control,0.0018744516088196202,0.9116555877885055,0.00019585902810505832,0.4427671580436837
hard-factorized-cosine-6400,256,hard-factorized-cosine-6400-14c47274dde1,True,discovery-remedy,True,-0.0007576617995288212,"[8, 16, 32, 64, 128, 256]","[0.015660459339577108, 0.015562636069822947, 0.015420982900505323, 0.015383708468412098, 0.015575867301987808, 0.015567689453570767]",0.008668652221001738,4544.870335644559,10.69384891729259,524288,2048,0.9760742522492523,1.1743378833131886,0.015567689453570767,0.23184756385397712,0.00023686051143809102,0.015214879005937662,phase2-iswap-nested-mc-sensitivity-v1,101,0.9976806640625,0.013256567530333996,0.004891126348592225,8a75941dcde554c6bba447ea392edd0d9b7b877aba3403bd78f3671833f2f2b5,seeds/hard-factorized-cosine-6400-14c47274dde1/seed-101/checkpoint_states/step-1600.pt,1cbcd5c4c1465cf629c772c9db728ddb01dfdce693a21c2fab86593f5e833310,0.008298198568051997,0.9920552968978882,1600,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,tier1_schedule_control,0.005254970553081667,0.9758187991455434,0.0005423952914271923,0.8328179415582767
hard-factorized-cosine-6400,256,hard-factorized-cosine-6400-14c47274dde1,True,discovery-remedy,True,0.05984115402278276,"[8, 16, 32, 64, 128, 256]","[0.0032462347074787784, 0.0035405515509285336, 0.0035509809332272373, 0.00363928082571439, 0.003941655852299279, 0.004108588871541126]",0.0023399194626213507,1226.7916952188227,20.648630693021804,524288,2048,0.9860689844237644,2.373111743355112,0.004108588871541126,1.2467800347032498,0.00012130950261589561,0.029525831473712915,phase2-iswap-nested-mc-sensitivity-v1,101,0.9996337890625,0.0017313086427748203,0.0008227067871812064,9dec47d261704cc6290cd03bb3faa4c0f93369b38505e5aa313979b02ff39c40,seeds/hard-factorized-cosine-6400-14c47274dde1/seed-101/checkpoint_states/step-3200.pt,96a71449b48722ab2a506eaa6100d9804558966eda555ee025c0430ae9e67a0d,0.0014128481998757448,0.999591588973999,3200,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,tier1_schedule_control,0.018108628318567247,0.9831155532107466,0.001873113783029745,0.929243753380734
