aggregation_level,arm,conditional_mean_d,distractor_value,episode_count,fraction_of_checkpoint_i_swap,label,new,old,query,seed,slot,source_state_sha256,step,sum_d,tail_rank,target_slot
ordered_triad_slot_value_stratum,h1-factorized-constant-6400,0.00047192280594465785,-1,2,0.000576644139499069,-1,22,18,21,100,1,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.0009438456118893157,12,2
ordered_triad,h1-factorized-constant-6400,9.354618522650071e-05,,20,0.0011430441335713256,,25,18,21,100,,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.0018709237045300142,13,
ordered_triad_slot_value_stratum,h1-factorized-constant-6400,0.00045053635422398486,-1,2,0.0005505119587820979,1,3,27,0,100,0,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.0009010727084479697,13,3
ordered_triad,h1-factorized-constant-6400,8.114953843412596e-05,,23,0.0011403044300335816,,0,18,21,100,,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.001866439383984897,14,
ordered_triad_slot_value_stratum,h1-factorized-constant-6400,0.0008858777530349471,-1,1,0.0005412285740012651,1,1,0,12,100,2,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.0008858777530349471,14,0
ordered_triad,h1-factorized-constant-6400,0.00010779548282655201,,17,0.0011195832825917553,,6,18,21,100,,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.0018325232080513842,15,
ordered_triad_slot_value_stratum,h1-factorized-constant-6400,0.00043961329670594296,-1,2,0.000537165036311204,1,15,18,2,100,3,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.0008792265934118859,15,0
ordered_triad,h1-factorized-constant-6400,8.598951971331796e-05,,21,0.0011032444199609475,,16,11,29,100,,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.001805779913979677,16,
ordered_triad_slot_value_stratum,h1-factorized-constant-6400,0.0004373946213895863,-1,2,0.0005344540291241973,1,21,15,4,100,0,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.0008747892427791726,16,3
ordered_triad,h1-factorized-constant-6400,7.689323312491851e-05,,23,0.001080495293797957,,11,18,21,100,,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.0017685443618731256,17,
ordered_triad_slot_value_stratum,h1-factorized-constant-6400,0.0004166434972905364,-1,2,0.0005090981574667927,1,21,16,4,100,0,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.0008332869945810728,17,3
ordered_triad,h1-factorized-constant-6400,7.648787048137004e-05,,23,0.0010747991823088735,,3,25,9,100,,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.001759221021071511,18,
ordered_triad_slot_value_stratum,h1-factorized-constant-6400,0.00027696158746455996,-1,3,0.0005076305094795299,1,20,28,10,100,1,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.0008308847623936799,18,3
ordered_triad,h1-factorized-constant-6400,7.559204132504597e-05,,23,0.0010622110890772798,,11,20,29,100,,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.0017386169504760574,19,
ordered_triad_slot_value_stratum,h1-factorized-constant-6400,0.0008248807053092833,-1,1,0.000503962320225564,1,1,21,12,100,2,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.0008248807053092833,19,0
ordered_triad,h1-factorized-constant-6400,7.842117827746878e-05,,22,0.0010540542547710407,,18,5,21,100,,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.0017252659221043132,20,
ordered_triad_slot_value_stratum,h1-factorized-constant-6400,0.00026970568276378043,-1,3,0.0004943314861972383,-1,18,13,21,100,1,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.0008091170482913412,20,3
ordered_triad,hard-factorized-cosine-6400,0.4630856972072838,,26,0.002283326660183972,,23,28,21,100,,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,12.04022812738938,1,
ordered_triad_slot_value_stratum,hard-factorized-cosine-6400,3.740368440119747,-1,2,0.0014186580001433816,1,8,11,26,100,0,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,7.480736880239494,1,3
ordered_triad,hard-factorized-cosine-6400,0.6366368542566825,,18,0.002173189574350059,,8,11,26,100,,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,11.459463376620285,2,
ordered_triad_slot_value_stratum,hard-factorized-cosine-6400,2.3558237428371513,-1,3,0.0013402856910521303,1,4,7,26,100,1,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,7.0674712285114545,2,0
ordered_triad,hard-factorized-cosine-6400,0.5142415286196939,,21,0.00204795199664042,,14,10,25,100,,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,10.799072101013572,3,
ordered_triad_slot_value_stratum,hard-factorized-cosine-6400,3.301199363359702,-1,2,0.001252088654332819,1,31,14,25,100,0,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,6.602398726719404,3,2
ordered_triad,hard-factorized-cosine-6400,0.49234824683606215,,20,0.0018673929865801841,,14,1,25,100,,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,9.846964936721243,4,
ordered_triad_slot_value_stratum,hard-factorized-cosine-6400,3.208521411959513,-1,2,0.0012169374869289552,1,31,9,25,100,0,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,6.417042823919026,4,3
ordered_triad,hard-factorized-cosine-6400,0.3839812857400136,,24,0.0017476506872771255,,31,10,26,100,,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,9.215550857760327,5,
ordered_triad_slot_value_stratum,hard-factorized-cosine-6400,2.127288781536901,-1,3,0.0012102665673943502,1,5,13,26,100,0,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,6.381866344610703,5,3
ordered_triad,hard-factorized-cosine-6400,0.4942378961784628,,18,0.001687104094025151,,29,14,25,100,,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,8.896282131212331,6,
ordered_triad_slot_value_stratum,hard-factorized-cosine-6400,3.154631367254286,-1,2,0.0011964979114504745,1,28,7,26,100,1,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,6.309262734508572,6,0
