arm,cell_id,seed,source_accuracy,source_i_swap_b2048,source_population_risk,source_row_sha256,source_state_relative_path,source_state_sha256,source_walsh_l_w,source_xi_value,step,tier_role
h1-dense-direct-constant-6400,h1-dense-direct-constant-6400-452a4fe7bf0d,100,1.0,9.178314940072596e-06,8.21284424313266e-06,14fe1cbeffcb2e8526d4d4179a8729d262688e72843198eecba1c156c65b2ff2,seeds/h1-dense-direct-constant-6400-452a4fe7bf0d/seed-100/checkpoint_states/step-6400.pt,3720e570d3680f92242d4cf4822568dd907985c72a1e62c2527d04eafe76a61c,1.0543771389499488e-05,1.0004161596298218,6400,tier2_full_rank_direct_calibration
h1-factorized-constant-6400,h1-factorized-constant-6400-d57899ee3aaf,100,1.0,3.1203303478832822e-06,6.377837227608486e-06,ba70dc922a7afd2c3a2af81f518e8351ae3b4d620d3789552cd11044196d635c,seeds/h1-factorized-constant-6400-d57899ee3aaf/seed-100/checkpoint_states/step-6400.pt,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,9.269463406263892e-06,1.000089168548584,6400,tier2_full_rank_factorized_calibration
hard-dense-direct-constant-6400,hard-dense-direct-constant-6400-a8450bd9ed4e,100,1.0,6.795795343350619e-06,5.705811444371494e-06,10bea3bca293e6d4ee0ccff470ac50b40cf852e0324715a5fd17e0394083f517,seeds/hard-dense-direct-constant-6400-a8450bd9ed4e/seed-100/checkpoint_states/step-6400.pt,a35dee3a97e3b9e7742c714390df5bb313e0a51ed9e52a7164751727e5ccc81c,8.763642443745511e-06,0.9997900724411011,6400,tier1_dense_capacity_upper_bound
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,100,0.993896484375,0.027098797261714935,0.011821058642984801,f02751525c8e4d0f520bc6c439a075ebe9816aa2791c0dac38f1089ca4440c49,seeds/hard-factorized-constant-6400-6e9beb2f8bd9/seed-100/checkpoint_states/step-800.pt,9e4649e9455891c0839d10346a9423e4e4066d39838022585ce1fe5865f024a2,0.019791991292145577,0.9796069860458374,800,tier1_training_limit_baseline
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,100,0.998046875,0.0031971062999218702,0.003231049063012939,b78ddf142b2d068f676621c5817f3d758dc711802af49a55d8f117026b4c2d12,seeds/hard-factorized-constant-6400-6e9beb2f8bd9/seed-100/checkpoint_states/step-1600.pt,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,0.005707839392280959,0.9927117824554443,1600,tier1_training_limit_baseline
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,100,0.9991455078125,0.004307102411985397,0.0016123426252778194,41f6e0bf200f78f84e7264b3dfbd6bff795ab16f8449501730fdda914abc1def,seeds/hard-factorized-constant-6400-6e9beb2f8bd9/seed-100/checkpoint_states/step-3200.pt,a579c8ea1cea7cbe128810d8f06e94ff8d7c1d4530fb97852366d5d95c1e8daf,0.00282471534211771,0.9966549277305603,3200,tier1_training_limit_baseline
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,100,0.99951171875,0.00016059560584835708,0.0006916970855591664,7a8982e320e7c62e00471b1a7505e2b4f1a5df8ccd3321c4db40d270879ca616,seeds/hard-factorized-constant-6400-6e9beb2f8bd9/seed-100/checkpoint_states/step-6400.pt,d16e9b600ed90759d46e273ead81fa365936a82b4e51b7783bac4c3dedb7c5a9,0.00127147089588635,0.9995486736297607,6400,tier1_training_limit_baseline
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,100,0.993896484375,0.027098797261714935,0.011821058642984801,95d61d4470b3e9bb70db2d91c75c23f4ec3ddaf14bd4fba2257743509769aae8,seeds/hard-factorized-cosine-6400-14c47274dde1/seed-100/checkpoint_states/step-800.pt,9e4649e9455891c0839d10346a9423e4e4066d39838022585ce1fe5865f024a2,0.019791991292145577,0.9796069860458374,800,tier1_schedule_control
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,100,0.998046875,0.007498835679143667,0.0036733021249476723,0312bff4fb2f1993d5063a2b61b4fe42efbcfa93cbd2da3ff75b429e420f3769,seeds/hard-factorized-cosine-6400-14c47274dde1/seed-100/checkpoint_states/step-1600.pt,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,0.006423089349619463,0.9884350299835205,1600,tier1_schedule_control
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,100,0.9993896484375,0.00096913892775774,0.0010544086858099587,e80565a229d4dfb231948fb6f48f6319a10bfabfbea4e3c5542d8d607e4fff88,seeds/hard-factorized-cosine-6400-14c47274dde1/seed-100/checkpoint_states/step-3200.pt,bd7139c1b891c023b083580c924682cacac00270948564101e6697a3080647a1,0.001873252958121126,1.0002394914627075,3200,tier1_schedule_control
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,100,1.0,0.0008208071812987328,7.742858979865061e-05,bd6ef95b39b78381bd422a812b0594ad6e0aa9c77a7f96460807fe94e5944009,seeds/hard-factorized-cosine-6400-14c47274dde1/seed-100/checkpoint_states/step-6400.pt,8c1277be23480329bb4c24fb79cfcf08cf1941e7e78e619887d3b597f73022fb,0.0001310785559745138,0.9998323917388916,6400,tier1_schedule_control
hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,100,0.9974365234375,0.0033740391954779625,0.004324196607660841,e566d91cfe222e166ca4c29a2febe94ebaffe868fb13202853b1b45f8380deb9,seeds/hard-rank-matched-constant-6400-e4d3bef28141/seed-100/checkpoint_states/step-6400.pt,82da77c0a1a152167e690ffc37569b70b933f5d8af117ac25a1e6e1a5982c6be,0.007041820172443001,0.9941890835762024,6400,tier1_rank_matched_conditioning_control
h1-dense-direct-constant-6400,h1-dense-direct-constant-6400-452a4fe7bf0d,101,1.0,8.658253136673011e-06,7.4373149268456185e-06,ddedf52eb70603f3e580ea056aaaf9360e3b1ce91ee1921094e71ca80ee8fb06,seeds/h1-dense-direct-constant-6400-452a4fe7bf0d/seed-101/checkpoint_states/step-6400.pt,93ec91170e2b18848db2cfa3be7d02f37618dcfa0b99c95f5f2ac0268f3f0789,1.1237315419094043e-05,1.0010923147201538,6400,tier2_full_rank_direct_calibration
h1-factorized-constant-6400,h1-factorized-constant-6400-d57899ee3aaf,101,1.0,3.247416771046119e-06,3.2978566504512376e-06,e80f9ec273bd6fd8df6c53e53287792b3e6899845b673b13f6450188775eb9b5,seeds/h1-factorized-constant-6400-d57899ee3aaf/seed-101/checkpoint_states/step-6400.pt,d6b29a36cf78cf2c79a1485ade6e4760f00b96b312a555463c0c24c2d50ff000,4.843306551122087e-06,1.0006825923919678,6400,tier2_full_rank_factorized_calibration
