bootstrap_95_lower,bootstrap_95_upper,bootstrap_mc_standard_error,constant_q_6400_over_3200,constant_slope,cosine_q_6400_over_3200,cosine_slope,estimand,estimand_formula,high_n_estimate,high_n_minus_registered,jackknife_mc_standard_error,original_registered_b2048,paired_mc_se_gate_pass,seed
0.4586268353927641,0.61828837885627,0.04077167825768953,-1.0380718356807208,1.4141042782847322,-2.304449319885349,1.9524511684986146,cosine_minus_constant_tail_slope,p_cosine-p_constant; four-point log2 OLS,0.5383468902138824,0.9062459578335142,0.04068624120348444,-0.36789906761963187,True,100
-7.937833925075591,-6.503055113583693,0.4068393182327933,,,,,dense_vs_factorized,log2(mean_block(treatment)/mean_block(baseline)),-7.277681635238217,-2.7150354326481123,0.5050509639420873,-4.562646202590105,False,100
1.5021453632920803,1.5977037538124033,0.02491870602096967,,,,,h1_dense_vs_factorized,log2(mean_block(treatment)/mean_block(baseline)),1.5430038585744483,-0.013526678327549835,0.025629344308612342,1.5565305369019982,True,100
1.5332304512561774,1.87305859265337,0.08745577150391155,,,,,rank_matched_vs_factorized,log2(mean_block(treatment)/mean_block(baseline)),1.6982610090547914,-2.694711400068866,0.08754624810783956,4.392972409123657,True,100
0.47753033405692674,0.5739722939619338,0.024605033323216428,-1.2408927072621216,1.3296362091858906,-2.077034747022639,1.8543019840797523,cosine_minus_constant_tail_slope,p_cosine-p_constant; four-point log2 OLS,0.5246657748938617,-0.33458927932365823,0.024712444724504158,0.8592550542175199,True,101
-10.000607327280985,-9.814328218887796,0.04771142114753309,,,,,dense_vs_factorized,log2(mean_block(treatment)/mean_block(baseline)),-9.910542541184709,-0.3200412327804081,0.04768888580484288,-9.590501308404301,True,101
1.3701628199092328,1.404688456991171,0.008880610193422137,,,,,h1_dense_vs_factorized,log2(mean_block(treatment)/mean_block(baseline)),1.3873237100429643,-0.027459719508273084,0.008897829351688159,1.4147834295512374,True,101
0.746049579692137,0.9842494731051227,0.06046593306550288,,,,,rank_matched_vs_factorized,log2(mean_block(treatment)/mean_block(baseline)),0.865520636344138,-0.8091771571178482,0.060365044312456644,1.6746977934619862,True,101
0.795929778702788,0.8979438083199717,0.025937733883961936,-0.21192535157876394,0.942812810516602,-2.2892014499473166,1.7880628548434783,cosine_minus_constant_tail_slope,p_cosine-p_constant; four-point log2 OLS,0.8452500443268762,-0.47906145909730236,0.026136145021032522,1.3243115034241786,True,102
-10.053325419049603,-9.879238855472627,0.044155480614371,,,,,dense_vs_factorized,log2(mean_block(treatment)/mean_block(baseline)),-9.968294928899878,0.8548144982223675,0.043830807247735845,-10.823109427122246,True,102
