run,time,risk,kernel_squared_error,gain,target_attention_mean,distractor_attention_mean,parameter_gradient_norm,quotient_gradient_norm,b_frobenius,c_frobenius
primary,0,0.2795433343708657,0.5590866687417313,0.69999999999999996,0.40295991118287661,0.29852004440856167,0.33078382251294458,0.24344985975047645,0.51961524227066302,1.7320508075688772
primary,0.5,0.22680477830284734,0.45360955660569446,0.93848037581570909,0.41057500947971698,0.29331516200000701,0.31352178031503219,0.20419247147416864,0.54811638267063878,1.8304527575826373
primary,1,0.1834093888590248,0.3668187777180496,1.1768328655762816,0.42162102612484559,0.28562035927460672,0.27329295812461912,0.17241163554576858,0.58672987881888483,1.9298632540216698
primary,2,0.12556874233546719,0.25113748467093433,1.5079827228939005,0.457128259697062,0.2607647094464331,0.21928806562356626,0.13428355397055841,0.69660072563999731,2.0680012785061606
primary,5,0.029859623545635129,0.059719247091270272,1.5437429284106194,0.62185254696775061,0.15616336916644555,0.11603335749224637,0.039032372156891829,1.0894940353119711,2.0828671680547792
primary,10,0.0064576635808513642,0.01291532716170273,1.3181063439464569,0.75443732579857936,0.086115185996028035,0.036516477431861878,0.0098483170604326507,1.3747950890785579,1.98886825677808
audit,0,0.2795433343708657,0.5590866687417313,0.69999999999999996,0.40295991118287661,0.29852004440856167,0.33078382251294458,0.24344985975047645,0.51961524227066302,1.7320508075688772
audit,0.5,0.22680477830284737,0.45360955660569474,0.93848037581570865,0.41057500947971698,0.29331516200000701,0.31352178031503219,0.20419247147416875,0.54811638267063867,1.8304527575826368
audit,1,0.18340938885902472,0.36681877771804944,1.1768328655762821,0.42162102612484559,0.28562035927460666,0.27329295812461918,0.17241163554576855,0.58672987881888472,1.9298632540216698
audit,2,0.12556874233546708,0.25113748467093422,1.5079827228939007,0.45712825969706206,0.26076470944643299,0.21928806562356637,0.13428355397055836,0.6966007256399972,2.0680012785061606
audit,5,0.029859623545635157,0.0597192470912703,1.5437429284106203,0.62185254696775061,0.15616336916644558,0.11603335749224637,0.03903237215689187,1.0894940353119702,2.082867168054781
audit,10,0.0064576635808513737,0.012915327161702749,1.3181063439464582,0.75443732579857936,0.086115185996028062,0.036516477431861954,0.0098483170604329786,1.3747950890785576,1.9888682567780811
