cell,cell_index,head,layer,metric,module,optimizer,raw_cell_id,seed,step,value
C16-d16-L2-H1-m4-ffn32,4,0,1,attention_self_mass,attention,adamw,cell-004-3bbcb7f3f746,0,50,0.05305373668670654
C16-d16-L2-H1-m4-ffn32,4,0,1,attention_target_mass,attention,adamw,cell-004-3bbcb7f3f746,0,50,0.8510165214538574
C16-d16-L2-H1-m4-ffn32,4,0,1,attention_target_over_distractor_log_margin,attention,adamw,cell-004-3bbcb7f3f746,0,50,4.745588302612305
C16-d16-L2-H1-m4-ffn32,4,,0,ffn_branch_signed,ffn,adamw,cell-004-3bbcb7f3f746,0,50,-0.0017393146408721805
C16-d16-L2-H1-m4-ffn32,4,,0,ffn_cancellation_fraction,ffn,adamw,cell-004-3bbcb7f3f746,0,50,0.3072509467601776
C16-d16-L2-H1-m4-ffn32,4,,0,ffn_opposition_rate,ffn,adamw,cell-004-3bbcb7f3f746,0,50,0.53515625
C16-d16-L2-H1-m4-ffn32,4,,0,ffn_skip_signed,ffn,adamw,cell-004-3bbcb7f3f746,0,50,-0.0010022977367043495
C16-d16-L2-H1-m4-ffn32,4,,0,ffn_total_signed,ffn,adamw,cell-004-3bbcb7f3f746,0,50,-0.002741612261161208
C16-d16-L2-H1-m4-ffn32,4,,1,ffn_branch_signed,ffn,adamw,cell-004-3bbcb7f3f746,0,50,0.004148024134337902
C16-d16-L2-H1-m4-ffn32,4,,1,ffn_cancellation_fraction,ffn,adamw,cell-004-3bbcb7f3f746,0,50,0.20029720664024353
C16-d16-L2-H1-m4-ffn32,4,,1,ffn_opposition_rate,ffn,adamw,cell-004-3bbcb7f3f746,0,50,0.50390625
C16-d16-L2-H1-m4-ffn32,4,,1,ffn_skip_signed,ffn,adamw,cell-004-3bbcb7f3f746,0,50,0.0026635420508682728
C16-d16-L2-H1-m4-ffn32,4,,1,ffn_total_signed,ffn,adamw,cell-004-3bbcb7f3f746,0,50,0.006811566185206175
C16-d16-L2-H1-m4-ffn32,4,0,0,ov_distractor_gain,ov,adamw,cell-004-3bbcb7f3f746,0,50,1.1019763946533203
C16-d16-L2-H1-m4-ffn32,4,0,0,ov_log_target_over_distractor_gain,ov,adamw,cell-004-3bbcb7f3f746,0,50,-0.25063541531562805
C16-d16-L2-H1-m4-ffn32,4,0,0,ov_target_gain,ov,adamw,cell-004-3bbcb7f3f746,0,50,0.8428905606269836
C16-d16-L2-H1-m4-ffn32,4,0,1,ov_distractor_gain,ov,adamw,cell-004-3bbcb7f3f746,0,50,1.1514283418655396
C16-d16-L2-H1-m4-ffn32,4,0,1,ov_log_target_over_distractor_gain,ov,adamw,cell-004-3bbcb7f3f746,0,50,1.012597918510437
C16-d16-L2-H1-m4-ffn32,4,0,1,ov_target_gain,ov,adamw,cell-004-3bbcb7f3f746,0,50,3.0950767993927
C16-d16-L2-H1-m4-ffn32,4,0,0,qk_cancellation_fraction,qk,adamw,cell-004-3bbcb7f3f746,0,50,0.3061397075653076
C16-d16-L2-H1-m4-ffn32,4,0,0,qk_content_energy,qk,adamw,cell-004-3bbcb7f3f746,0,50,0.0008917899103835225
C16-d16-L2-H1-m4-ffn32,4,0,0,qk_content_signed,qk,adamw,cell-004-3bbcb7f3f746,0,50,-0.002540052868425846
C16-d16-L2-H1-m4-ffn32,4,0,0,qk_opposition_rate,qk,adamw,cell-004-3bbcb7f3f746,0,50,0.59375
C16-d16-L2-H1-m4-ffn32,4,0,0,qk_route_signed,qk,adamw,cell-004-3bbcb7f3f746,0,50,0.0017786647658795118
C16-d16-L2-H1-m4-ffn32,4,0,0,qk_suppression_log_ratio,qk,adamw,cell-004-3bbcb7f3f746,0,50,-0.5228135585784912
C16-d16-L2-H1-m4-ffn32,4,0,0,qk_total_signed,qk,adamw,cell-004-3bbcb7f3f746,0,50,-0.0007613880443386734
C16-d16-L2-H1-m4-ffn32,4,0,1,qk_cancellation_fraction,qk,adamw,cell-004-3bbcb7f3f746,0,50,0.2261238694190979
C16-d16-L2-H1-m4-ffn32,4,0,1,qk_content_energy,qk,adamw,cell-004-3bbcb7f3f746,0,50,0.003076614812016487
C16-d16-L2-H1-m4-ffn32,4,0,1,qk_content_signed,qk,adamw,cell-004-3bbcb7f3f746,0,50,-0.0006950570386834443
C16-d16-L2-H1-m4-ffn32,4,0,1,qk_opposition_rate,qk,adamw,cell-004-3bbcb7f3f746,0,50,0.552734375
C16-d16-L2-H1-m4-ffn32,4,0,1,qk_route_signed,qk,adamw,cell-004-3bbcb7f3f746,0,50,0.007104992866516113
C16-d16-L2-H1-m4-ffn32,4,0,1,qk_suppression_log_ratio,qk,adamw,cell-004-3bbcb7f3f746,0,50,-1.8471108675003052
C16-d16-L2-H1-m4-ffn32,4,0,1,qk_total_signed,qk,adamw,cell-004-3bbcb7f3f746,0,50,0.006409935653209686
C16-d16-L2-H1-m4-ffn32,4,0,0,attention_mean_distractor_mass,attention,adamw,cell-004-3bbcb7f3f746,0,100,0.0280157383531332
C16-d16-L2-H1-m4-ffn32,4,0,0,attention_self_mass,attention,adamw,cell-004-3bbcb7f3f746,0,100,0.8420983552932739
C16-d16-L2-H1-m4-ffn32,4,0,0,attention_target_mass,attention,adamw,cell-004-3bbcb7f3f746,0,100,0.07385444641113281
C16-d16-L2-H1-m4-ffn32,4,0,0,attention_target_over_distractor_log_margin,attention,adamw,cell-004-3bbcb7f3f746,0,100,1.321236491203308
C16-d16-L2-H1-m4-ffn32,4,0,1,attention_mean_distractor_mass,attention,adamw,cell-004-3bbcb7f3f746,0,100,0.005839733872562647
C16-d16-L2-H1-m4-ffn32,4,0,1,attention_self_mass,attention,adamw,cell-004-3bbcb7f3f746,0,100,0.032727912068367004
C16-d16-L2-H1-m4-ffn32,4,0,1,attention_target_mass,attention,adamw,cell-004-3bbcb7f3f746,0,100,0.9497528672218323
C16-d16-L2-H1-m4-ffn32,4,0,1,attention_target_over_distractor_log_margin,attention,adamw,cell-004-3bbcb7f3f746,0,100,7.50715446472168
C16-d16-L2-H1-m4-ffn32,4,,0,ffn_branch_signed,ffn,adamw,cell-004-3bbcb7f3f746,0,100,-0.0007014634320512414
C16-d16-L2-H1-m4-ffn32,4,,0,ffn_cancellation_fraction,ffn,adamw,cell-004-3bbcb7f3f746,0,100,0.3723803460597992
C16-d16-L2-H1-m4-ffn32,4,,0,ffn_opposition_rate,ffn,adamw,cell-004-3bbcb7f3f746,0,100,0.607421875
C16-d16-L2-H1-m4-ffn32,4,,0,ffn_skip_signed,ffn,adamw,cell-004-3bbcb7f3f746,0,100,0.00016921371570788324
C16-d16-L2-H1-m4-ffn32,4,,0,ffn_total_signed,ffn,adamw,cell-004-3bbcb7f3f746,0,100,-0.0005322496872395277
C16-d16-L2-H1-m4-ffn32,4,,1,ffn_branch_signed,ffn,adamw,cell-004-3bbcb7f3f746,0,100,0.0009300702367909253
C16-d16-L2-H1-m4-ffn32,4,,1,ffn_cancellation_fraction,ffn,adamw,cell-004-3bbcb7f3f746,0,100,0.3331519365310669
C16-d16-L2-H1-m4-ffn32,4,,1,ffn_opposition_rate,ffn,adamw,cell-004-3bbcb7f3f746,0,100,0.603515625
C16-d16-L2-H1-m4-ffn32,4,,1,ffn_skip_signed,ffn,adamw,cell-004-3bbcb7f3f746,0,100,-0.001557506388053298
C16-d16-L2-H1-m4-ffn32,4,,1,ffn_total_signed,ffn,adamw,cell-004-3bbcb7f3f746,0,100,-0.0006274361512623727
C16-d16-L2-H1-m4-ffn32,4,0,0,ov_distractor_gain,ov,adamw,cell-004-3bbcb7f3f746,0,100,1.0647823810577393
C16-d16-L2-H1-m4-ffn32,4,0,0,ov_log_target_over_distractor_gain,ov,adamw,cell-004-3bbcb7f3f746,0,100,-0.2635350227355957
C16-d16-L2-H1-m4-ffn32,4,0,0,ov_target_gain,ov,adamw,cell-004-3bbcb7f3f746,0,100,0.8048197031021118
C16-d16-L2-H1-m4-ffn32,4,0,1,ov_distractor_gain,ov,adamw,cell-004-3bbcb7f3f746,0,100,1.0368528366088867
C16-d16-L2-H1-m4-ffn32,4,0,1,ov_log_target_over_distractor_gain,ov,adamw,cell-004-3bbcb7f3f746,0,100,1.4311950206756592
C16-d16-L2-H1-m4-ffn32,4,0,1,ov_target_gain,ov,adamw,cell-004-3bbcb7f3f746,0,100,4.247550010681152
C16-d16-L2-H1-m4-ffn32,4,0,0,qk_cancellation_fraction,qk,adamw,cell-004-3bbcb7f3f746,0,100,0.2932826578617096
C16-d16-L2-H1-m4-ffn32,4,0,0,qk_content_energy,qk,adamw,cell-004-3bbcb7f3f746,0,100,4.7297689889092e-05
C16-d16-L2-H1-m4-ffn32,4,0,0,qk_content_signed,qk,adamw,cell-004-3bbcb7f3f746,0,100,-0.00045333459274843335
C16-d16-L2-H1-m4-ffn32,4,0,0,qk_opposition_rate,qk,adamw,cell-004-3bbcb7f3f746,0,100,0.583984375
C16-d16-L2-H1-m4-ffn32,4,0,0,qk_route_signed,qk,adamw,cell-004-3bbcb7f3f746,0,100,0.0005960376001894474
C16-d16-L2-H1-m4-ffn32,4,0,0,qk_suppression_log_ratio,qk,adamw,cell-004-3bbcb7f3f746,0,100,-0.8609347343444824
C16-d16-L2-H1-m4-ffn32,4,0,0,qk_total_signed,qk,adamw,cell-004-3bbcb7f3f746,0,100,0.0001427030365448445
C16-d16-L2-H1-m4-ffn32,4,0,1,qk_cancellation_fraction,qk,adamw,cell-004-3bbcb7f3f746,0,100,0.20860815048217773
C16-d16-L2-H1-m4-ffn32,4,0,1,qk_content_energy,qk,adamw,cell-004-3bbcb7f3f746,0,100,0.00019171659369021654
C16-d16-L2-H1-m4-ffn32,4,0,1,qk_content_signed,qk,adamw,cell-004-3bbcb7f3f746,0,100,-0.0006401818245649338
C16-d16-L2-H1-m4-ffn32,4,0,1,qk_opposition_rate,qk,adamw,cell-004-3bbcb7f3f746,0,100,0.54296875
C16-d16-L2-H1-m4-ffn32,4,0,1,qk_route_signed,qk,adamw,cell-004-3bbcb7f3f746,0,100,0.00026126642478629947
C16-d16-L2-H1-m4-ffn32,4,0,1,qk_suppression_log_ratio,qk,adamw,cell-004-3bbcb7f3f746,0,100,-1.8138976097106934
C16-d16-L2-H1-m4-ffn32,4,0,1,qk_total_signed,qk,adamw,cell-004-3bbcb7f3f746,0,100,-0.00037891551619395614
C16-d16-L2-H1-m4-ffn32,4,0,0,attention_mean_distractor_mass,attention,adamw,cell-004-3bbcb7f3f746,0,400,0.017830532044172287
C16-d16-L2-H1-m4-ffn32,4,0,0,attention_self_mass,attention,adamw,cell-004-3bbcb7f3f746,0,400,0.8906632661819458
C16-d16-L2-H1-m4-ffn32,4,0,0,attention_target_mass,attention,adamw,cell-004-3bbcb7f3f746,0,400,0.05584516376256943
C16-d16-L2-H1-m4-ffn32,4,0,0,attention_target_over_distractor_log_margin,attention,adamw,cell-004-3bbcb7f3f746,0,400,1.4538980722427368
C16-d16-L2-H1-m4-ffn32,4,0,1,attention_mean_distractor_mass,attention,adamw,cell-004-3bbcb7f3f746,0,400,0.003739061299711466
C16-d16-L2-H1-m4-ffn32,4,0,1,attention_self_mass,attention,adamw,cell-004-3bbcb7f3f746,0,400,0.035392433404922485
C16-d16-L2-H1-m4-ffn32,4,0,1,attention_target_mass,attention,adamw,cell-004-3bbcb7f3f746,0,400,0.95339035987854
C16-d16-L2-H1-m4-ffn32,4,0,1,attention_target_over_distractor_log_margin,attention,adamw,cell-004-3bbcb7f3f746,0,400,8.01899528503418
C16-d16-L2-H1-m4-ffn32,4,,0,ffn_branch_signed,ffn,adamw,cell-004-3bbcb7f3f746,0,400,-0.0003716028877533972
C16-d16-L2-H1-m4-ffn32,4,,0,ffn_cancellation_fraction,ffn,adamw,cell-004-3bbcb7f3f746,0,400,0.41833949089050293
C16-d16-L2-H1-m4-ffn32,4,,0,ffn_opposition_rate,ffn,adamw,cell-004-3bbcb7f3f746,0,400,0.63671875
C16-d16-L2-H1-m4-ffn32,4,,0,ffn_skip_signed,ffn,adamw,cell-004-3bbcb7f3f746,0,400,0.00025423825718462467
C16-d16-L2-H1-m4-ffn32,4,,0,ffn_total_signed,ffn,adamw,cell-004-3bbcb7f3f746,0,400,-0.00011736467422451824
C16-d16-L2-H1-m4-ffn32,4,,1,ffn_branch_signed,ffn,adamw,cell-004-3bbcb7f3f746,0,400,0.00048091920325532556
C16-d16-L2-H1-m4-ffn32,4,,1,ffn_cancellation_fraction,ffn,adamw,cell-004-3bbcb7f3f746,0,400,0.3342747092247009
C16-d16-L2-H1-m4-ffn32,4,,1,ffn_opposition_rate,ffn,adamw,cell-004-3bbcb7f3f746,0,400,0.59765625
C16-d16-L2-H1-m4-ffn32,4,,1,ffn_skip_signed,ffn,adamw,cell-004-3bbcb7f3f746,0,400,-0.0007121720700524747
C16-d16-L2-H1-m4-ffn32,4,,1,ffn_total_signed,ffn,adamw,cell-004-3bbcb7f3f746,0,400,-0.00023125285224523395
C16-d16-L2-H1-m4-ffn32,4,0,0,ov_distractor_gain,ov,adamw,cell-004-3bbcb7f3f746,0,400,1.0307798385620117
C16-d16-L2-H1-m4-ffn32,4,0,0,ov_log_target_over_distractor_gain,ov,adamw,cell-004-3bbcb7f3f746,0,400,-0.20422238111495972
C16-d16-L2-H1-m4-ffn32,4,0,0,ov_target_gain,ov,adamw,cell-004-3bbcb7f3f746,0,400,0.8267999887466431
C16-d16-L2-H1-m4-ffn32,4,0,1,ov_distractor_gain,ov,adamw,cell-004-3bbcb7f3f746,0,400,0.9942104816436768
C16-d16-L2-H1-m4-ffn32,4,0,1,ov_log_target_over_distractor_gain,ov,adamw,cell-004-3bbcb7f3f746,0,400,1.6397254467010498
C16-d16-L2-H1-m4-ffn32,4,0,1,ov_target_gain,ov,adamw,cell-004-3bbcb7f3f746,0,400,5.009140968322754
C16-d16-L2-H1-m4-ffn32,4,0,0,qk_cancellation_fraction,qk,adamw,cell-004-3bbcb7f3f746,0,400,0.28683847188949585
C16-d16-L2-H1-m4-ffn32,4,0,0,qk_content_energy,qk,adamw,cell-004-3bbcb7f3f746,0,400,6.6880343183584046e-06
C16-d16-L2-H1-m4-ffn32,4,0,0,qk_content_signed,qk,adamw,cell-004-3bbcb7f3f746,0,400,-0.00010202203702647239
C16-d16-L2-H1-m4-ffn32,4,0,0,qk_opposition_rate,qk,adamw,cell-004-3bbcb7f3f746,0,400,0.533203125
C16-d16-L2-H1-m4-ffn32,4,0,0,qk_route_signed,qk,adamw,cell-004-3bbcb7f3f746,0,400,0.00015086635539773852
C16-d16-L2-H1-m4-ffn32,4,0,0,qk_suppression_log_ratio,qk,adamw,cell-004-3bbcb7f3f746,0,400,-0.9581434726715088
C16-d16-L2-H1-m4-ffn32,4,0,0,qk_total_signed,qk,adamw,cell-004-3bbcb7f3f746,0,400,4.884432564722374e-05
C16-d16-L2-H1-m4-ffn32,4,0,1,qk_cancellation_fraction,qk,adamw,cell-004-3bbcb7f3f746,0,400,0.21237041056156158
C16-d16-L2-H1-m4-ffn32,4,0,1,qk_content_energy,qk,adamw,cell-004-3bbcb7f3f746,0,400,3.202850348316133e-05
C16-d16-L2-H1-m4-ffn32,4,0,1,qk_content_signed,qk,adamw,cell-004-3bbcb7f3f746,0,400,-0.0002089163608616218
C16-d16-L2-H1-m4-ffn32,4,0,1,qk_opposition_rate,qk,adamw,cell-004-3bbcb7f3f746,0,400,0.548828125
C16-d16-L2-H1-m4-ffn32,4,0,1,qk_route_signed,qk,adamw,cell-004-3bbcb7f3f746,0,400,6.000879511702806e-05
C16-d16-L2-H1-m4-ffn32,4,0,1,qk_suppression_log_ratio,qk,adamw,cell-004-3bbcb7f3f746,0,400,-1.7504055500030518
C16-d16-L2-H1-m4-ffn32,4,0,1,qk_total_signed,qk,adamw,cell-004-3bbcb7f3f746,0,400,-0.00014890752208884805
C16-d16-L2-H1-m4-ffn32,4,0,0,attention_mean_distractor_mass,attention,adamw,cell-004-3bbcb7f3f746,1,0,0.2377799153327942
