cell,maximum,mean,metric,minimum,n_seeds,optimizer,standard_deviation,step
C16-d16-L2-H1-m4-ffn32,0.0025350917130708694,-0.0073064051975961775,attention_key_selectivity,-0.02304050698876381,12,adamw,0.006821545610654014,0
C16-d16-L2-H1-m4-ffn32,0.2193453013896942,0.18587423581629992,attention_mean_distractor_mass,0.1459207534790039,12,adamw,0.02557949914905121,0
C16-d16-L2-H1-m4-ffn32,0.4248519614338875,0.26380948365355533,attention_self_mass,0.12614203989505768,12,adamw,0.1036266553695762,0
C16-d16-L2-H1-m4-ffn32,0.21582207083702087,0.1785678289209803,attention_target_mass,0.13738583773374557,12,adamw,0.027506152072619285,0
C16-d16-L2-H1-m4-ffn32,-0.11000782623887062,-0.18127598272015652,attention_target_over_distractor_log_margin,-0.3126922473311424,12,adamw,0.05547491547053411,0
C16-d16-L2-H1-m4-ffn32,0.5859375,0.5183919270833334,donor_accuracy,0.47265625,12,adamw,0.03382356412037737,0
C16-d16-L2-H1-m4-ffn32,2.1684658527374268,0.949701781074206,donor_risk,0.5223815441131592,12,adamw,0.5427133954315374,0
C16-d16-L2-H1-m4-ffn32,0.7056615352630615,0.6333619902531306,embedding_coherence,0.5239017605781555,12,adamw,0.055883182771460635,0
C16-d16-L2-H1-m4-ffn32,8.813401222229004,8.08121391137441,embedding_effective_rank,7.553332805633545,12,adamw,0.39319141354762094,0
C16-d16-L2-H1-m4-ffn32,0.026394199579954147,0.0013183099993815024,ffn_branch_signed,-0.018365557305514812,12,adamw,0.010807075739712409,0
C16-d16-L2-H1-m4-ffn32,0.35864466428756714,0.2679427204032739,ffn_cancellation_fraction,0.14460068196058273,12,adamw,0.0649575197302096,0
C16-d16-L2-H1-m4-ffn32,0.630859375,0.5035807291666666,ffn_opposition_rate,0.3125,12,adamw,0.09577315580912395,0
C16-d16-L2-H1-m4-ffn32,0.031277946662157774,0.003989472194613579,ffn_skip_signed,-0.01326796319335699,12,adamw,0.01237257852579276,0
C16-d16-L2-H1-m4-ffn32,0.05767214484512806,0.005307782092131674,ffn_total_signed,-0.03163352236151695,12,adamw,0.022323417035886212,0
