cell,desired_direction,eligibility_rule,metric,n_common_eligible_seeds,n_resamples,optimizer_delta_difference,optimizer_delta_difference_ci_high,optimizer_delta_difference_ci_low,primary_ci_excludes_zero,primary_ci_high,primary_ci_low,primary_estimate,primary_function_success_count,primary_optimizer,qualitative_direction_agreement,replication_ci_direction_pass,replication_ci_excludes_zero,replication_ci_high,replication_ci_low,replication_estimate,replication_function_success_count,replication_optimizer,replication_supports_desired_direction,rng_seed,same_direction,two_optimizer_ci_direction_pass,two_optimizer_support_desired_direction
C16-d16-L2-H1-m4-ffn32,decrease,function_gate,attention_mean_distractor_mass,12,20000,0.0117437568793927,0.023725615972458994,-0.001053478976731031,True,-0.11406197174801493,-0.1389459638907283,-0.12762255614992077,12,adamw,True,True,True,-0.10146015408681706,-0.13235109516535887,-0.11587879927052806,12,sgd,True,20260815,True,True,True
C16-d16-L2-H1-m4-ffn32,descriptive,function_gate,attention_self_mass,12,20000,0.020899533526971936,0.09214739809782846,-0.048824303956159075,False,0.05748524199589153,-0.04720800016463423,0.009310661737496654,12,adamw,True,False,False,0.1005340101934659,-0.033934680915748076,0.03021019526446859,12,sgd,False,20260815,True,False,False
C16-d16-L2-H1-m4-ffn32,increase,function_gate,attention_target_mass,12,20000,-0.05613081163513319,-0.02147104839932583,-0.09158748253248632,True,0.39360191447970766,0.3531804072230443,0.3735569908603793,12,adamw,True,True,True,0.34492991330722966,0.2901473759363095,0.31742617922524613,12,sgd,True,20260815,True,True,True
C16-d16-L2-H1-m4-ffn32,increase,function_gate,attention_target_over_distractor_log_margin,12,20000,-1.3765471888085206,-0.9446207975347837,-1.9777822607817748,True,4.832017837542419,3.654780746693723,4.139758228324354,12,adamw,True,True,True,2.9406820066661266,2.5889754261278237,2.763211039515833,12,sgd,True,20260815,True,True,True
C16-d16-L2-H1-m4-ffn32,increase,all_scheduled,donor_accuracy,12,20000,0.0,0.0,0.0,True,0.4991861979166667,0.46240234375,0.4816080729166667,12,adamw,True,True,True,0.4991861979166667,0.46240234375,0.4816080729166667,12,sgd,True,20260815,True,True,True
C16-d16-L2-H1-m4-ffn32,decrease,all_scheduled,donor_risk,12,20000,3.832115347298289e-05,6.0735256367176274e-05,1.981484389261823e-05,True,-0.6872556367208216,-1.2695041195940615,-0.9496493670653763,12,adamw,True,True,True,-0.6872276832819809,-1.2694628740066036,-0.9496110459119033,12,sgd,True,20260815,True,True,True
C16-d16-L2-H1-m4-ffn32,descriptive,function_gate,embedding_coherence,12,20000,-0.023566911617914837,0.004557051509618741,-0.050179769098758695,True,0.1559955384582281,0.07163349154094856,0.11361609896024068,12,adamw,True,True,True,0.13666631715993083,0.043361754591266316,0.09004918734232585,12,sgd,False,20260815,True,True,False
C16-d16-L2-H1-m4-ffn32,descriptive,function_gate,embedding_effective_rank,12,20000,0.23643048604329428,0.4906634410222365,-0.0392749061187108,True,-1.6623749961455663,-2.3077878246704735,-1.9758088986078899,12,adamw,True,True,True,-1.4422368506590526,-2.0837797741095225,-1.7393784125645955,12,sgd,False,20260815,True,True,False
C16-d16-L2-H1-m4-ffn32,descriptive,function_and_donor_gate,ffn_branch_signed,12,20000,-4.516423393852165e-05,0.00020551224818821798,-0.00023411130220741435,False,0.004425779770123003,-0.007181819948170679,-0.001207155806658496,12,adamw,True,False,False,0.004271904648010146,-0.007222991168077897,-0.0012523200405970176,12,sgd,False,20260815,True,False,False
C16-d16-L2-H1-m4-ffn32,increase,function_and_donor_gate,ffn_cancellation_fraction,12,20000,-0.0591439101845026,0.003423568482200211,-0.11584781697019933,True,0.16098419611031806,0.07828765857654314,0.11926330688099067,12,adamw,True,True,True,0.10622547101229426,0.010552052548155196,0.06011939669648806,12,sgd,True,20260815,True,True,True
