attention_mean_distractor_mass,attention_self_mass,attention_target_mass,attention_target_over_distractor_log_margin,cell,cell_index,d_model,donor_accuracy,donor_gate_pass,donor_risk,embedding_coherence,embedding_effective_rank,ffn_branch_signed,ffn_cancellation_fraction,ffn_opposition_rate,ffn_skip_signed,ffn_total_signed,ffn_width,final_step,function_accuracy,function_and_donor_gate_pass,function_gate_pass,initial_step,key_selectivity,memory_size,natural_swap_mae,natural_swap_mse,num_concepts,num_heads,num_layers,optimizer,ov_distractor_gain,ov_log_target_over_distractor_gain,ov_target_gain,qk_cancellation_fraction,qk_content_energy,qk_content_signed,qk_opposition_rate,qk_route_signed,qk_suppression_log_ratio,qk_total_signed,raw_cell_id,risk,seed,step,target_key_effect,value_flip_effect,walsh_bias_energy,walsh_distractor_direct_energy,walsh_interaction_energy,walsh_target_coefficient,walsh_target_error_energy,walsh_total_error_energy
0.148971039801836,0.4015807583928108,0.15150612965226173,-0.16364315897226334,C16-d16-L2-H1-m4-ffn32,4,16,0.4921875,True,0.5641182661056519,0.6611177921295166,7.686499118804932,-4.566158168017864e-05,0.2107238993048668,0.466796875,-0.0012606950476765633,-0.0013063570950180292,32,400,0.525390625,True,True,0,0.0025350917130708694,4,0.14535365998744965,0.047427646815776825,16,1,2,adamw,0.9490369856357574,0.0012839697301387787,0.931324690580368,0.2141154706478119,0.012979906052350998,-0.0005434416234493256,0.45703125,0.0004908597329631448,-0.5413564518094063,-5.258223973214626e-05,cell-004-3bbcb7f3f746,0.5678189992904663,0,0,0.010779398493468761,0.0059663173742592335,0.12800607085227966,0.008848674595355988,0.0008614431717433035,0.006488463841378689,0.9895114302635193,1.1272276639938354
0.04350116848945618,0.38796108961105347,0.481535404920578,2.7992829084396362,C16-d16-L2-H1-m4-ffn32,4,16,0.984375,True,0.030339065939188004,0.7049798965454102,5.620994567871094,0.0012043547467328608,0.25377407670021057,0.51953125,0.0008306221570819616,0.0020349769620224833,32,400,0.994140625,True,True,0,0.4380342364311218,4,0.08261838555335999,0.03209364414215088,16,1,2,adamw,1.12670236825943,0.3809812515974045,1.968983680009842,0.26613178849220276,0.001984202361200005,-0.0016175549535546452,0.5732421875,0.0044418288161978126,-1.1849622130393982,0.0028242738044355065,cell-004-3bbcb7f3f746,0.024109333753585815,0,50,0.921120285987854,0.9431658387184143,0.005171704571694136,0.01954648271203041,0.003419699613004923,0.943988561630249,0.02145993709564209,0.04959782212972641
0.016927736112847924,0.43741313368082047,0.5118036568164825,4.414195477962494,C16-d16-L2-H1-m4-ffn32,4,16,1.0,True,0.0003859307907987386,0.7067074775695801,5.544212341308594,0.00011430340236984193,0.35276614129543304,0.60546875,-0.0006941463361727074,-0.0005798429192509502,32,400,1.0,True,True,0,0.4948759377002716,4,0.010182633996009827,0.0003639592323452234,16,1,2,adamw,1.050817608833313,0.5838299989700317,2.526184856891632,0.25094540417194366,0.00011950714178965427,-0.0005467582086566836,0.5634765625,0.00042865201248787344,-1.337416172027588,-0.00011810623982455581,cell-004-3bbcb7f3f746,0.0004272671358194202,0,100,0.9956753253936768,0.9965758323669434,0.00020442761888261884,0.00026355963200330734,9.940709423972294e-05,0.997101902961731,0.00027637509629130363,0.0008437694050371647
0.010784796671941876,0.46302784979343414,0.5046177618205547,4.736446678638458,C16-d16-L2-H1-m4-ffn32,4,16,1.0,True,3.470421870588325e-05,0.7016700506210327,5.511730194091797,5.4658157750964165e-05,0.37630710005760193,0.6171875,-0.00022896690643392503,-0.0001743087632348761,32,400,1.0,True,True,0,0.4938329756259918,4,0.003358314046636224,3.611977444961667e-05,16,1,2,adamw,1.0124951601028442,0.717751532793045,2.9179704785346985,0.24960444122552872,1.9358268900759867e-05,-0.0001554691989440471,0.541015625,0.00010543757525738329,-1.3542745113372803,-5.003159822081216e-05,cell-004-3bbcb7f3f746,4.0673498006071895e-05,0,400,0.99439936876297,0.997620701789856,1.9505954696796834e-05,2.4888977350201458e-05,1.0058262887469027e-05,0.9976550340652466,2.932650204456877e-05,8.377969788853079e-05
0.20809797197580338,0.169164864346385,0.2065412402153015,-0.2016053944826126,C16-d16-L2-H1-m4-ffn32,4,16,0.5078125,True,0.6967995166778564,0.6805012226104736,7.553332805633545,-0.004400270525366068,0.23301181197166443,0.4580078125,-0.012123107211664319,-0.01652337796986103,32,400,0.509765625,True,True,0,-0.0015567298978567123,4,0.22030074894428253,0.0915854200720787,16,1,2,adamw,0.9988425374031067,-0.38727517426013947,0.6724216043949127,0.2216029018163681,0.04046940244734287,-0.009265044704079628,0.513671875,-0.004750455962494016,-0.2327953726053238,-0.014015500899404287,cell-004-3bbcb7f3f746,0.7014517784118652,1,0,-0.02549099549651146,-0.04277205467224121,0.3204871118068695,0.022366732358932495,0.0076402886770665646,-0.04422992467880249,1.1010332107543945,1.4515273571014404
0.07270621694624424,0.22906866669654846,0.5528126806020737,2.654074192047119,C16-d16-L2-H1-m4-ffn32,4,16,0.9921875,True,0.01668497920036316,0.6551828384399414,5.755223274230957,-0.001058518682839349,0.2899278700351715,0.57421875,0.0005874318885616958,-0.000471086852485314,32,400,0.9921875,True,True,0,0.4801064729690552,4,0.03732461482286453,0.013100182637572289,16,1,2,adamw,1.0064138174057007,0.40247136913239956,1.5890110433101654,0.24747401475906372,0.0002668799279490486,-0.0005222638137638569,0.5458984375,-0.002416976698441431,-1.3965857774019241,-0.0029392402502708137,cell-004-3bbcb7f3f746,0.016590744256973267,1,50,0.9208654165267944,0.939433217048645,0.00506085017696023,0.010832779109477997,0.0022186231799423695,0.935083270072937,0.01296458300203085,0.031076833605766296
0.06403210572898388,0.2304912880063057,0.5774123966693878,3.6904649138450623,C16-d16-L2-H1-m4-ffn32,4,16,1.0,True,0.0004950144793838263,0.667876660823822,5.647655010223389,6.613465302507393e-05,0.4063672572374344,0.6962890625,6.625179230468348e-05,0.00013238641258794814,32,400,1.0,True,True,0,0.5133802890777588,4,0.004704076796770096,7.532371091656387e-05,16,1,2,adamw,1.0088647603988647,0.6390103697776794,1.9685343503952026,0.27081191539764404,2.1326776732166763e-05,-0.0002073493324132869,0.59765625,0.0002096519383485429,-0.8298030719161034,2.302593202330172e-06,cell-004-3bbcb7f3f746,0.0004457205650396645,1,100,1.0063316822052002,1.003915548324585,0.00019348971545696259,8.20854475023225e-05,8.701521437615156e-05,1.0040979385375977,0.00015747810539323837,0.0005200684536248446
0.06335649220272899,0.2252357304096222,0.5846947878599167,3.741393208503723,C16-d16-L2-H1-m4-ffn32,4,16,1.0,True,2.3429007342201658e-05,0.6618444919586182,5.639798164367676,-4.666198947234079e-07,0.45094728469848633,0.7080078125,-1.800652898964472e-05,-1.8473132513463497e-05,32,400,1.0,True,True,0,0.5213383436203003,4,0.0020204370375722647,1.1331091627653223e-05,16,1,2,adamw,1.0044864118099213,0.699171632528305,2.072954773902893,0.2673894912004471,4.987222496311006e-06,-8.039445674512535e-05,0.6201171875,3.628280774137238e-05,-0.728717777878046,-4.411164263729006e-05,cell-004-3bbcb7f3f746,2.2961892682360485e-05,1,400,1.0098466873168945,1.000321388244629,1.733055614749901e-05,7.484283287340077e-06,8.48721174406819e-06,1.0002777576446533,1.4319825822894927e-05,4.762188109452836e-05
0.15432973951101303,0.393602192401886,0.1434086412191391,-0.3126922473311424,C16-d16-L2-H1-m4-ffn32,4,16,0.5078125,True,1.1963592767715454,0.5239017605781555,8.411805152893066,-0.018365557305514812,0.14460068196058273,0.3125,-0.01326796319335699,-0.03163352236151695,32,400,0.498046875,True,True,0,-0.010921088978648186,4,0.16362059116363525,0.07906298339366913,16,1,2,adamw,0.8736891150474548,-0.23637589067220688,0.6901005804538727,0.2274353727698326,0.03287970973178744,-0.017712313681840897,0.501953125,-0.007275950629264116,-0.41169361770153046,-0.024988263845443726,cell-004-3bbcb7f3f746,1.2230637073516846,2,0,-0.0017196134431287646,-0.023147497326135635,1.398816704750061,0.041760001331567764,0.002806006697937846,-0.023056846112012863,1.0504859685897827,2.493868827819824
0.1394483894109726,0.14105042070150375,0.44060444831848145,1.2400853857398033,C16-d16-L2-H1-m4-ffn32,4,16,0.966796875,True,0.05928456038236618,0.7074689269065857,6.843130588531494,-0.0019679148390423506,0.15861065685749054,0.42578125,0.00032765697687864304,-0.0016402574256062508,32,400,0.97265625,True,True,0,0.30115607380867004,4,0.07835131138563156,0.02154126577079296,16,1,2,adamw,1.1018763780593872,0.5589252486824989,2.1432395577430725,0.21509413421154022,0.0005714112921850756,0.00026825390523299575,0.501953125,-0.0009532162366667762,-1.888384461402893,-0.0006849624332971871,cell-004-3bbcb7f3f746,0.060490936040878296,2,50,0.9607292413711548,0.9469893574714661,0.01634000800549984,0.0477447435259819,0.004436518996953964,0.9518834352493286,0.04343339800834656,0.11195467412471771
