study_id,cell_id,cell_index,cell_key,seed,step,configured_steps,d_model,width,num_concepts,load,num_heads,heads,num_layers,memory_size,ffn_width,ffn,learning_rate,full_causal_gate_pass,function_base_mse,function_base_accuracy,donor_mse,donor_accuracy,value_flip_effect,natural_swap_mse,natural_swap_mae,walsh_distractor_direct_energy,walsh_interaction_energy,walsh_distractor_only_interaction_energy,walsh_target_interaction_energy,walsh_bias_energy,walsh_total_error_energy,attention_key_selectivity,attention_margin,embedding_effective_rank,normalized_rank,embedding_coherence,input_global_cosine,input_target_selectivity,output_global_cosine,output_target_selectivity
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,0,0,800,8,8,32,4,4,4,2,4,,False,0.003,False,1.2777155637741089,0.51953125,1.284536600112915,0.515625,-0.015351646579802036,0.016587072983384132,0.08984878659248352,0.008894378319382668,0.002148384926840663,0.0010710471542552114,0.0010773377725854516,0.25689879059791565,1.2952256202697754,-0.0019301194697618484,-0.08769687707535923,6.28398323059082,0.7854979038238525,0.8221750855445862,0.11967858672142029,0.4285612106323242,0.73926842212677,0.10780290514230728
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,0,800,800,8,8,32,4,4,4,2,4,,False,0.003,False,0.01170125138014555,0.99609375,0.011622748337686062,0.99609375,0.9882257580757141,0.016156721860170364,0.04345325380563736,0.0026175067760050297,0.0036959860008209944,0.0009565255022607744,0.0027394602075219154,0.001380463712848723,0.00943329930305481,0.1667349487543106,1.3175264801830053,3.7892069816589355,0.47365087270736694,0.9366365671157837,0.04554376006126404,0.6539044380187988,0.09039779007434845,0.9621491432189941
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,1,0,800,8,8,32,4,4,4,2,4,,False,0.003,False,1.0801968574523926,0.59375,1.1238083839416504,0.5625,0.10961183160543442,0.03226219117641449,0.1323181390762329,0.05152752995491028,0.06045199930667877,0.025769464671611786,0.034682534635066986,0.19502723217010498,1.1141912937164307,-0.007420243229717016,-0.339097511023283,6.071922779083252,0.7589903473854065,0.8577523827552795,0.14807823300361633,0.22414624691009521,0.38606539368629456,0.16250067949295044
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,1,800,800,8,8,32,4,4,4,2,4,,False,0.003,False,0.037413399666547775,0.9921875,0.030291780829429626,0.9921875,0.9734789133071899,0.009163804352283478,0.042750030755996704,0.008498440496623516,0.009905973449349403,0.0020214528776705265,0.007884519174695015,0.0039795320481061935,0.027430716902017593,0.19625253975391388,1.2584061957895756,3.654447317123413,0.45680591464042664,0.9368257522583008,0.1319447159767151,0.44130027294158936,0.12758567929267883,0.855776309967041
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,2,0,800,8,8,32,4,4,4,2,4,,False,0.003,False,1.7307395935058594,0.59375,1.8158689737319946,0.59765625,0.1260249763727188,0.05022298917174339,0.16737738251686096,0.09338412433862686,0.01280994527041912,0.005777894519269466,0.007032050751149654,1.041986346244812,1.9083666801452637,-0.00636780122295022,-0.31591271655634046,6.277624130249023,0.7847030162811279,0.9023774862289429,0.18232610821723938,0.26140016317367554,0.44468897581100464,0.17261704802513123
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,2,800,800,8,8,32,4,4,4,2,4,,False,0.003,False,0.021581439301371574,0.9921875,0.014543564058840275,0.99609375,0.9786614775657654,0.02482328750193119,0.05211564898490906,0.006395692937076092,0.007617052178829908,0.0014540161937475204,0.006163035519421101,0.004055541008710861,0.022123970091342926,0.17358927428722382,1.032714731991291,4.00096321105957,0.5001204013824463,0.9380916357040405,0.09227867424488068,0.5121604204177856,0.12149583548307419,0.8563530445098877
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,3,0,800,8,8,32,4,4,4,2,4,,False,0.003,False,1.4688889980316162,0.5546875,1.4769630432128906,0.51953125,-0.01579567790031433,0.05348481982946396,0.17993678152561188,0.028572343289852142,0.0025399276055395603,0.0011262543266639113,0.0014136733952909708,0.6166784763336182,1.6841943264007568,-0.011361497454345226,-0.15867798123508692,6.492772102355957,0.8115965127944946,0.849426805973053,0.3723684847354889,0.2164093554019928,0.43428143858909607,0.16770976781845093
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,3,800,800,8,8,32,4,4,4,2,4,,False,0.003,False,0.02274119295179844,0.99609375,0.04351005703210831,0.984375,0.9751183986663818,0.019181985408067703,0.061216313391923904,0.009361440315842628,0.00904370192438364,0.0017468668520450592,0.007296835072338581,0.004904584959149361,0.030780579894781113,0.1938323974609375,1.2549714678898454,4.10552978515625,0.5131912231445312,0.9842413663864136,0.15784215927124023,0.44457271695137024,0.16927486658096313,0.7583593130111694
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,4,0,800,8,8,32,4,4,4,2,4,,False,0.003,False,1.787541151046753,0.421875,1.7830016613006592,0.4140625,-0.004418213851749897,0.023026365786790848,0.11739924550056458,0.005165422800928354,0.000664593419060111,0.0003625318640843034,0.0003020615258719772,0.5393701791763306,1.5504977703094482,-0.01602812111377716,-0.25262826087418944,6.145717620849609,0.7682147026062012,0.9280888438224792,0.1851431131362915,0.3444807231426239,0.3327542245388031,0.2871813178062439
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,4,800,800,8,8,32,4,4,4,2,4,,False,0.003,False,0.02545161359012127,0.9921875,0.0031858317088335752,1.0,0.9936122298240662,0.019889328628778458,0.03780455142259598,0.0033027566969394684,0.004457646980881691,0.0012849741615355015,0.003172672353684902,0.0008265301585197449,0.010145969688892365,0.21335911750793457,1.0214155465364456,4.2578229904174805,0.5322278738021851,0.9533073902130127,0.04989176616072655,0.5346313714981079,0.15646147727966309,0.8406222462654114
