cell_index,cell_key,step,n_seeds,full_gate_pass_count,sampling_unit,function_base_mse_mean,function_base_mse_standard_deviation,function_base_mse_ci_lower,function_base_mse_ci_upper,function_base_accuracy_mean,function_base_accuracy_standard_deviation,function_base_accuracy_ci_lower,function_base_accuracy_ci_upper,donor_mse_mean,donor_mse_standard_deviation,donor_mse_ci_lower,donor_mse_ci_upper,donor_accuracy_mean,donor_accuracy_standard_deviation,donor_accuracy_ci_lower,donor_accuracy_ci_upper,value_flip_effect_mean,value_flip_effect_standard_deviation,value_flip_effect_ci_lower,value_flip_effect_ci_upper,natural_swap_mse_mean,natural_swap_mse_standard_deviation,natural_swap_mse_ci_lower,natural_swap_mse_ci_upper,natural_swap_mae_mean,natural_swap_mae_standard_deviation,natural_swap_mae_ci_lower,natural_swap_mae_ci_upper,walsh_distractor_direct_energy_mean,walsh_distractor_direct_energy_standard_deviation,walsh_distractor_direct_energy_ci_lower,walsh_distractor_direct_energy_ci_upper,walsh_interaction_energy_mean,walsh_interaction_energy_standard_deviation,walsh_interaction_energy_ci_lower,walsh_interaction_energy_ci_upper,walsh_total_error_energy_mean,walsh_total_error_energy_standard_deviation,walsh_total_error_energy_ci_lower,walsh_total_error_energy_ci_upper,attention_key_selectivity_mean,attention_key_selectivity_standard_deviation,attention_key_selectivity_ci_lower,attention_key_selectivity_ci_upper,attention_margin_mean,attention_margin_standard_deviation,attention_margin_ci_lower,attention_margin_ci_upper,normalized_rank_mean,normalized_rank_standard_deviation,normalized_rank_ci_lower,normalized_rank_ci_upper,embedding_coherence_mean,embedding_coherence_standard_deviation,embedding_coherence_ci_lower,embedding_coherence_ci_upper,input_global_cosine_mean,input_global_cosine_standard_deviation,input_global_cosine_ci_lower,input_global_cosine_ci_upper,input_target_selectivity_mean,input_target_selectivity_standard_deviation,input_target_selectivity_ci_lower,input_target_selectivity_ci_upper,output_global_cosine_mean,output_global_cosine_standard_deviation,output_global_cosine_ci_lower,output_global_cosine_ci_upper,output_target_selectivity_mean,output_target_selectivity_standard_deviation,output_target_selectivity_ci_lower,output_target_selectivity_ci_upper
3,C32-d8-L2-H4-m4-ffnnone,0,10,0,training_seed,1.566988480091095,0.4093779278826015,1.3471796223521233,1.8249055930972098,0.50859375,0.06205899096323594,0.47265625,0.5453125,1.5536086440086365,0.35582113047318686,1.3554484537243843,1.7727240893244736,0.499609375,0.054546258580097005,0.468359375,0.532421875,0.003857433795928955,0.0689618647731875,-0.034487793648149814,0.046289858918171334,0.09450699146836997,0.14468645671883829,0.030952705442905425,0.1896823203004895,0.1794615000486374,0.11204710877427439,0.12435189802199603,0.25282906681299205,0.043344314536079766,0.03962124480032229,0.021122290939092635,0.06747671270743012,0.013668794801924377,0.019996734068805533,0.0037180793297011405,0.02675581223302285,1.5797428250312806,0.39152028500736885,1.3698727589845658,1.8234289637207983,-0.007764834607951343,0.004546692643293799,-0.010450073843821883,-0.005125386184663515,-0.22932031675009057,0.09040665727816406,-0.28124528381711567,-0.1754955523996614,0.7706737756729126,0.028031894845729124,0.7540428288280964,0.7867144237458705,0.8865888118743896,0.04571663205994944,0.8597963809967041,0.9135360576212405,0.18547990620136262,0.08838294962038284,0.13773736163973807,0.2418150712549685,0.2774545416235924,0.07497424970271274,0.235935381911695,0.3234888919442891,0.4338485851883888,0.1298428893954229,0.36336435422301294,0.5144966115802526,0.17723955884575843,0.051630071211984006,0.14929317316040397,0.20939338859170675
3,C32-d8-L2-H4-m4-ffnnone,800,10,0,training_seed,0.02806638041511178,0.015105653271088962,0.020663160341791807,0.038016667519696054,0.992578125,0.005952671588886698,0.988671875,0.9953125,0.022445625090040267,0.019182922123151796,0.011556311789900065,0.03394796966109424,0.994140625,0.00560047217906421,0.990625,0.997265625,0.9803718626499176,0.009432557807721067,0.9744708390533925,0.985562463849783,0.023553069867193698,0.014680694783254325,0.016072042658925055,0.033039306299760936,0.05022383220493794,0.020827341308591804,0.03884979337453842,0.06330264117568732,0.0068530627526342865,0.003002523742407974,0.005121558697428554,0.008622037046588956,0.00742384281475097,0.003030712832029986,0.005757283210987225,0.009321128395386038,0.021893643774092197,0.009248029724417565,0.01670691905077547,0.02752653777133672,0.17568995654582978,0.041631433893679855,0.14902881503105164,0.19721028208732605,1.0919945348985494,0.45968728779081824,0.8025480529898777,1.3399706497788428,0.4840893536806107,0.07290214940027732,0.4388507573306561,0.5237769688665866,0.9482731640338897,0.016680113653373442,0.9394645215570927,0.9589416943490505,0.10915340073406696,0.058811245515876645,0.07578706976026298,0.14516841247677803,0.503774631023407,0.06264784991396413,0.471131941601634,0.5439521113783121,0.1558012343943119,0.06566419720157936,0.12570005880668758,0.19975065343081952,0.7867224663496017,0.18534725963771057,0.6630575643479825,0.8706246493756771
6,C32-d8-L2-H1-m4-ffn16,0,10,0,training_seed,2.1510312259197235,1.437947840845355,1.456459759473801,3.1074246601760365,0.49921875,0.059464023174381105,0.464453125,0.533984375,2.1583177924156187,1.4160514832677473,1.474050369560719,3.100201520621776,0.496484375,0.04883940841851116,0.4671875,0.52421875,0.005341242603026331,0.10794615611299462,-0.06028759388718754,0.06542317404178902,0.13017866825684904,0.20841897598183867,0.04405887351371349,0.26832718013320106,0.1847475588321686,0.10929127313574162,0.12850976211950185,0.2550724048912525,0.08630235474556684,0.09357013750570557,0.035732296635396794,0.1437771179154515,0.018679626181256025,0.04079727133185734,0.0033645987798809076,0.04566226043272761,2.1560859084129333,1.3550884849879141,1.4776459312438965,3.0437875747680665,-0.01123153124935925,0.015482732031345153,-0.02024504616856575,-0.0018769686832092864,-0.19721859470009803,0.11232153681173074,-0.2638824589038268,-0.13263098460622133,0.8047935485839843,0.03846247023667577,0.7821128036081791,0.827130913734436,0.8805577635765076,0.044283554319678294,0.8536865957081318,0.9056822255253791,0.16693897396326066,0.053860822724717296,0.13730968162417412,0.20022734571248285,0.3023415431380272,0.07089610432693579,0.26021224845200774,0.3430985764414072,0.49403583705425264,0.12330192332108966,0.42078765302896504,0.5651286244392395,0.1433205734938383,0.08409018426532325,0.0973709337413311,0.19593843195587396
6,C32-d8-L2-H1-m4-ffn16,800,10,8,training_seed,0.0014067396587051917,0.0028828256508325757,0.00034937493650431865,0.0032983160982985264,0.999609375,0.0012352647110032732,0.998828125,1.0,0.002773468593659345,0.005261978319465768,0.0003375046643486713,0.006053279953230228,0.99921875,0.0016470196146710309,0.998046875,1.0,0.9978018522262573,0.004360217865723058,0.9948357918858528,0.9999195006489754,0.0025530993443680927,0.005078848609424696,0.00014281707408372312,0.0058741308292883316,0.009137560008093714,0.007200780860579393,0.005559478738578036,0.013905962187563995,0.00026234089891659097,0.0003241526295163865,9.680267417934377e-05,0.000477804273887159,0.0003656640830740798,0.0004563155521270114,0.00012512309258454478,0.0006654390170297119,0.0012617010623216629,0.0015550520000596085,0.0004945648538705428,0.0023081657817965603,0.442459636926651,0.0862815005834003,0.3963245426118374,0.4963442349433898,3.237781012058258,0.5577359155655581,2.920480118989945,3.567136948481202,0.6130948066711426,0.05777737247142947,0.5788919740915298,0.6455447867512702,0.899124538898468,0.030606656870010174,0.8813628494739533,0.9173656751215458,0.16090560480952262,0.053112091137308276,0.13144508333876728,0.1929390498436987,0.4941387563943863,0.11234753165822745,0.4252572864294052,0.555846618041396,0.23529484272003173,0.07707852267415705,0.18998146012425424,0.2800101997703313,0.7556020259857178,0.09058198313003969,0.7066551931202412,0.8120146152377129
7,C32-d8-L2-H4-m4-ffn16,0,10,0,training_seed,2.1980079054832458,1.5296426926376545,1.4563053372502328,3.216118476688861,0.505859375,0.06358247707552002,0.4671875,0.540625,2.230830526351929,1.5363020926982098,1.4831237196922302,3.251217301189899,0.502734375,0.06054477482916741,0.466015625,0.536328125,0.013046885980293155,0.13549557879231333,-0.07191408014507034,0.08483195615815924,0.10114195737987756,0.12279106609133295,0.04136313401628286,0.1828249704092741,0.17970864176750184,0.09350086366564606,0.1287011331692338,0.2379959100857376,0.07968278010375798,0.09683896128241924,0.03160818174132146,0.14225044282968155,0.013933022966375575,0.021123611449586785,0.0033991594263352476,0.027909174722008132,2.21356086730957,1.467036926289828,1.4804379230737685,3.1778545653820025,-0.007798371149692685,0.006855283795374694,-0.012006564019247889,-0.0039672655871254405,-0.1804872243432328,0.059468096227676015,-0.21732258553645806,-0.1475543551906594,0.8047935485839843,0.03846247023667577,0.7821128036081791,0.827130913734436,0.8805577635765076,0.044283554319678294,0.8536865957081318,0.9056822255253791,0.16693897396326066,0.053860822724717296,0.13730968162417412,0.20022734571248285,0.3023415431380272,0.07089610432693579,0.26021224845200774,0.3430985764414072,0.5009663000702858,0.1290040569784973,0.42215409070253374,0.5733037590235471,0.13328858986496925,0.07527761604603093,0.09368215717375279,0.18187193425372217
7,C32-d8-L2-H4-m4-ffn16,800,10,1,training_seed,0.021790152741596104,0.024034097187248374,0.008993525660480372,0.037107675513834676,0.994921875,0.006121176704970395,0.991015625,0.998046875,0.018185667437501253,0.01898110570190926,0.008413678145734595,0.03042282636102753,0.9953125,0.005142817098471745,0.9921875,0.998046875,0.9761193990707397,0.022056070088927293,0.962426466792822,0.9879576329886913,0.017971918062539772,0.02123596015787035,0.008232986709335819,0.03231764434021898,0.03991928054019809,0.029868197507084884,0.02451618315652013,0.05940071054967119,0.008296081074513495,0.008366796435086971,0.003910272525390611,0.013790708641754463,0.008181802416220307,0.00664551043322637,0.004471249267226085,0.012289254041388632,0.024898904794827103,0.023421725879345344,0.012233897298574452,0.039539890368469055,0.17031493484973909,0.042589726897641934,0.1459765563160181,0.19561704993247986,1.1977908313623629,0.9194013211536767,0.6907800054177642,1.7690832186097392,0.5426887452602387,0.06716398727598846,0.5019438868761062,0.5806593296676874,0.9384557366371155,0.032956770966650145,0.9189121860265732,0.9576519918441772,0.1391942236572504,0.050971018294630646,0.10965620086528362,0.1683754621539265,0.45823529064655305,0.11029604588415023,0.39335030741989613,0.5206948631256819,0.25898237377405164,0.11037824563252667,0.199874557107687,0.3277493332326412,0.5979083716869354,0.2286470322951036,0.4610326111316681,0.7258599123358724
11,C128-d32-L2-H4-m4-ffnnone,0,10,0,training_seed,1.6583291888237,0.3691028556131696,1.45092386841774,1.8792118307948111,0.495703125,0.07189693392678798,0.455078125,0.539453125,1.6701527833938599,0.3803332909725512,1.455181360244751,1.895300964713096,0.493359375,0.06458254577812822,0.45703125,0.532421875,-0.0015233886428177358,0.13873827603088845,-0.0752156898449175,0.08682641208404673,0.08809405192732811,0.035898151155493885,0.06670746676623822,0.10891296237707138,0.21976222693920136,0.04911325982508496,0.18925645109266045,0.24651677999645472,0.10566276423633099,0.09657289666882908,0.05395928117912263,0.16635701461695132,0.011187911266461015,0.011826868126267999,0.005693508941330947,0.01895468544680625,1.678024411201477,0.4332481584929147,1.4327000537514687,1.9343553543090821,-0.005870160099584609,0.00395585042439827,-0.008291895897127689,-0.0036447896837489735,-0.17591974303359165,0.04537474369719777,-0.20302077991422265,-0.15033666503499266,0.7907246649265289,0.011686659022753867,0.7840866972506046,0.7976895661652088,0.6504977762699127,0.03676813632357891,0.6289667700231075,0.6717082440853119,0.1944393038749695,0.06069519254921436,0.1559872142970562,0.22632241338491435,0.2650943845510483,0.019161577773590073,0.2538928391039372,0.27632324948906895,0.6669924557209015,0.08492183387617742,0.6161544559895993,0.7153168508410453,0.07619597688317299,0.013242229121215612,0.0688689125701785,0.08429407868534324
11,C128-d32-L2-H4-m4-ffnnone,800,10,7,training_seed,0.002776165299292188,0.0050814779416781235,0.00039158433475677167,0.006135255408044031,0.99921875,0.0016470196146710309,0.998046875,1.0,0.00411188974394463,0.009493690360812468,0.00030086645754636267,0.010106155555695296,0.998828125,0.0026365178035568475,0.997265625,1.0,0.9970687448978424,0.004179503393599867,0.9945232748985291,0.9994185988605023,0.0022129279517685064,0.003983178917606699,0.00018860364598367603,0.004877469673847372,0.009417264955118299,0.0036006061503902564,0.007441032415954397,0.011662300730822603,0.0004253900478943251,0.00039907042414842093,0.00020563883786962837,0.000668067792939837,0.0005607767050605616,0.0004811203042636874,0.0002789591697364813,0.0008426270270683739,0.0018953025544760748,0.0016247137487615882,0.000976879390436807,0.0028799219179200006,0.26528535783290863,0.05484851141897738,0.23263391122221946,0.2967440973967313,1.9074389721266924,0.34317782971257144,1.7026332857087254,2.105780002034735,0.4905616968870163,0.0401178758729085,0.4694366067647934,0.5160491868108511,0.7352120280265808,0.02700534453824918,0.7196124382317066,0.7514246647059918,0.1341791070997715,0.03432264995403203,0.11314355501905084,0.1532895026542246,0.4353166133165359,0.06179437277392992,0.39507782876491543,0.4666083061695098,0.14775318130850792,0.056459487674758925,0.12133917022496463,0.1849202121980488,0.9166595876216889,0.07014204683659422,0.870660176128149,0.9497123458981515
