cell_index,cell_key,from_step,to_step,n_pairs,paired_seeds,sampling_unit,delta_loss,delta_loss_ci_lower,delta_loss_ci_upper,delta_risk,delta_risk_ci_lower,delta_risk_ci_upper,delta_accuracy,delta_accuracy_ci_lower,delta_accuracy_ci_upper,delta_value_flip_effect,delta_value_flip_effect_ci_lower,delta_value_flip_effect_ci_upper,delta_normalized_rank,delta_normalized_rank_ci_lower,delta_normalized_rank_ci_upper
3,C32-d8-L2-H4-m4-ffnnone,400,800,10,0;1;2;3;4;5;6;7;8;9,training_seed,-0.07783397249877452,-0.11342387803131715,-0.05161337420810015,-0.03891698624938726,-0.056711939015658575,-0.025806687104050076,0.02275390625,0.01485595703125,0.03338653564453122,0.07458535432815552,0.051390589028596875,0.10723638996481884,-0.02318519353866577,-0.03035485655069351,-0.015985684469342246
6,C32-d8-L2-H1-m4-ffn16,400,800,10,0;1;2;3;4;5;6;7;8;9,training_seed,-0.022168085204611998,-0.05606309655024233,-0.002967279768963638,-0.011084042602305999,-0.028031548275121165,-0.001483639884481819,0.0059814453125,0.0005859375,0.01578369140625,0.01786811351776123,0.00045893654227256795,0.04984682261943813,-0.009252411127090455,-0.01563195586204529,-0.003829044252634055
7,C32-d8-L2-H4-m4-ffn16,400,800,10,0;1;2;3;4;5;6;7;8;9,training_seed,-0.07524364218115806,-0.12492154452949761,-0.03751665996387601,-0.03762182109057903,-0.062460772264748804,-0.018758329981938004,0.02364501953125,0.011669616699218755,0.03951416015625,0.07227776050567628,0.035818918049335485,0.12145355224609372,-0.03170542716979981,-0.041710832715034486,-0.02212638035416604
11,C128-d32-L2-H4-m4-ffnnone,400,800,10,0;1;2;3;4;5;6;7;8;9,training_seed,-0.0012199567718198523,-0.003379369286703877,0.0009392421574011653,-0.0006099783859099261,-0.0016896846433519385,0.00046962107870058265,0.00023193359375,-0.00050048828125,0.0009521484375,0.0005606234073638916,-0.0023767347633838654,0.002931320667266846,-0.022861117124557497,-0.030038116723299025,-0.01608197629451752
