study_id,cell_id,cell_key,cell_index,num_concepts,d_model,width,load,heads,ffn,ffn_width,learning_rate,n_seeds,seeds,gate_pass_count,gate_pass_rate,loss_mean,loss_standard_deviation,loss_ci_lower,loss_ci_upper,risk_mean,risk_standard_deviation,risk_ci_lower,risk_ci_upper,accuracy_mean,accuracy_standard_deviation,accuracy_ci_lower,accuracy_ci_upper,value_flip_effect_mean,value_flip_effect_standard_deviation,value_flip_effect_ci_lower,value_flip_effect_ci_upper,target_key_effect_mean,target_key_effect_standard_deviation,target_key_effect_ci_lower,target_key_effect_ci_upper,embedding_effective_rank_mean,embedding_effective_rank_standard_deviation,embedding_effective_rank_ci_lower,embedding_effective_rank_ci_upper,normalized_rank_mean,normalized_rank_standard_deviation,normalized_rank_ci_lower,normalized_rank_ci_upper
scaling-tuned-adamw-10seeds-v1,cell-000-b7a02ed77d52,C8-d8-L2-H1-m4-ffnnone,0,8,8,8,1,1,False,,0.003,10,0;1;2;3;4;5;6;7;8;9,10,1.0,0.00040947659363155253,0.00024421733773159673,0.00027850762926391327,0.000563193187044817,0.00020473829681577627,0.00012210866886579836,0.00013925381463195663,0.0002815965935224085,1.0,0.0,1.0,1.0,0.9998827517032624,0.001055933034277253,0.9992567476630211,1.0004815995693206,0.9917721271514892,0.005396062055091543,0.9888430774211884,0.9951872250437735,3.4957520246505736,0.507349551313612,3.1951466178894044,3.7838953518867493,0.4369690030813217,0.0634186939142015,0.39939332723617554,0.47298691898584366
scaling-tuned-adamw-10seeds-v1,cell-001-95e10abb0fde,C8-d8-L2-H4-m4-ffnnone,1,8,8,8,1,4,False,,0.003,10,0;1;2;3;4;5;6;7;8;9,10,1.0,0.0011528247443493456,0.0008277214520017094,0.0007127144571859391,0.0016768570517888288,0.0005764123721746728,0.0004138607260008547,0.00035635722859296955,0.0008384285258944144,1.0,0.0,1.0,1.0,0.999431699514389,0.001609298752499699,0.9984089523553847,1.0002821278572083,0.9816819429397583,0.011276756316906923,0.9747066964209079,0.9878550690412521,3.342714762687683,0.40513891423443477,3.103675937652588,3.5776659756898876,0.4178393453359604,0.050642364279304346,0.3879594922065735,0.44720824696123596
scaling-tuned-adamw-10seeds-v1,cell-002-4a3528c0206e,C32-d8-L2-H1-m4-ffnnone,2,32,8,8,4,1,False,,0.003,10,0;1;2;3;4;5;6;7;8;9,10,1.0,0.0005766605579992756,0.0003073619152153893,0.0004103803673933726,0.0007706211443291977,0.0002883302789996378,0.00015368095760769464,0.0002051901836966863,0.00038531057216459883,0.9999755859375,5.1469362958469715e-05,0.99993896484375,1.0,0.9994429588317871,0.0009297018880711493,0.9988832931220532,0.9999764060974121,1.0005252659320831,0.01397844941959528,0.9920553028583526,1.0083835308253766,4.41154978275299,0.4335764121283266,4.167103822827339,4.668062777519226,0.5514437228441238,0.054197051516040824,0.5208879778534173,0.5835078471899032
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,C32-d8-L2-H4-m4-ffnnone,3,32,8,8,4,4,False,,0.003,10,0;1;2;3;4;5;6;7;8;9,10,1.0,0.022067592665553092,0.009144241450967247,0.01685130763798952,0.027580125292297447,0.011033796332776546,0.0045721207254836235,0.00842565381899476,0.013790062646148724,0.99415283203125,0.0027128126320713594,0.9924560546875,0.99561767578125,0.979550164937973,0.009200514125626289,0.9741851997375488,0.9850451707839966,0.9810902833938598,0.014573079523623876,0.9726313245296477,0.9896688939630985,3.8727148294448854,0.5832171952022186,3.5108060586452488,4.190215750932693,0.4840893536806107,0.07290214940027732,0.4388507573306561,0.5237769688665866
scaling-tuned-adamw-10seeds-v1,cell-004-173da0011095,C8-d8-L2-H1-m4-ffn16,4,8,8,8,1,1,True,16,0.003,10,0;1;2;3;4;5;6;7;8;9,10,1.0,0.0003233974101021886,0.0002494654995730679,0.00020527770218905063,0.0004893159280254619,0.0001616987050510943,0.00012473274978653395,0.00010263885109452532,0.00024465796401273093,1.0,0.0,1.0,1.0,1.0001288533210755,0.0009999473030261566,0.9995651407539845,1.0007395346462726,0.9951884090900421,0.010814969078265345,0.9889950664341449,1.001758349686861,3.585466241836548,0.3177255224901029,3.3963685894012454,3.7668581503629683,0.4481832802295685,0.03971569031126286,0.4245460736751557,0.47085726879537104
scaling-tuned-adamw-10seeds-v1,cell-005-e6fff93be5a2,C8-d8-L2-H4-m4-ffn16,5,8,8,8,1,4,True,16,0.003,10,0;1;2;3;4;5;6;7;8;9,10,1.0,0.0008903149268007837,0.0012586471426547468,0.00036110652734350885,0.0017238385261225625,0.00044515746340039185,0.0006293235713273734,0.00018055326367175442,0.0008619192630612813,0.9998779296875,0.0003860202221885229,0.9996337890625,1.0,0.9989002346992493,0.004029578536623352,0.9961927819252014,1.0005627140402793,0.9901131153106689,0.01601819007759005,0.9799039269983768,0.9981207130849362,3.5829335689544677,0.37480696059824253,3.3604059106111523,3.796948902606964,0.44786669611930846,0.04685087007478032,0.42005073882639404,0.4746186128258705
scaling-tuned-adamw-10seeds-v1,cell-006-f100eb25da99,C32-d8-L2-H1-m4-ffn16,6,32,8,8,4,1,True,16,0.003,10,0;1;2;3;4;5;6;7;8;9,10,1.0,0.0013653737798449584,0.0020897834916714653,0.0004944729263661429,0.00276111683819181,0.0006826868899224792,0.0010448917458357326,0.00024723646318307145,0.001380558419095905,0.999755859375,0.0004848785517502029,0.9994384765625,0.999951171875,0.9985617697238922,0.003370737247038672,0.9963036705553532,1.0000204677879811,1.0008064925670623,0.016456098940927553,0.9906517243385315,1.00970544308424,4.904758453369141,0.4622189797714358,4.6311357927322385,5.164358294010162,0.6130948066711426,0.05777737247142947,0.5788919740915298,0.6455447867512702
scaling-tuned-adamw-10seeds-v1,cell-007-8736a677897e,C32-d8-L2-H4-m4-ffn16,7,32,8,8,4,4,True,16,0.003,10,0;1;2;3;4;5;6;7;8;9,10,1.0,0.021390078589320183,0.018802437199946093,0.011407086891122164,0.033391216427553445,0.010695039294660091,0.009401218599973046,0.005703543445561082,0.016695608213776723,0.99381103515625,0.005649641833397882,0.99014892578125,0.99681396484375,0.9784067809581757,0.018773960360923183,0.966811569184065,0.9885133147239685,0.9795289218425751,0.032247941266555405,0.9598005652427674,0.9974196599423886,4.3415099620819095,0.5373118982079077,4.01555109500885,4.645274637341499,0.5426887452602387,0.06716398727598846,0.5019438868761062,0.5806593296676874
scaling-tuned-adamw-10seeds-v1,cell-008-b0acb3f0bc5a,C32-d32-L2-H1-m4-ffnnone,8,32,32,32,1,1,False,,0.003,10,0;1;2;3;4;5;6;7;8;9,10,1.0,7.886648418207188e-05,3.5736212720529076e-05,5.943178379311576e-05,0.00010135625509064988,3.943324209103594e-05,1.7868106360264538e-05,2.971589189655788e-05,5.067812754532494e-05,1.0,0.0,1.0,1.0,1.0006543159484864,0.0010445838835041767,1.000030267238617,1.0012564301490783,1.0016084015369415,0.007688878481691954,0.9969609089195728,1.0060341656208038,12.323666858673096,0.38244685285810337,12.104699351787566,12.55126756668091,0.38511458933353426,0.01195146415181573,0.37827185474336145,0.3922271114587784
scaling-tuned-adamw-10seeds-v1,cell-009-ab32a69e245d,C32-d32-L2-H4-m4-ffnnone,9,32,32,32,1,4,False,,0.003,10,0;1;2;3;4;5;6;7;8;9,10,1.0,0.0006660837934759911,0.0012488652533416578,0.00014320898486403167,0.0014797817609360207,0.00033304189673799556,0.0006244326266708289,7.160449243201583e-05,0.0007398908804680103,0.99984130859375,0.0003904978227216822,0.99959716796875,1.0,0.9984093904495239,0.004318490140577833,0.9955795645713806,1.000469599366188,0.9998531103134155,0.01045597640604151,0.9935590711236,1.0058895802497863,11.469383430480956,0.7260459084162948,11.024749565124512,11.86877420425415,0.3584182322025299,0.022688934638009212,0.344523423910141,0.3708991938829422
scaling-tuned-adamw-10seeds-v1,cell-010-e2d6e09349f6,C128-d32-L2-H1-m4-ffnnone,10,128,32,32,4,1,False,,0.003,10,0;1;2;3;4;5;6;7;8;9,10,1.0,0.000649280129437102,0.0013039739527797912,0.00017157296686491465,0.001503889050745782,0.000324640064718551,0.0006519869763898956,8.578648343245732e-05,0.000751944525372891,0.999853515625,0.0003394637632586948,0.9996337890625,0.99998779296875,0.9988756656646729,0.002372732452488521,0.9972946383059025,0.9999734665453434,0.9989821135997772,0.010048706046877985,0.9934466663002969,1.0051476652920246,18.77883071899414,1.281546917413569,18.06573525905609,19.5564822435379,0.5868384599685669,0.04004834116917403,0.5645542268455028,0.6111400701105594
