study_id,cell_id,cell_index,cell_key,seed,step,configured_steps,d_model,width,num_concepts,load,num_heads,heads,num_layers,memory_size,ffn_width,ffn,learning_rate,embedding_effective_rank,normalized_rank,embedding_coherence,function_base_accuracy,function_risk,donor_accuracy,value_flip_effect,natural_swap_mse,full_causal_gate_pass
scaling-tuned-adamw-10seeds-v1,cell-000-b7a02ed77d52,0,C8-d8-L2-H1-m4-ffnnone,0,800,800,8,8,8,1,1,1,2,4,,False,0.003,3.144893169403076,0.3931116461753845,0.8206034302711487,1.0,0.0002730850537773222,1.0,1.001152515411377,0.0005498217651620507,True
scaling-tuned-adamw-10seeds-v1,cell-000-b7a02ed77d52,0,C8-d8-L2-H1-m4-ffnnone,1,800,800,8,8,8,1,1,1,2,4,,False,0.003,3.8341257572174072,0.4792657196521759,0.7744725942611694,1.0,0.00019234282081015408,1.0,0.9996629953384399,0.00026154337683692575,True
scaling-tuned-adamw-10seeds-v1,cell-000-b7a02ed77d52,0,C8-d8-L2-H1-m4-ffnnone,2,800,800,8,8,8,1,1,1,2,4,,False,0.003,3.3267390727996826,0.4158423840999603,0.7838642597198486,1.0,0.0002422557445243001,1.0,1.0003187656402588,0.00021216445020399988,True
scaling-tuned-adamw-10seeds-v1,cell-000-b7a02ed77d52,0,C8-d8-L2-H1-m4-ffnnone,3,800,800,8,8,8,1,1,1,2,4,,False,0.003,4.0302629470825195,0.5037828683853149,0.6436929106712341,1.0,0.00017194708925671875,1.0,0.9985817074775696,0.00019774734391830862,True
scaling-tuned-adamw-10seeds-v1,cell-000-b7a02ed77d52,0,C8-d8-L2-H1-m4-ffnnone,4,800,800,8,8,8,1,1,1,2,4,,False,0.003,2.8542280197143555,0.35677850246429443,0.8734279870986938,1.0,0.0002905464789364487,1.0,0.9979755878448486,0.0003868325729854405,True
scaling-tuned-adamw-10seeds-v1,cell-000-b7a02ed77d52,0,C8-d8-L2-H1-m4-ffnnone,5,800,800,8,8,8,1,1,1,2,4,,False,0.003,3.352116107940674,0.41901451349258423,0.7929075956344604,1.0,0.00019541816436685622,1.0,0.9994838833808899,0.0002502792631275952,True
scaling-tuned-adamw-10seeds-v1,cell-000-b7a02ed77d52,0,C8-d8-L2-H1-m4-ffnnone,6,800,800,8,8,8,1,1,1,2,4,,False,0.003,3.915465831756592,0.489433228969574,0.7226185202598572,1.0,0.0005229084054008126,1.0,1.0012335777282715,0.0004239609697833657,True
scaling-tuned-adamw-10seeds-v1,cell-000-b7a02ed77d52,0,C8-d8-L2-H1-m4-ffnnone,7,800,800,8,8,8,1,1,1,2,4,,False,0.003,2.6326301097869873,0.3290787637233734,0.8755658864974976,1.0,6.0308826505206525e-05,1.0,0.999464750289917,4.0661328966962174e-05,True
scaling-tuned-adamw-10seeds-v1,cell-000-b7a02ed77d52,0,C8-d8-L2-H1-m4-ffnnone,8,800,800,8,8,8,1,1,1,2,4,,False,0.003,3.814903736114502,0.47686296701431274,0.7678872346878052,1.0,8.089897892205045e-05,1.0,0.9994522333145142,7.649822509847581e-05,True
scaling-tuned-adamw-10seeds-v1,cell-000-b7a02ed77d52,0,C8-d8-L2-H1-m4-ffnnone,9,800,800,8,8,8,1,1,1,2,4,,False,0.003,4.052155494689941,0.5065194368362427,0.5985098481178284,1.0,8.88919603312388e-05,1.0,0.99985671043396,0.00010651929187588394,True
scaling-tuned-adamw-10seeds-v1,cell-001-95e10abb0fde,1,C8-d8-L2-H4-m4-ffnnone,0,800,800,8,8,8,1,4,4,2,4,,False,0.003,3.620215892791748,0.4525269865989685,0.6143341660499573,1.0,0.0006669028080068529,1.0,0.9954577684402466,0.0013052902650088072,True
scaling-tuned-adamw-10seeds-v1,cell-001-95e10abb0fde,1,C8-d8-L2-H4-m4-ffnnone,1,800,800,8,8,8,1,4,4,2,4,,False,0.003,3.672609567642212,0.4590761959552765,0.8301230072975159,1.0,0.0002857188228517771,1.0,1.0010515451431274,0.0008958883117884398,True
scaling-tuned-adamw-10seeds-v1,cell-001-95e10abb0fde,1,C8-d8-L2-H4-m4-ffnnone,2,800,800,8,8,8,1,4,4,2,4,,False,0.003,3.120584011077881,0.3900730013847351,0.8266047239303589,1.0,0.0009712814353406429,1.0,1.0055537223815918,0.0016878709429875016,True
