cell_index,cell_key,seed,from_step,to_step,from_loss,to_loss,delta_loss,from_risk,to_risk,delta_risk,from_accuracy,to_accuracy,delta_accuracy,from_value_flip_effect,to_value_flip_effect,delta_value_flip_effect,from_normalized_rank,to_normalized_rank,delta_normalized_rank
3,C32-d8-L2-H4-m4-ffnnone,0,400,800,0.05557410418987274,0.012602434493601322,-0.04297166969627142,0.02778705209493637,0.006301217246800661,-0.02148583484813571,0.98486328125,0.9971923828125,0.0123291015625,0.9445783495903015,0.9838120937347412,0.0392337441444397,0.4909573793411255,0.47365087270736694,-0.017306506633758545
3,C32-d8-L2-H4-m4-ffnnone,1,400,800,0.07968223094940186,0.025009002536535263,-0.05467322841286659,0.03984111547470093,0.012504501268267632,-0.027336614206433296,0.97998046875,0.992919921875,0.012939453125,0.9293111562728882,0.9781562089920044,0.04884505271911621,0.4792884588241577,0.45680591464042664,-0.02248254418373108
3,C32-d8-L2-H4-m4-ffnnone,2,400,800,0.10471630096435547,0.022643275558948517,-0.08207302540540695,0.052358150482177734,0.011321637779474258,-0.041036512702703476,0.968505859375,0.9945068359375,0.0260009765625,0.8958399295806885,0.9745805263519287,0.07874059677124023,0.5290082693099976,0.5001204013824463,-0.02888786792755127
3,C32-d8-L2-H4-m4-ffnnone,3,400,800,0.10980663448572159,0.027961432933807373,-0.08184520155191422,0.054903317242860794,0.013980716466903687,-0.04092260077595711,0.9698486328125,0.99365234375,0.0238037109375,0.8873511552810669,0.9732531309127808,0.08590197563171387,0.5289193987846375,0.5131912231445312,-0.0157281756401062
3,C32-d8-L2-H4-m4-ffnnone,4,400,800,0.04853972792625427,0.010410222224891186,-0.03812950570136309,0.024269863963127136,0.005205111112445593,-0.019064752850681543,0.9847412109375,0.996826171875,0.0120849609375,0.9474153518676758,0.9939082860946655,0.046492934226989746,0.5472585558891296,0.5322278738021851,-0.01503068208694458
3,C32-d8-L2-H4-m4-ffnnone,5,400,800,0.130722314119339,0.03174401819705963,-0.09897829592227936,0.0653611570596695,0.015872009098529816,-0.04948914796113968,0.965576171875,0.991943359375,0.0263671875,0.8869479894638062,0.9671410918235779,0.08019310235977173,0.6243730783462524,0.5958175659179688,-0.02855551242828369
3,C32-d8-L2-H4-m4-ffnnone,6,400,800,0.0900438129901886,0.016564179211854935,-0.07347963377833366,0.0450219064950943,0.008282089605927467,-0.03673981688916683,0.9737548828125,0.9954833984375,0.021728515625,0.91526198387146,0.9787553548812866,0.06349337100982666,0.4894995391368866,0.4552289545536041,-0.03427058458328247
3,C32-d8-L2-H4-m4-ffnnone,7,400,800,0.042103350162506104,0.02134087309241295,-0.020762477070093155,0.021051675081253052,0.010670436546206474,-0.010381238535046577,0.9891357421875,0.994384765625,0.0052490234375,0.9605274200439453,0.9879915714263916,0.02746415138244629,0.5369158983230591,0.5363617539405823,-0.0005541443824768066
3,C32-d8-L2-H4-m4-ffnnone,8,400,800,0.2531430423259735,0.038942765444517136,-0.21420027688145638,0.12657152116298676,0.019471382722258568,-0.10710013844072819,0.9249267578125,0.9881591796875,0.063232421875,0.7662121057510376,0.9678918123245239,0.20167970657348633,0.5022964477539062,0.45703843235969543,-0.045258015394210815
3,C32-d8-L2-H4-m4-ffnnone,9,400,800,0.08468413352966309,0.013457722961902618,-0.07122641056776047,0.04234206676483154,0.006728861480951309,-0.035613205283880234,0.97265625,0.9964599609375,0.0238037109375,0.9162026643753052,0.9900115728378296,0.07380890846252441,0.34422844648361206,0.3204505443572998,-0.023777902126312256
6,C32-d8-L2-H1-m4-ffn16,0,400,800,0.0021089930087327957,0.0008589808130636811,-0.0012500121956691146,0.0010544965043663979,0.00042949040653184056,-0.0006250060978345573,0.99951171875,0.9998779296875,0.0003662109375,0.9982006549835205,0.9998214244842529,0.0016207695007324219,0.6074804663658142,0.6090466380119324,0.001566171646118164
6,C32-d8-L2-H1-m4-ffn16,1,400,800,0.002641459461301565,0.00047010910930112004,-0.002171350352000445,0.0013207297306507826,0.00023505455465056002,-0.0010856751760002226,0.9998779296875,1.0,0.0001220703125,0.9997995495796204,0.9995977878570557,-0.00020176172256469727,0.6144797205924988,0.6017205715179443,-0.012759149074554443
