seed,cell_key,transition,stress_gate_pass,tuned_gate_pass,stress_risk,tuned_risk,delta_risk,stress_accuracy,tuned_accuracy,delta_accuracy,stress_value_flip_effect,tuned_value_flip_effect,delta_value_flip_effect,stress_normalized_rank,tuned_normalized_rank,delta_normalized_rank
0,C128-d32-L2-H1-m4-ffn64,pass_to_pass,True,True,8.892720506992191e-05,8.143037848640233e-05,-7.496826583519578e-06,1.0,1.0,0.0,1.0006999969482422,0.9996304512023926,-0.0010695457458496094,0.4742048978805542,0.5785991549491882,0.10439425706863403
0,C128-d32-L2-H1-m4-ffnnone,fail_to_pass,False,True,0.504170298576355,6.037772982381284e-05,-0.5041099208465312,0.4981689453125,1.0,0.5018310546875,-1.2254677130840719e-06,1.000220775604248,1.0002220010719611,0.7655636072158813,0.6484652757644653,-0.11709833145141602
0,C128-d32-L2-H4-m4-ffn64,pass_to_pass,True,True,9.245271212421358e-05,0.00021591995027847588,0.0001234672381542623,1.0,0.9998779296875,-0.0001220703125,0.9996167421340942,1.0018036365509033,0.002186894416809082,0.38390278816223145,0.5020450949668884,0.11814230680465698
0,C128-d32-L2-H4-m4-ffnnone,pass_to_pass,True,True,0.0010417852317914367,0.004617390222847462,0.003575604991056025,0.9996337890625,0.9974365234375,-0.002197265625,0.999738335609436,0.9880272150039673,-0.01171112060546875,0.38030537962913513,0.47445008158683777,0.09414470195770264
0,C32-d32-L2-H1-m4-ffn64,pass_to_pass,True,True,2.9825157980667427e-05,2.5825424017966725e-05,-3.999733962700702e-06,1.0,1.0,0.0,0.9995083212852478,0.9999857544898987,0.0004774332046508789,0.3570939004421234,0.4035652279853821,0.04647132754325867
0,C32-d32-L2-H1-m4-ffnnone,pass_to_pass,True,True,8.894241909729317e-05,2.0950919861206785e-05,-6.799149923608638e-05,1.0,1.0,0.0,0.999957799911499,0.999531626701355,-0.00042617321014404297,0.3190831243991852,0.3833097219467163,0.06422659754753113
0,C32-d32-L2-H4-m4-ffn64,pass_to_pass,True,True,5.613119719782844e-05,4.9310379836242646e-05,-6.820817361585796e-06,1.0,1.0,0.0,0.9995317459106445,0.9988376498222351,-0.0006940960884094238,0.3212243318557739,0.36123624444007874,0.04001191258430481
0,C32-d32-L2-H4-m4-ffnnone,pass_to_pass,True,True,6.81215533404611e-05,6.0233272961340845e-05,-7.88828037912026e-06,1.0,1.0,0.0,0.9997562170028687,0.9986327886581421,-0.0011234283447265625,0.3340320587158203,0.36407148838043213,0.030039429664611816
0,C32-d8-L2-H1-m4-ffn16,pass_to_pass,True,True,8.016251376830041e-05,0.00042949040653184056,0.00034932789276354015,1.0,0.9998779296875,-0.0001220703125,0.9994926452636719,0.9998214244842529,0.0003287792205810547,0.5893607139587402,0.6090466380119324,0.01968592405319214
0,C32-d8-L2-H1-m4-ffnnone,pass_to_pass,True,True,0.04644370451569557,0.00018041199655272067,-0.04626329251914285,0.973388671875,1.0,0.026611328125,0.9010993242263794,0.999498724937439,0.09839940071105957,0.5777451992034912,0.6486161947250366,0.07087099552154541
0,C32-d8-L2-H4-m4-ffn16,pass_to_pass,True,True,0.002603476168587804,0.004716132767498493,0.0021126565989106894,0.9986572265625,0.9970703125,-0.0015869140625,0.9858026504516602,0.9919058680534363,0.006103217601776123,0.4069501459598541,0.47645899653434753,0.06950885057449341
0,C32-d8-L2-H4-m4-ffnnone,pass_to_pass,True,True,0.005541842430830002,0.006301217246800661,0.0007593748159706593,0.9969482421875,0.9971923828125,0.000244140625,0.9976836442947388,0.9838120937347412,-0.013871550559997559,0.42374563217163086,0.47365087270736694,0.049905240535736084
0,C8-d8-L2-H1-m4-ffn16,pass_to_pass,True,True,9.004019375424832e-05,0.00021034028031863272,0.0001203000865643844,1.0,1.0,0.0,0.9993036389350891,1.0006632804870605,0.0013596415519714355,0.4740088880062103,0.43836769461631775,-0.03564119338989258
0,C8-d8-L2-H1-m4-ffnnone,pass_to_pass,True,True,0.00010520342766540125,0.0002750116400420666,0.00016980821237666532,1.0,1.0,0.0,0.9992197751998901,1.001523733139038,0.0023039579391479492,0.38764336705207825,0.3931116461753845,0.005468279123306274
0,C8-d8-L2-H4-m4-ffn16,pass_to_pass,True,True,0.00015805684961378574,0.0003191994037479162,0.00016114255413413048,1.0,1.0,0.0,0.998557448387146,0.9988524913787842,0.0002950429916381836,0.40050366520881653,0.49615681171417236,0.09565314650535583
0,C8-d8-L2-H4-m4-ffnnone,pass_to_pass,True,True,0.00028021688922308385,0.0007334143738262355,0.0004531974846031517,1.0,1.0,0.0,0.9988555908203125,0.9956342577934265,-0.0032213330268859863,0.3883035480976105,0.4525269865989685,0.06422343850135803
1,C128-d32-L2-H1-m4-ffn64,pass_to_pass,True,True,0.0009781873086467385,6.549208774231374e-05,-0.0009126952209044248,0.999755859375,1.0,0.000244140625,1.004382848739624,0.9980678558349609,-0.006314992904663086,0.27617883682250977,0.617535412311554,0.3413565754890442
1,C128-d32-L2-H1-m4-ffnnone,pass_to_pass,True,True,0.009242851287126541,0.0002389415167272091,-0.009003909770399332,0.99560546875,0.9998779296875,0.0042724609375,0.972028374671936,0.9993269443511963,0.027298569679260254,0.4944075345993042,0.5656049251556396,0.07119739055633545
1,C128-d32-L2-H4-m4-ffn64,pass_to_pass,True,True,0.0005992596852593124,0.00012349971802905202,-0.00047575996723026037,0.999755859375,1.0,0.000244140625,0.9989152550697327,0.9998735189437866,0.0009582638740539551,0.4321102201938629,0.5110840797424316,0.07897385954856873
1,C128-d32-L2-H4-m4-ffnnone,pass_to_pass,True,True,0.00040987489046528935,0.00019264771253801882,-0.00021722717792727053,1.0,1.0,0.0,1.000691294670105,1.002551555633545,0.0018602609634399414,0.4077741801738739,0.4834735095500946,0.0756993293762207
1,C32-d32-L2-H1-m4-ffn64,pass_to_pass,True,True,7.844406354706734e-05,5.0982136599486694e-05,-2.746192694758065e-05,1.0,1.0,0.0,1.0005700588226318,1.0023868083953857,0.0018167495727539062,0.366516649723053,0.4097868502140045,0.04327020049095154
1,C32-d32-L2-H1-m4-ffnnone,pass_to_pass,True,True,0.00016587052959948778,4.9951468099607155e-05,-0.00011591906149988063,1.0,1.0,0.0,0.998408317565918,1.001389741897583,0.002981424331665039,0.32882294058799744,0.37419772148132324,0.045374780893325806
1,C32-d32-L2-H4-m4-ffn64,pass_to_pass,True,True,0.00012141108163632452,9.500012674834579e-05,-2.6410954887978733e-05,1.0,1.0,0.0,1.0008528232574463,1.002826452255249,0.0019736289978027344,0.332703173160553,0.3931652009487152,0.06046202778816223
1,C32-d32-L2-H4-m4-ffnnone,pass_to_pass,True,True,0.00014729741087649018,0.0001134723934228532,-3.3825017453636974e-05,1.0,1.0,0.0,0.997572660446167,1.001678705215454,0.004106044769287109,0.31239259243011475,0.3443596363067627,0.03196704387664795
