study_id,cell_id,cell_index,cell_key,seed,step,configured_steps,d_model,width,num_concepts,load,num_heads,heads,num_layers,memory_size,ffn_width,ffn,learning_rate,site,site_order,global_cosine,query_target_cosine,query_distractor_cosine,target_selectivity,participation_rank_normalized
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,1,800,800,8,8,32,4,4,4,2,4,,False,0.003,l1.post_attention_residual,3,0.12758567929267883,0.881044864654541,0.02526848018169403,0.855776309967041,0.1342443823814392
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,1,800,800,8,8,32,4,4,4,2,4,,False,0.003,l1.post_ffn_residual,4,0.12758567929267883,0.881044864654541,0.02526848018169403,0.855776309967041,0.1342443823814392
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,2,0,800,8,8,32,4,4,4,2,4,,False,0.003,input_embeddings,0,0.18232610821723938,0.3484386205673218,0.08703842759132385,0.26140016317367554,0.33753645420074463
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,2,0,800,8,8,32,4,4,4,2,4,,False,0.003,l0.post_attention_residual,1,0.30865931510925293,0.4857558608055115,0.25394582748413086,0.231810063123703,0.2997187376022339
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,2,0,800,8,8,32,4,4,4,2,4,,False,0.003,l0.post_ffn_residual,2,0.30865931510925293,0.4857558608055115,0.25394582748413086,0.231810063123703,0.2997187376022339
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,2,0,800,8,8,32,4,4,4,2,4,,False,0.003,l1.post_attention_residual,3,0.44468897581100464,0.5881840586662292,0.41556698083877563,0.17261704802513123,0.2757176160812378
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,2,0,800,8,8,32,4,4,4,2,4,,False,0.003,l1.post_ffn_residual,4,0.44468897581100464,0.5881840586662292,0.41556698083877563,0.17261704802513123,0.2757176160812378
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,2,800,800,8,8,32,4,4,4,2,4,,False,0.003,input_embeddings,0,0.09227867424488068,0.3608996868133545,-0.15126076340675354,0.5121604204177856,0.3081987500190735
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,2,800,800,8,8,32,4,4,4,2,4,,False,0.003,l0.post_attention_residual,1,0.055598534643650055,0.595761775970459,-0.02541298232972622,0.621174693107605,0.26955151557922363
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,2,800,800,8,8,32,4,4,4,2,4,,False,0.003,l0.post_ffn_residual,2,0.055598534643650055,0.595761775970459,-0.02541298232972622,0.621174693107605,0.26955151557922363
