study_id,cell_id,cell_key,cell_index,num_concepts,d_model,width,load,heads,ffn,ffn_width,learning_rate,n_seeds,seeds,full_gate_pass_count,full_gate_pass_rate,embedding_effective_rank_mean,embedding_effective_rank_standard_deviation,embedding_effective_rank_ci_lower,embedding_effective_rank_ci_upper,normalized_rank_mean,normalized_rank_standard_deviation,normalized_rank_ci_lower,normalized_rank_ci_upper,embedding_coherence_mean,embedding_coherence_standard_deviation,embedding_coherence_ci_lower,embedding_coherence_ci_upper,function_base_accuracy_mean,function_base_accuracy_standard_deviation,function_base_accuracy_ci_lower,function_base_accuracy_ci_upper,function_risk_mean,function_risk_standard_deviation,function_risk_ci_lower,function_risk_ci_upper,donor_accuracy_mean,donor_accuracy_standard_deviation,donor_accuracy_ci_lower,donor_accuracy_ci_upper,value_flip_effect_mean,value_flip_effect_standard_deviation,value_flip_effect_ci_lower,value_flip_effect_ci_upper,natural_swap_mse_mean,natural_swap_mse_standard_deviation,natural_swap_mse_ci_lower,natural_swap_mse_ci_upper
scaling-tuned-adamw-10seeds-v1,cell-000-b7a02ed77d52,C8-d8-L2-H1-m4-ffnnone,0,8,8,8,1,1,False,,0.003,10,0;1;2;3;4;5;6;7;8;9,10,1.0,3.4957520246505736,0.507349551313612,3.1951466178894044,3.7838953518867493,0.4369690030813217,0.0634186939142015,0.39939332723617554,0.47298691898584366,0.7653550267219543,0.08977456670065988,0.7102676168084145,0.8149387046694754,1.0,0.0,1.0,1.0,0.00021186035228311085,0.00013544127946978396,0.00013949184913144565,0.0002974084566812962,1.0,0.0,1.0,1.0,0.9997182726860047,0.0010140531312618434,0.9991173082590104,1.000302852243185,0.0002506028587959008,0.00016250896851685215,0.00015832156095711982,0.00034885229346400584
scaling-tuned-adamw-10seeds-v1,cell-001-95e10abb0fde,C8-d8-L2-H4-m4-ffnnone,1,8,8,8,1,4,False,,0.003,10,0;1;2;3;4;5;6;7;8;9,10,1.0,3.342714762687683,0.40513891423443477,3.103675937652588,3.5776659756898876,0.4178393453359604,0.050642364279304346,0.3879594922065735,0.44720824696123596,0.794434231519699,0.0819784152454663,0.742745028436184,0.8384066858887672,1.0,0.0,1.0,1.0,0.0005244130705250427,0.0003409625845314428,0.0003475078455812764,0.000742287484172266,1.0,0.0,1.0,1.0,0.9999624490737915,0.0028299711455408274,0.9983336080610752,1.0016629159450532,0.0009719232795760036,0.0006045318823523513,0.000650862418115139,0.0013537921526585704
scaling-tuned-adamw-10seeds-v1,cell-002-4a3528c0206e,C32-d8-L2-H1-m4-ffnnone,2,32,8,8,4,1,False,,0.003,10,0;1;2;3;4;5;6;7;8;9,10,1.0,4.41154978275299,0.4335764121283266,4.167103822827339,4.668062777519226,0.5514437228441238,0.054197051516040824,0.5208879778534173,0.5835078471899032,0.9244255602359772,0.026824393257394462,0.9078576718270779,0.9392841646075248,1.0,0.0,1.0,1.0,0.0004278519954823423,0.0006133717875109042,0.00018386322421065418,0.0008352111282874824,1.0,0.0,1.0,1.0,0.9994607627391815,0.0012492188452790881,0.9986900687217712,1.0001426991820337,0.0003003605885169236,0.00016728717954009987,0.00020744099335388456,0.0004025937059122952
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,C32-d8-L2-H4-m4-ffnnone,3,32,8,8,4,4,False,,0.003,10,0;1;2;3;4;5;6;7;8;9,0,0.0,3.8727148294448854,0.5832171952022186,3.5108060586452488,4.190215750932693,0.4840893536806107,0.07290214940027732,0.4388507573306561,0.5237769688665866,0.9482731640338897,0.016680113653373442,0.9394645215570927,0.9589416943490505,0.992578125,0.005952671588886698,0.988671875,0.9953125,0.01403319020755589,0.007552826635544481,0.010331580170895903,0.019008333759848027,0.994140625,0.00560047217906421,0.990625,0.997265625,0.9803718626499176,0.009432557807721067,0.9744708390533925,0.985562463849783,0.023553069867193698,0.014680694783254325,0.016072042658925055,0.033039306299760936
scaling-tuned-adamw-10seeds-v1,cell-004-173da0011095,C8-d8-L2-H1-m4-ffn16,4,8,8,8,1,1,True,16,0.003,10,0;1;2;3;4;5;6;7;8;9,10,1.0,3.585466241836548,0.3177255224901029,3.3963685894012454,3.7668581503629683,0.4481832802295685,0.03971569031126286,0.4245460736751557,0.47085726879537104,0.7864408791065216,0.0692719247291978,0.7455741202831269,0.8263460278511048,1.0,0.0,1.0,1.0,0.00015782476693857462,0.00011142154507829427,0.00010348567031542189,0.00023167438470409244,1.0,0.0,1.0,1.0,1.000040465593338,0.001519017791693774,0.9992135079205037,1.000973749756813,0.00027321260058670304,0.00030857521232612956,0.0001339551898490754,0.00047763395848960495
scaling-tuned-adamw-10seeds-v1,cell-005-e6fff93be5a2,C8-d8-L2-H4-m4-ffn16,5,8,8,8,1,4,True,16,0.003,10,0;1;2;3;4;5;6;7;8;9,10,1.0,3.5829335689544677,0.37480696059824253,3.3604059106111523,3.796948902606964,0.44786669611930846,0.04685087007478032,0.42005073882639404,0.4746186128258705,0.7688858330249786,0.07736585785374137,0.7240245465934277,0.8143435299396515,1.0,0.0,1.0,1.0,0.0002905138950154651,0.00021990604063353676,0.00017167703597806397,0.00042867848642345045,1.0,0.0,1.0,1.0,0.9990862846374512,0.0029369546034575915,0.997123239338398,1.0003722190856934,0.0005253383467788808,0.00044946291071239203,0.00028319471177383097,0.000808244965446647
scaling-tuned-adamw-10seeds-v1,cell-006-f100eb25da99,C32-d8-L2-H1-m4-ffn16,6,32,8,8,4,1,True,16,0.003,10,0;1;2;3;4;5;6;7;8;9,8,0.8,4.904758453369141,0.4622189797714358,4.6311357927322385,5.164358294010162,0.6130948066711426,0.05777737247142947,0.5788919740915298,0.6455447867512702,0.899124538898468,0.030606656870010174,0.8813628494739533,0.9173656751215458,0.999609375,0.0012352647110032732,0.998828125,1.0,0.0007033698293525958,0.0014414128254162878,0.00017468746825215933,0.0016491580491492632,0.99921875,0.0016470196146710309,0.998046875,1.0,0.9978018522262573,0.004360217865723058,0.9948357918858528,0.9999195006489754,0.0025530993443680927,0.005078848609424696,0.00014281707408372312,0.0058741308292883316
scaling-tuned-adamw-10seeds-v1,cell-007-8736a677897e,C32-d8-L2-H4-m4-ffn16,7,32,8,8,4,4,True,16,0.003,10,0;1;2;3;4;5;6;7;8;9,1,0.1,4.3415099620819095,0.5373118982079077,4.01555109500885,4.645274637341499,0.5426887452602387,0.06716398727598846,0.5019438868761062,0.5806593296676874,0.9384557366371155,0.032956770966650145,0.9189121860265732,0.9576519918441772,0.994921875,0.006121176704970395,0.991015625,0.998046875,0.010895076370798052,0.012017048593624187,0.004496762830240186,0.018553837756917338,0.9953125,0.005142817098471745,0.9921875,0.998046875,0.9761193990707397,0.022056070088927293,0.962426466792822,0.9879576329886913,0.017971918062539772,0.02123596015787035,0.008232986709335819,0.03231764434021898
scaling-tuned-adamw-10seeds-v1,cell-008-b0acb3f0bc5a,C32-d32-L2-H1-m4-ffnnone,8,32,32,32,1,1,False,,0.003,10,0;1;2;3;4;5;6;7;8;9,10,1.0,12.323666858673096,0.38244685285810337,12.104699351787566,12.55126756668091,0.38511458933353426,0.01195146415181573,0.37827185474336145,0.3922271114587784,0.6194827735424042,0.037855714303430446,0.5975184126198292,0.6421266122162342,1.0,0.0,1.0,1.0,4.023381188744679e-05,1.814308035329566e-05,3.0136804107314677e-05,5.160477640856696e-05,1.0,0.0,1.0,1.0,1.0008970379829407,0.0013326165346584072,1.0001000052690505,1.0016574016213415,2.6546863045950887e-05,1.5705369689983612e-05,1.805851713015727e-05,3.6435780370993587e-05
scaling-tuned-adamw-10seeds-v1,cell-009-ab32a69e245d,C32-d32-L2-H4-m4-ffnnone,9,32,32,32,1,4,False,,0.003,10,0;1;2;3;4;5;6;7;8;9,10,1.0,11.469383430480956,0.7260459084162948,11.024749565124512,11.86877420425415,0.3584182322025299,0.022688934638009212,0.344523423910141,0.3708991938829422,0.6306019246578216,0.031202130419483554,0.6126441933214665,0.6495769573748111,1.0,0.0,1.0,1.0,0.00012380282023514156,0.00010534941606623322,7.272206040397578e-05,0.00019334574867571036,1.0,0.0,1.0,1.0,0.9989192605018615,0.0036023835176980682,0.9965511779487133,1.0006579458713531,0.0001002057546429569,6.003425653556468e-05,6.785873892113158e-05,0.00013765542186774837
scaling-tuned-adamw-10seeds-v1,cell-010-e2d6e09349f6,C128-d32-L2-H1-m4-ffnnone,10,128,32,32,4,1,False,,0.003,10,0;1;2;3;4;5;6;7;8;9,10,1.0,18.77883071899414,1.281546917413569,18.06573525905609,19.5564822435379,0.5868384599685669,0.04004834116917403,0.5645542268455028,0.6111400701105594,0.7004859387874603,0.043217401509301236,0.6768175512552261,0.7272341310977936,1.0,0.0,1.0,1.0,7.350750347541179e-05,4.435277781838633e-05,5.138519206411729e-05,0.00010240114536827598,1.0,0.0,1.0,1.0,0.9989307641983032,0.0018044078294727252,0.9977587161958218,0.9998483139276505,3.6734178320330105e-05,1.8530859501826195e-05,2.5981247204072138e-05,4.7626597579437656e-05
