arm,arm_name,cell_hash,cell_id,checkpoint_index,codebook_geometry,codebook_replica_id,codebook_seed,codebook_seed_scope,codebook_trainable,cohort,config_hash,diag_seed,eval_seed,head_index,init_seed,layer_index,ov_frobenius_norm,ov_rank,patch_seed,prefix_hash,qk_frobenius_norm,qk_rank,realized_codebook_seed,schema_version,seed,step,study_config_hash,study_id,swap_seed,train_seed,walsh_seed
hard-factorized-constant-6400,hard-factorized-constant-6400,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,hard-factorized-constant-6400-6e9beb2f8bd9,1,random_normalized,,271801,master_init_derived,True,discovery-remedy,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,70000100,30000100,2,10000100,0,1.3833507299423218,2,60000100,928cfe70461daf3e4bea193a4ca70dadf399b8f17fc09f1af1cf202d10d53d68,0.9402744770050049,2,10271901,phase2-study-v2,100,25,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,50000100,20000100,40000100
hard-factorized-constant-6400,hard-factorized-constant-6400,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,hard-factorized-constant-6400-6e9beb2f8bd9,1,random_normalized,,271801,master_init_derived,True,discovery-remedy,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,70000100,30000100,3,10000100,0,1.2766848802566528,2,60000100,928cfe70461daf3e4bea193a4ca70dadf399b8f17fc09f1af1cf202d10d53d68,1.0822385549545288,2,10271901,phase2-study-v2,100,25,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,50000100,20000100,40000100
hard-factorized-constant-6400,hard-factorized-constant-6400,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,hard-factorized-constant-6400-6e9beb2f8bd9,1,random_normalized,,271801,master_init_derived,True,discovery-remedy,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,70000100,30000100,0,10000100,1,1.2150201797485352,2,60000100,928cfe70461daf3e4bea193a4ca70dadf399b8f17fc09f1af1cf202d10d53d68,1.0881285667419434,2,10271901,phase2-study-v2,100,25,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,50000100,20000100,40000100
hard-factorized-constant-6400,hard-factorized-constant-6400,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,hard-factorized-constant-6400-6e9beb2f8bd9,1,random_normalized,,271801,master_init_derived,True,discovery-remedy,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,70000100,30000100,1,10000100,1,1.5663979053497314,2,60000100,928cfe70461daf3e4bea193a4ca70dadf399b8f17fc09f1af1cf202d10d53d68,1.6684658527374268,2,10271901,phase2-study-v2,100,25,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,50000100,20000100,40000100
hard-factorized-constant-6400,hard-factorized-constant-6400,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,hard-factorized-constant-6400-6e9beb2f8bd9,1,random_normalized,,271801,master_init_derived,True,discovery-remedy,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,70000100,30000100,2,10000100,1,2.4045801162719727,2,60000100,928cfe70461daf3e4bea193a4ca70dadf399b8f17fc09f1af1cf202d10d53d68,1.7443069219589233,2,10271901,phase2-study-v2,100,25,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,50000100,20000100,40000100
hard-factorized-constant-6400,hard-factorized-constant-6400,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,hard-factorized-constant-6400-6e9beb2f8bd9,1,random_normalized,,271801,master_init_derived,True,discovery-remedy,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,70000100,30000100,3,10000100,1,0.9410483837127686,2,60000100,928cfe70461daf3e4bea193a4ca70dadf399b8f17fc09f1af1cf202d10d53d68,0.692377507686615,2,10271901,phase2-study-v2,100,25,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,50000100,20000100,40000100
hard-factorized-constant-6400,hard-factorized-constant-6400,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,hard-factorized-constant-6400-6e9beb2f8bd9,2,random_normalized,,271801,master_init_derived,True,discovery-remedy,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,70000100,30000100,0,10000100,0,2.572209358215332,2,60000100,928cfe70461daf3e4bea193a4ca70dadf399b8f17fc09f1af1cf202d10d53d68,1.4375598430633545,2,10271901,phase2-study-v2,100,50,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,50000100,20000100,40000100
hard-factorized-constant-6400,hard-factorized-constant-6400,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,hard-factorized-constant-6400-6e9beb2f8bd9,2,random_normalized,,271801,master_init_derived,True,discovery-remedy,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,70000100,30000100,1,10000100,0,1.0348032712936401,2,60000100,928cfe70461daf3e4bea193a4ca70dadf399b8f17fc09f1af1cf202d10d53d68,1.1858775615692139,2,10271901,phase2-study-v2,100,50,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,50000100,20000100,40000100
hard-factorized-constant-6400,hard-factorized-constant-6400,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,hard-factorized-constant-6400-6e9beb2f8bd9,2,random_normalized,,271801,master_init_derived,True,discovery-remedy,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,70000100,30000100,2,10000100,0,1.4064265489578247,2,60000100,928cfe70461daf3e4bea193a4ca70dadf399b8f17fc09f1af1cf202d10d53d68,0.9166877269744873,2,10271901,phase2-study-v2,100,50,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,50000100,20000100,40000100
hard-factorized-constant-6400,hard-factorized-constant-6400,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,hard-factorized-constant-6400-6e9beb2f8bd9,2,random_normalized,,271801,master_init_derived,True,discovery-remedy,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,70000100,30000100,3,10000100,0,1.2912365198135376,2,60000100,928cfe70461daf3e4bea193a4ca70dadf399b8f17fc09f1af1cf202d10d53d68,1.0554667711257935,2,10271901,phase2-study-v2,100,50,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,50000100,20000100,40000100
hard-factorized-constant-6400,hard-factorized-constant-6400,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,hard-factorized-constant-6400-6e9beb2f8bd9,2,random_normalized,,271801,master_init_derived,True,discovery-remedy,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,70000100,30000100,0,10000100,1,1.199087142944336,2,60000100,928cfe70461daf3e4bea193a4ca70dadf399b8f17fc09f1af1cf202d10d53d68,1.1084409952163696,2,10271901,phase2-study-v2,100,50,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,50000100,20000100,40000100
hard-factorized-constant-6400,hard-factorized-constant-6400,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,hard-factorized-constant-6400-6e9beb2f8bd9,2,random_normalized,,271801,master_init_derived,True,discovery-remedy,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,70000100,30000100,1,10000100,1,1.6881016492843628,2,60000100,928cfe70461daf3e4bea193a4ca70dadf399b8f17fc09f1af1cf202d10d53d68,1.6466318368911743,2,10271901,phase2-study-v2,100,50,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,50000100,20000100,40000100
hard-factorized-constant-6400,hard-factorized-constant-6400,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,hard-factorized-constant-6400-6e9beb2f8bd9,2,random_normalized,,271801,master_init_derived,True,discovery-remedy,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,70000100,30000100,2,10000100,1,2.469958782196045,2,60000100,928cfe70461daf3e4bea193a4ca70dadf399b8f17fc09f1af1cf202d10d53d68,1.7753221988677979,2,10271901,phase2-study-v2,100,50,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,50000100,20000100,40000100
hard-factorized-constant-6400,hard-factorized-constant-6400,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,hard-factorized-constant-6400-6e9beb2f8bd9,2,random_normalized,,271801,master_init_derived,True,discovery-remedy,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,70000100,30000100,3,10000100,1,0.9918440580368042,2,60000100,928cfe70461daf3e4bea193a4ca70dadf399b8f17fc09f1af1cf202d10d53d68,0.6715171933174133,2,10271901,phase2-study-v2,100,50,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,50000100,20000100,40000100
hard-factorized-constant-6400,hard-factorized-constant-6400,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,hard-factorized-constant-6400-6e9beb2f8bd9,3,random_normalized,,271801,master_init_derived,True,discovery-remedy,6e9beb2f8bd9f2effa15740a286ed530de99381342f9f3eb7cff502912d91099,70000100,30000100,0,10000100,0,2.492051362991333,2,60000100,928cfe70461daf3e4bea193a4ca70dadf399b8f17fc09f1af1cf202d10d53d68,1.4085171222686768,2,10271901,phase2-study-v2,100,100,3d47161a33fa94b720ff22e2e1c761cc0999620b0ac8f7628e7ad9399bb033bf,phase2-residual-factorization-noffn-discovery-remedy-v2,50000100,20000100,40000100
