revision,revision_index,template_id,template_index,slot,target_effect_when_queried,distractor_effect_when_not_queried,slot_contrast,target_effect_q10,target_effect_q90,distractor_effect_q10,distractor_effect_q90,n_target_episodes,n_distractor_episodes,independent_pretraining_trajectories
step0,0,compact_cards,0,0,0.010620029616380767,-0.0011820069051230225,0.01180203652150379,-0.02992410459717384,0.04983788258676432,-0.029711827713312086,0.024800721998231884,80,176,1
step0,0,compact_cards,0,1,0.011283123759785199,-0.002527060277261746,0.013810184037046945,-0.03148198949549167,0.05509339075779379,-0.02742801651006412,0.022293706042559584,48,208,1
step0,0,compact_cards,0,2,0.008677877891390856,-0.002764852962852431,0.011442730854243287,-0.036365571972938465,0.05081238759374294,-0.04782054206470544,0.043478732848155385,64,192,1
step0,0,compact_cards,0,3,0.008715221855088703,-0.0027860209935849345,0.011501242848673638,-0.012992561484670864,0.0298826691420066,-0.05976219352824216,0.05459728700392266,64,192,1
step0,0,line_records,1,0,0.008978069375873064,1.536491319027312e-05,0.00896270446268279,-0.0025986494203237105,0.02224562586159374,-0.047442623468726394,0.045524180127019656,80,176,1
step0,0,line_records,1,1,0.0066667101241768036,-0.0023456564137053393,0.009012366537882142,-0.03251701908189609,0.04436006657235517,-0.037225248733223526,0.030371883780480287,64,192,1
step0,0,line_records,1,2,0.00548780892278352,-0.003147877893376214,0.008635686816159734,-0.00757425955323986,0.0173441112452077,-0.03281802872524918,0.025509491756000736,64,192,1
step0,0,line_records,1,3,0.007220871901835744,-0.002560040979640378,0.009780912881476122,-0.01617034677067384,0.031157009106233508,-0.02389559845640995,0.0179635610345824,48,208,1
step0,0,prose_facts,2,0,0.006423911238516805,0.00041493939356107947,0.006008971844955726,-0.017818251908124173,0.029302921201848516,-0.018800515342946217,0.019648640137335912,80,176,1
step0,0,prose_facts,2,1,0.005923627150984304,-0.0019327714896120176,0.007856398640596321,-0.01354900005360265,0.0248728394857763,-0.023621095353583053,0.01887714876566956,80,176,1
step0,0,prose_facts,2,2,0.0039815333866912925,-0.002008426973808105,0.005989960360499398,-0.008832128880978252,0.016682941316004146,-0.019130269649508327,0.013722924794411158,32,224,1
step0,0,prose_facts,2,3,0.005278831970075722,-0.0017192915539013087,0.006998123523977031,-0.013340729681329551,0.024234103837526753,-0.014964074039743765,0.011508392040372064,64,192,1
step0,0,bracket_dictionary,3,0,0.005260456415572202,-0.0006122791719220397,0.005872735587494241,-7.366589952654253e-05,0.011895563613435868,-0.026333407596332712,0.02463938026799499,64,192,1
step0,0,bracket_dictionary,3,1,0.006345329568313893,-0.0014373090377300746,0.007782638606043967,-0.0003906193104794564,0.013921707920458826,-0.019235625548292,0.016689243272321862,16,240,1
step0,0,bracket_dictionary,3,2,0.004865115253642432,-0.0012970832740175696,0.0061621985276600014,-0.00919557688511824,0.017524803650205933,-0.016870946255937158,0.013709752882037688,48,208,1
step0,0,bracket_dictionary,3,3,0.005581889962657627,-0.001627058785025227,0.007208948747682854,-0.005068840249331374,0.015881101802892084,-0.01571708507497883,0.013525628707599888,128,128,1
step64,1,compact_cards,0,0,0.005410628076604393,-0.0008178561475366102,0.006228484224141003,-0.004329535466525147,0.015189114101635487,-0.01374807387348187,0.012353321553017438,80,176,1
step64,1,compact_cards,0,1,0.006953689711954192,-0.0011423030412496663,0.008095992753203858,-0.012972823559152464,0.02610018936841814,-0.020008316294765748,0.017550354790933385,48,208,1
step64,1,compact_cards,0,2,0.006343848427461254,-0.001360886168934987,0.007704734596396241,-0.014038812448228898,0.026280889620035903,-0.024351322737128672,0.02154051232696673,64,192,1
step64,1,compact_cards,0,3,0.0058041223639299505,-0.0012593683182085104,0.007063490682138461,-0.007989446827124052,0.01892091989634373,-0.023229945901425207,0.020649991655853746,64,192,1
step64,1,line_records,1,0,0.006009904290947429,-0.000524502793887956,0.006534407084835385,-0.02741625979662684,0.03943684199217116,-0.04668275020946988,0.04579339299119092,80,176,1
step64,1,line_records,1,1,0.005127811798455974,-0.0013238688462193112,0.006451680644675286,-0.01984623430907236,0.03043299442400432,-0.03140481802389479,0.029361329129332772,64,192,1
step64,1,line_records,1,2,0.004751204324900449,-0.0015880945550599147,0.006339298879960363,-0.021574352294525402,0.031051084032984785,-0.031503757029892235,0.028258366739152108,64,192,1
step64,1,line_records,1,3,0.005023523555088926,-0.0013956389501757402,0.006419162505264666,-0.01368359781914997,0.023610630892400612,-0.027339320254377263,0.024108013860503694,48,208,1
step64,1,prose_facts,2,0,0.0035181991786237972,-0.00037449962169438194,0.0038926988003181793,-0.002461259955318229,0.009587937737491866,-0.010885418927319646,0.01036355549028628,80,176,1
step64,1,prose_facts,2,1,0.003375836883710439,-0.000925580659523775,0.004301417543234214,-0.002709195246119761,0.009494465104650842,-0.00981284212881417,0.008193674137924045,80,176,1
step64,1,prose_facts,2,2,0.003012650509373594,-0.0009999582747030982,0.0040126087840766924,-0.003477059038037844,0.00944816793086838,-0.00940125018102848,0.007325847044001322,32,224,1
step64,1,prose_facts,2,3,0.003591668063423763,-0.0008916456258064861,0.004483313689230249,-0.002135435780337957,0.009241446075931492,-0.010230006518321644,0.008744429613388066,64,192,1
step64,1,bracket_dictionary,3,0,0.0037952083731817377,-0.00045329887858562367,0.004248507251767362,-0.0028779837906594886,0.0112526619461514,-0.0154673483398319,0.01450985050995578,64,192,1
step64,1,bracket_dictionary,3,1,0.0043053986240060675,-0.0010284437271438252,0.005333842351149892,-0.004941368291047021,0.013707997140147171,-0.008139296617392234,0.006842400191232073,16,240,1
step64,1,bracket_dictionary,3,2,0.00400053185674629,-0.0009322144454618697,0.0049327463022081595,-0.002246011010489474,0.009921054178016621,-0.01230130847527019,0.010611973662095028,48,208,1
step64,1,bracket_dictionary,3,3,0.0037259218536536166,-0.001073511623973214,0.004799433477626831,-0.0025536017485976335,0.010139815502709692,-0.0077399801182088,0.0059644348247056105,128,128,1
step512,2,compact_cards,0,0,0.003776259908267846,-0.0007908727922183952,0.004567132700486242,-0.011829407480233967,0.01833695103074932,-0.02463747181713455,0.02164591315866282,80,176,1
step512,2,compact_cards,0,1,-0.000723484091060179,-0.0012057489580471802,0.0004822648669870012,-0.041277038186078197,0.035880380330298625,-0.045929898154912184,0.04233202375713736,48,208,1
step512,2,compact_cards,0,2,0.0015201461762207533,-0.0013088564186929253,0.002829002594913679,-0.03719972298674462,0.03996504597229037,-0.04480279831746864,0.04170924912947227,64,192,1
step512,2,compact_cards,0,3,0.006133949390144251,-0.0011133727240158337,0.007247322114160085,-0.03229186072346728,0.038133769646406634,-0.04403475983028729,0.04198925772894197,64,192,1
step512,2,line_records,1,0,0.0068890319799435745,-3.8311153488248146e-05,0.006927343133431823,-0.019625140241086303,0.03021219001021779,-0.062301787831176236,0.05869838650178755,80,176,1
step512,2,line_records,1,1,0.006674770368652317,-0.00426342533565395,0.010938195704306267,-0.07909028322506911,0.08876269829562,-0.09271459166101888,0.07730472821032851,64,192,1
step512,2,line_records,1,2,0.0030596059945916763,-0.005450327153143205,0.00850993314773488,-0.12070392189318592,0.1230227869685319,-0.14554395321161132,0.1286631804760577,64,192,1
step512,2,line_records,1,3,0.009345505685571147,-0.006352543776555465,0.015698049462126613,-0.1328192804695198,0.1541516633982641,-0.12286321507592744,0.1095853507187948,48,208,1
step512,2,prose_facts,2,0,0.014739127738126556,-0.003711973664098207,0.01845110140222476,-0.011582433270238978,0.04654398763000335,-0.06238967306990137,0.05476044598716484,80,176,1
step512,2,prose_facts,2,1,0.01958518770587609,-0.00428342134527406,0.023868609051150153,-0.016064341355901634,0.056133559581948336,-0.05486257787383894,0.04395045174260964,80,176,1
step512,2,prose_facts,2,2,0.02366533142785778,-0.006072188877237096,0.029737520305094876,-0.05498875348378283,0.0940059026298161,-0.07718646371650384,0.06062390821923501,32,224,1
step512,2,prose_facts,2,3,0.01888689995594917,-0.00399377435131026,0.02288067430725943,-0.022744478342611466,0.05684881042165177,-0.07338861266431325,0.061204041555390595,64,192,1
step512,2,bracket_dictionary,3,0,0.0017233625347386435,-0.00043244446132687664,0.00215580699606552,-0.05357086345199215,0.04738193439885187,-0.057826159542250205,0.056073657571715424,64,192,1
step512,2,bracket_dictionary,3,1,0.000725513702602573,0.0004937674320453522,0.00023174627055722085,-0.013966429904318123,0.01595111888068488,-0.0461463875144642,0.047093747678877904,16,240,1
step512,2,bracket_dictionary,3,2,0.00012829309255015311,-0.0008299794633102839,0.000958272555860437,-0.0571205914153573,0.046250080516216464,-0.07099358800812482,0.07024929859670463,48,208,1
step512,2,bracket_dictionary,3,3,-6.538719152707971e-05,-0.00026534040621967354,0.00019995321469259384,-0.01646128412852016,0.015611767836852064,-0.06410054955429795,0.06207172498260775,128,128,1
step1000,3,compact_cards,0,0,0.042376344703463326,-0.004288936747353348,0.04666528145081667,0.0017119776272395623,0.10723128509820667,-0.06416437040128771,0.061076232376623144,80,176,1
step1000,3,compact_cards,0,1,0.04070287104955109,-0.00724327279752429,0.04794614384707538,-0.030245540674637795,0.08240673929624417,-0.10172484648259848,0.08734775589990762,48,208,1
step1000,3,compact_cards,0,2,0.037575735749119675,-0.0052743447743116185,0.0428500805234313,-0.020209803084911146,0.07478239769006072,-0.10425619253706994,0.09426549654228156,64,192,1
step1000,3,compact_cards,0,3,0.03677900384281739,-0.0034541786638899656,0.040233182506707356,0.011357010630445327,0.0599028041491971,-0.09807900930651331,0.09847963038832684,64,192,1
step1000,3,line_records,1,0,0.024789372922473678,-0.008985816770757448,0.03377518969323112,-0.19105323011224773,0.2362153214869913,-0.24968292458721314,0.23117205368633012,80,176,1
step1000,3,line_records,1,1,0.043559981266454065,-0.0033399692577409136,0.046899950524194975,0.013368392007653714,0.0745192935859754,-0.08320167553777393,0.07726817767925452,64,192,1
step1000,3,line_records,1,2,0.043817225717903,-0.001991374746504009,0.04580860046440701,-0.03949284159762132,0.13552416487564864,-0.10832104845359822,0.10786150057915414,64,192,1
step1000,3,line_records,1,3,0.05715010529056228,-0.0017249618806107919,0.05887506717117307,0.02268853632520473,0.09112343574879954,-0.10240282622268176,0.10546842468924436,48,208,1
