arm,seed,step,accuracy,max_target_key_score_margin,mean_qk_factor_cosine
independent,100,0,0.0,0.013791607692837715,0.002185033008132065
independent,100,200,0.0068359375,0.0374828577041626,0.24281440388949496
independent,100,400,0.01025390625,0.16812467575073242,0.27732694687285375
independent,100,800,0.0107421875,0.08384346961975098,0.25655209184148686
independent,100,1600,0.61572265625,1.3005878925323486,0.09788381514170968
independent,100,3200,0.9111328125,1.7748627662658691,0.1917241696975553
independent,100,6400,0.97998046875,3.1828598976135254,0.18996952156151725
independent,101,0,0.0,0.013247246854007244,-0.0032888182500572325
independent,101,200,0.0048828125,0.05917489528656006,0.2411274735533854
independent,101,400,0.0078125,0.0960245132446289,0.2730734507914958
independent,101,800,0.02783203125,0.17693758010864258,0.27074532771897974
independent,101,1600,0.80615234375,0.4153372049331665,0.11800596195431726
independent,101,3200,0.90380859375,0.3848823308944702,0.14929840165718875
independent,101,6400,0.94873046875,0.4490412175655365,0.15381719144642148
independent,102,0,0.0,0.00793743971735239,-0.006281289131604234
independent,102,200,0.00439453125,0.07162052392959595,0.20868196634216835
independent,102,400,0.00537109375,0.18144626915454865,0.23422390967634293
independent,102,800,0.03857421875,0.3625638484954834,0.2539352792167722
independent,102,1600,0.6337890625,0.6271844506263733,0.10509840168235712
independent,102,3200,0.9052734375,0.9381577968597412,0.11964444403665238
independent,102,6400,0.97021484375,2.952862501144409,0.12581945141934228
independent,103,0,0.0,0.011523001827299595,0.0012987462624359921
independent,103,200,0.005859375,0.037549376487731934,0.23194727477787397
independent,103,400,0.0078125,0.05384361743927002,0.25781952516597584
independent,103,800,0.015625,0.1233518123626709,0.21838230262283684
independent,103,1600,0.6826171875,0.5028071403503418,0.04621371590591087
independent,103,3200,0.91357421875,0.40157651901245117,0.16913279255418645
independent,103,6400,0.9755859375,34.616519927978516,0.208331273357908
independent,104,0,0.0,0.007818079553544521,0.0040997013431049835
independent,104,200,0.00341796875,0.04623768478631973,0.23146794682031874
independent,104,400,0.00732421875,0.06597518920898438,0.25875545347951534
independent,104,800,0.0107421875,0.0827937126159668,0.23409726028591046
independent,104,1600,0.60205078125,1.027258276939392,0.13135107951941893
independent,104,3200,0.89697265625,1.466623306274414,0.16157618047358635
independent,104,6400,0.9697265625,28.17216682434082,0.1875778040755622
independent,105,0,0.0,0.010934984311461449,-0.0016329408130520316
independent,105,200,0.00732421875,0.029178619384765625,0.2514146689066761
independent,105,400,0.01318359375,0.20526160299777985,0.25186459941104455
independent,105,800,0.01416015625,0.13176488876342773,0.20988735182343754
independent,105,1600,0.568359375,0.23090529441833496,0.05378368810195684
independent,105,3200,0.91064453125,0.6747528910636902,0.15808164305444605
independent,105,6400,0.94677734375,0.9718503952026367,0.1764627932837421
independent,106,0,0.0,0.011605160310864449,-0.009231838027680645
independent,106,200,0.00634765625,0.07429315894842148,0.23068492378559285
independent,106,400,0.0068359375,0.14928030967712402,0.2812738993656617
independent,106,800,0.02783203125,0.27902114391326904,0.28040194069284474
independent,106,1600,0.7392578125,0.840083122253418,0.1707243741074024
independent,106,3200,0.90478515625,0.10915493965148926,0.1838935485195391
independent,106,6400,0.97119140625,8.581872940063477,0.1909466749505887
independent,107,0,0.0,0.014599666930735111,0.005708101432435855
independent,107,200,0.00537109375,0.022786200046539307,0.21589520516333136
independent,107,400,0.00927734375,0.11173355579376221,0.2602322545010579
independent,107,800,0.0068359375,0.14479601383209229,0.19691079571885584
independent,107,1600,0.59033203125,0.10628950595855713,0.09829691728989935
independent,107,3200,0.88232421875,0.53977370262146,0.1531733192666178
independent,107,6400,0.93115234375,0.609612226486206,0.11305400397481247
independent,108,0,0.0,0.006793009117245674,-0.0010711136727561145
independent,108,200,0.00439453125,0.025192737579345703,0.2209813849744613
independent,108,400,0.01171875,0.028842687606811523,0.25819840808443273
independent,108,800,0.01806640625,0.06492504477500916,0.22179045543761683
independent,108,1600,0.8212890625,0.9427979588508606,0.08068613536857139
independent,108,3200,0.9130859375,0.9287152290344238,0.1508318861582588
independent,108,6400,0.97705078125,3.923114776611328,0.21370853712252066
independent,109,0,0.0,0.008772682398557663,0.003475754326255587
independent,109,200,0.0048828125,0.04827880859375,0.23635936063643231
independent,109,400,0.00927734375,0.1428595781326294,0.2523414446401644
independent,109,800,0.00927734375,0.09864610433578491,0.21464051992372268
independent,109,1600,0.38916015625,0.2717881202697754,-0.05698922363793869
independent,109,3200,0.90380859375,0.8827660083770752,0.11959075699143269
independent,109,6400,0.97314453125,2.332416296005249,0.15329792898341882
independent,110,0,0.0,0.004930085502564907,-0.0017907855128614617
independent,110,200,0.00830078125,0.05146479606628418,0.2143918200424893
independent,110,400,0.009765625,0.05894719436764717,0.247699247468934
independent,110,800,0.01171875,0.11565697193145752,0.21062058635337796
independent,110,1600,0.62939453125,0.345302939414978,0.02549128601877277
independent,110,3200,0.92236328125,0.8542476892471313,0.13585447778389345
independent,110,6400,0.97265625,2.8761088848114014,0.1498526681253496
independent,111,0,0.0,0.017360568046569824,0.002422150502347329
independent,111,200,0.0087890625,0.059813737869262695,0.24644095812134473
independent,111,400,0.00927734375,0.1842590570449829,0.2474002192835185
independent,111,800,0.01611328125,0.17305463552474976,0.21914723543071563
independent,111,1600,0.7529296875,0.32977014780044556,0.08867236884847239
independent,111,3200,0.90380859375,0.293338418006897,0.185854654157848
independent,111,6400,0.95361328125,27.302566528320312,0.24182471933608823
independent,112,0,0.0,0.013143269345164299,0.0010769829240662252
independent,112,200,0.00439453125,0.07261073589324951,0.2193917708766009
independent,112,400,0.005859375,0.13065314292907715,0.25341737578246115
independent,112,800,0.01220703125,0.14597344398498535,0.2128369113482124
independent,112,1600,0.419921875,0.3650186061859131,0.009919184226357514
independent,112,3200,0.9248046875,1.7335971593856812,0.14690274718110172
independent,112,6400,0.9677734375,4.324238300323486,0.1605245198695836
independent,113,0,0.0,0.009102165699005127,0.0029352986323003746
independent,113,200,0.00341796875,0.049044013023376465,0.2267726395603289
independent,113,400,0.0087890625,0.19125151634216309,0.26000254197809924
