arm,step,mean_accuracy,mean_max_target_key_score_margin,mean_qk_factor_cosine,seed_count
independent,0,0.0,0.011146180820651353,-0.00016880004568200303,20
independent,200,0.00556640625,0.05943682193756104,0.22402679272421402,20
independent,400,0.008740234375,0.13348831925541163,0.25623519133433237,20
independent,800,0.024462890625,0.15616407599300147,0.2248013355618951,20
independent,1600,0.63046875,0.57681470438838,0.06524016281628318,20
independent,3200,0.9064453125,0.8383638709783554,0.1511275125174159,20
independent,6400,0.96201171875,10.118598280847072,0.17551678613997113,20
negative,0,0.0,-0.11501204334199429,-1.0,20
negative,200,0.005712890625,0.0709575891494751,-0.1831114393964853,20
negative,400,0.0091064453125,0.11534218601882458,-0.04833726545751889,20
negative,800,0.0490966796875,0.15358165204524993,0.02276331562012707,20
negative,1600,0.6810302734375,0.8888798519968987,-0.04257144002747738,20
negative,3200,0.90380859375,0.9773084729909897,0.06202021440284224,20
negative,6400,0.95927734375,10.128287382423878,0.09759335987120668,20
negative-small,0,0.0,-1.782486083357071e-06,-1.0,20
negative-small,200,0.00546875,0.09946902096271515,0.29281799866318664,20
negative-small,400,0.00908203125,0.1563730795867741,0.2979586059971524,20
negative-small,800,0.027392578125,0.17477240078151227,0.22160305639731867,20
negative-small,1600,0.5846923828125,0.6896483451128006,0.041039302618322664,20
negative-small,3200,0.8944580078125,1.0024073153734208,0.1480128510657336,20
negative-small,6400,0.9601806640625,7.384470862150192,0.16795482265247608,20
positive,0,0.0,0.18813033998012543,1.0,20
positive,200,0.0051025390625,0.09350305497646332,0.5937030267969986,20
positive,400,0.0087158203125,0.12313724309206009,0.5226478182716191,20
positive,800,0.0116943359375,0.15071496590971947,0.43230161041682214,20
positive,1600,0.4045166015625,0.6793320447206497,0.1523809074009877,20
positive,3200,0.8626220703125,1.3413746505975723,0.21034646467861967,20
positive,6400,0.9569091796875,4.944087266921997,0.21252802888208602,20
positive-small,0,0.0,2.8706411740131444e-06,1.0,20
positive-small,200,0.0058349609375,0.09759140983223916,0.2939388764656138,20
positive-small,400,0.0087158203125,0.1551653817296028,0.2970949050854933,20
positive-small,800,0.03955078125,0.21284653320908548,0.2209458680739234,20
positive-small,1600,0.5576416015625,0.5736879654228687,0.03366019900969449,20
positive-small,3200,0.8821044921875,1.2328067868947983,0.13376158570862465,20
positive-small,6400,0.9503662109375,6.0485459744930266,0.16847626014471054,20
