arm,seed,final_step,final_accuracy,final_nll,tail_accuracy_improvement,max_target_key_score_margin,max_margin_layer,max_margin_head,mean_qk_factor_cosine,mean_composite_skew_fraction
independent,100,6400,0.97998046875,0.11040855944156647,0.06884765625,3.1828598976135254,0,2,0.18996952156151725,0.6273470793880178
independent,101,6400,0.94873046875,0.32918113470077515,0.044921875,0.4490412175655365,0,2,0.15381719144642148,0.6545834708289622
independent,102,6400,0.97021484375,0.1712968647480011,0.06494140625,2.952862501144409,0,3,0.12581945141934228,0.6321356340920843
independent,103,6400,0.9755859375,0.13667559623718262,0.06201171875,34.616519927978516,1,2,0.208331273357908,0.6287313079958855
independent,104,6400,0.9697265625,0.18052929639816284,0.07275390625,28.17216682434082,1,0,0.1875778040755622,0.6547468280514204
independent,105,6400,0.94677734375,0.2956477403640747,0.0361328125,0.9718503952026367,1,1,0.1764627932837421,0.6202682807601851
independent,106,6400,0.97119140625,0.13531732559204102,0.06640625,8.581872940063477,1,2,0.1909466749505887,0.6529184645333032
independent,107,6400,0.93115234375,0.42290446162223816,0.048828125,0.609612226486206,0,0,0.11305400397481247,0.6783001342673591
independent,108,6400,0.97705078125,0.12491753697395325,0.06396484375,3.923114776611328,1,3,0.21370853712252066,0.6386728487894644
independent,109,6400,0.97314453125,0.16042062640190125,0.0693359375,2.332416296005249,0,0,0.15329792898341882,0.6441282704881308
independent,110,6400,0.97265625,0.16461989283561707,0.05029296875,2.8761088848114014,0,3,0.1498526681253496,0.6386419846023793
independent,111,6400,0.95361328125,0.28053808212280273,0.0498046875,27.302566528320312,1,3,0.24182471933608823,0.6186760535414676
independent,112,6400,0.9677734375,0.16954278945922852,0.04296875,4.324238300323486,0,0,0.1605245198695836,0.6131083688419585
independent,113,6400,0.97119140625,0.17132686078548431,0.0361328125,23.75888442993164,1,1,0.199070771062138,0.6361779532769412
independent,114,6400,0.9697265625,0.15219983458518982,0.07177734375,7.617256164550781,1,3,0.16041835573404684,0.6674067200605684
independent,115,6400,0.947265625,0.3411864638328552,0.05908203125,25.70511245727539,1,3,0.20375474379245484,0.6458343514798781
independent,116,6400,0.9462890625,0.29799678921699524,0.05126953125,0.8123304843902588,0,1,0.1787107878747724,0.6242989937113026
independent,117,6400,0.98291015625,0.1066431775689125,0.06787109375,21.456317901611328,1,1,0.17554987204265543,0.6360797954487591
independent,118,6400,0.9267578125,0.38263481855392456,0.02197265625,1.0498623847961426,0,2,0.12978182067044552,0.6677104736425606
independent,119,6400,0.95849609375,0.24195536971092224,0.06201171875,1.6769710779190063,0,1,0.19786228411605392,0.6573349867101205
positive,100,6400,0.94873046875,0.3456125259399414,0.04443359375,1.0762525796890259,0,1,0.215205117976898,0.6169251361939259
positive,101,6400,0.95849609375,0.25425249338150024,0.05810546875,1.1561414003372192,0,3,0.24725702375707154,0.6300595554752945
positive,102,6400,0.9453125,0.36999812722206116,0.14404296875,2.0398426055908203,1,0,0.20242360325799813,0.6475566391118884
positive,103,6400,0.970703125,0.13893835246562958,0.06982421875,3.532301425933838,0,0,0.15687121377435959,0.6378495708911599
positive,104,6400,0.96044921875,0.21433866024017334,0.18798828125,0.49500662088394165,0,0,0.19334159482370067,0.6344996524668972
positive,105,6400,0.955078125,0.2758014500141144,0.03369140625,1.3680096864700317,0,2,0.21460111768222767,0.6233150751914998
positive,106,6400,0.94873046875,0.24956853687763214,0.2138671875,1.9934406280517578,1,3,0.18977277728401554,0.6348864345094539
positive,107,6400,0.9677734375,0.17768308520317078,0.076171875,32.22199249267578,1,3,0.24239825348575422,0.628925613941071
positive,108,6400,0.9794921875,0.13070838153362274,0.0322265625,4.475438117980957,0,1,0.207675075065001,0.6327801731195372
positive,109,6400,0.96435546875,0.2130449116230011,0.06787109375,26.03465461730957,1,0,0.2527309731667984,0.6242751862823184
positive,110,6400,0.955078125,0.2998320460319519,0.02978515625,3.347095489501953,1,3,0.17520114599613063,0.6401279089970432
positive,111,6400,0.94677734375,0.34379813075065613,0.04443359375,0.45236581563949585,0,1,0.22826852834971198,0.6171072472158643
positive,112,6400,0.9287109375,0.46311694383621216,0.2509765625,1.9380817413330078,1,0,0.2085069746489816,0.6361545822286252
positive,113,6400,0.9794921875,0.09495764970779419,0.0654296875,2.5175623893737793,0,2,0.21716740841828014,0.6335722578690477
positive,114,6400,0.9384765625,0.36150068044662476,0.17431640625,3.9448022842407227,1,3,0.2086554685770955,0.6232377226931219
positive,115,6400,0.93408203125,0.36143365502357483,0.0556640625,1.8767757415771484,0,0,0.22754209501747635,0.6486222956380809
positive,116,6400,0.96875,0.18067365884780884,0.03369140625,3.719831943511963,0,2,0.17270770624705656,0.6339725273384151
positive,117,6400,0.96826171875,0.17359837889671326,0.08056640625,3.0346665382385254,0,0,0.23529023518128492,0.617785479829402
positive,118,6400,0.96435546875,0.2062949538230896,0.17822265625,2.1950809955596924,0,0,0.22506190107977814,0.6075545688429033
positive,119,6400,0.955078125,0.23452407121658325,0.04443359375,1.4624022245407104,0,3,0.22988236385209915,0.6107676180704468
negative,100,6400,0.9765625,0.13943782448768616,0.05908203125,23.16400146484375,1,3,0.15879614156048255,0.6308612275441159
negative,101,6400,0.96142578125,0.20407554507255554,0.08935546875,0.5163822174072266,1,2,0.10299391577950584,0.6456458226937946
negative,102,6400,0.9404296875,0.3663731813430786,0.05859375,0.39686188101768494,0,2,0.047914198450061445,0.6811582621773731
negative,103,6400,0.95556640625,0.22384513914585114,0.04541015625,1.2342567443847656,1,3,0.09382198813269559,0.6827005696132626
negative,104,6400,0.94091796875,0.33517974615097046,0.02685546875,1.0192760229110718,0,0,0.12496045255369981,0.6371639356011555
negative,105,6400,0.97119140625,0.16391980648040771,0.06640625,36.73218536376953,1,1,0.1460957193310852,0.6395395198858844
negative,106,6400,0.9599609375,0.2514251470565796,0.05615234375,0.5699930191040039,1,0,0.08511696983446831,0.657645238622141
negative,107,6400,0.9599609375,0.26647964119911194,0.0595703125,0.280631959438324,0,3,0.0760405255751462,0.6383465667329351
negative,108,6400,0.96533203125,0.1573866903781891,0.05419921875,5.711444854736328,1,1,0.13684371269089493,0.6596678686090791
negative,109,6400,0.97509765625,0.15106719732284546,0.06298828125,38.855072021484375,1,0,0.1524623930023898,0.6353680419209353
negative,110,6400,0.95556640625,0.22786039113998413,0.04296875,0.7158491015434265,0,3,0.051221435064313085,0.6942899531024742
negative,111,6400,0.9443359375,0.3479149043560028,0.041015625,0.42791739106178284,0,2,0.10155189809181608,0.6395569307220512
negative,112,6400,0.94921875,0.3041313886642456,0.0283203125,0.6406037211418152,0,0,0.09641500891667759,0.6377079742838757
negative,113,6400,0.9736328125,0.13974423706531525,0.04150390625,33.303611755371094,1,3,0.07572175289779788,0.6664715143336822
negative,114,6400,0.93310546875,0.4484163522720337,0.02294921875,3.0342979431152344,1,1,0.05518476375563004,0.6625945397091786
negative,115,6400,0.9384765625,0.3699733018875122,0.01416015625,0.30259963870048523,0,1,0.1028128859644689,0.6470489116652749
negative,116,6400,0.97216796875,0.14315685629844666,0.06787109375,29.744258880615234,1,0,0.11571594247305984,0.6560806050159602
negative,117,6400,0.958984375,0.22492638230323792,0.06982421875,0.5110576152801514,0,1,0.06466339023510959,0.6755041582078909
negative,118,6400,0.9755859375,0.12443669885396957,0.078125,22.81986427307129,1,3,0.06831677462701848,0.6669841233078401
negative,119,6400,0.97802734375,0.11595293879508972,0.1240234375,2.5855817794799805,0,0,0.09521732848781214,0.6661903967216952
positive-small,100,6400,0.978515625,0.11732462048530579,0.064453125,4.0992279052734375,1,3,0.19252031501450617,0.6481389817022121
positive-small,101,6400,0.9755859375,0.1161016896367073,0.07763671875,22.092004776000977,1,0,0.1951428210864076,0.6348466626669427
positive-small,102,6400,0.95263671875,0.26543188095092773,0.06201171875,2.534008741378784,0,3,0.2286642819506841,0.6388319295333234
positive-small,103,6400,0.97412109375,0.14274677634239197,0.0947265625,24.467262268066406,1,0,0.16062215229529458,0.6609442080822294
positive-small,104,6400,0.958984375,0.23629030585289001,0.09912109375,2.39667010307312,0,2,0.13687674598707789,0.6642660076113196
positive-small,105,6400,0.958984375,0.23352134227752686,0.0654296875,2.0804431438446045,0,0,0.1965009425799496,0.6103303014406584
positive-small,106,6400,0.9375,0.36836332082748413,0.0732421875,4.143499374389648,1,3,0.09728255293676633,0.6647997060507473
positive-small,107,6400,0.98193359375,0.10834459960460663,0.01806640625,5.312768459320068,0,1,0.10268701919889442,0.6328746380819956
positive-small,108,6400,0.97314453125,0.15587972104549408,0.09619140625,4.076613426208496,0,2,0.1858934784193901,0.6395396079299827
positive-small,109,6400,0.9580078125,0.19475430250167847,0.03173828125,2.8502490520477295,0,2,0.21401379320884112,0.6345200257435007
positive-small,110,6400,0.9775390625,0.14044450223445892,0.05517578125,29.798809051513672,1,0,0.21029204669247073,0.6386428606865925
positive-small,111,6400,0.923828125,0.5182210206985474,0.04443359375,0.3824184536933899,0,3,0.1847772383989417,0.6231680477692653
positive-small,112,6400,0.93310546875,0.43461447954177856,0.02783203125,0.27470773458480835,0,1,0.16030144492835277,0.640709225660618
positive-small,113,6400,0.8310546875,0.9217122197151184,0.04345703125,4.379758834838867,1,1,0.06794985170240352,0.6367723724143757
positive-small,114,6400,0.98046875,0.10348725318908691,0.07568359375,8.151287078857422,1,3,0.1670728094315584,0.6506533313275589
positive-small,115,6400,0.93798828125,0.4387289881706238,0.03564453125,0.8754867315292358,0,0,0.2040686251295462,0.6475688740399225
positive-small,116,6400,0.94140625,0.39046600461006165,0.146484375,0.2414851188659668,0,3,0.1652820443428346,0.6430278588282904
positive-small,117,6400,0.9423828125,0.352278470993042,0.146484375,0.2955808639526367,0,3,0.1506067065199027,0.6198766510265776
positive-small,118,6400,0.93896484375,0.3183644711971283,0.03955078125,1.1356892585754395,0,1,0.14185218225637278,0.6719363929976276
positive-small,119,6400,0.951171875,0.23035937547683716,0.06787109375,1.3829491138458252,0,0,0.20711815081401558,0.6125267246770782
