analysis_schema_version,run_key,run_label,seed,step,group,relative_drift,alignment,effective_rank,frobenius_norm,initial_frobenius_norm,relative_amplitude,parameter_count,active_for_shape_interpretation
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,full,0.0,0.9999999403953552,2.946927547454834,0.3198792040348053,0.3198792040348053,1.0,3265,True
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,E,0.0,1.0000001192092896,4.007865905761719,0.16981691122055054,0.16981691122055054,1.0,1152,True
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,QK,0.0,0.9999999403953552,4.9328293800354,0.05162885785102844,0.05162885785102844,1.0,1024,True
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,OV,0.0,1.0,2.998835802078247,0.3813839554786682,0.3813839554786682,1.0,1024,True
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,FFN,0.0,0.0,0.0,0.0,0.0,0.0,0,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,readout,0.0,1.0000001192092896,1.6148024797439575,13.763899803161621,13.763899803161621,1.0,33,True
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,50,full,0.5916686654090881,0.824626088142395,5.871379852294922,0.20830227434635162,0.3198792040348053,0.6511904235065145,3265,True
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,50,E,0.9912785291671753,0.4267391860485077,9.077523231506348,0.1413930207490921,0.16981691122055054,0.8326203776339874,1152,True
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,50,QK,2.4937336444854736,0.3838559687137604,5.492941379547119,0.1394149661064148,0.05162885785102844,2.7003302398958193,1024,True
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,50,OV,0.8223602175712585,0.7182122468948364,4.693320274353027,0.10675478726625443,0.3813839554786682,0.27991420649111576,1024,True
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,50,FFN,0.0,0.0,0.0,0.0,0.0,0.0,0,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,50,readout,0.32481834292411804,0.9498507976531982,1.9518777132034302,11.864032745361328,13.763899803161621,0.861967386789325,33,True
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,100,full,0.9558199048042297,0.3203420639038086,3.0470058917999268,0.14319829642772675,0.3198792040348053,0.4476636637252157,3265,True
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,100,E,0.9539870023727417,0.30034419894218445,4.269151210784912,0.04807272553443909,0.16981691122055054,0.2830856196177329,1152,True
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,100,QK,0.9940388798713684,0.25844693183898926,4.252732753753662,0.025441255420446396,0.05162885785102844,0.4927719976656351,1024,True
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,100,OV,0.9780359864234924,0.20913107693195343,3.1428592205047607,0.0732603371143341,0.3813839554786682,0.1920907685337375,1024,True
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,100,FFN,0.0,0.0,0.0,0.0,0.0,0.0,0,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,100,readout,1.0806080102920532,0.30072611570358276,1.900797724723816,11.132387161254883,13.763899803161621,0.8088105348382244,33,True
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,400,full,1.0257058143615723,0.1582127958536148,1.4779353141784668,0.13943170011043549,0.3198792040348053,0.43588860529759305,3265,True
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,400,E,0.9825910925865173,0.6755375862121582,5.173239231109619,0.004423446487635374,0.16981691122055054,0.02604832731818094,1152,True
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,400,QK,0.9931268692016602,0.24158713221549988,3.8814146518707275,0.0015615395968779922,0.05162885785102844,0.03024548018055539,1024,True
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,400,OV,0.9957391023635864,0.09444989264011383,1.8739051818847656,0.04381177946925163,0.3813839554786682,0.11487578027309578,1024,True
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,400,FFN,0.0,0.0,0.0,0.0,0.0,0.0,0,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,400,readout,1.2409696578979492,0.15048551559448242,1.3569328784942627,12.39558219909668,13.763899803161621,0.900586489030483,33,True
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,0,full,0.0,1.0,2.964258909225464,0.4419249892234802,0.4419249892234802,1.0,5441,True
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,0,E,0.0,0.9999999403953552,4.90571403503418,0.29270076751708984,0.29270076751708984,1.0,1152,True
