analysis_schema_version,run_key,run_label,seed,step,alpha,beta,probe_loss,is_snapshot_center
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.550000011920929,0.4000000059604645,3.32279372215271,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.550000011920929,0.44999998807907104,4.292733192443848,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.550000011920929,0.5,4.681834697723389,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.550000011920929,0.550000011920929,4.756104469299316,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.550000011920929,0.6000000238418579,4.8268280029296875,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.5,-0.6000000238418579,6.030448913574219,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.5,-0.550000011920929,5.414921283721924,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.5,-0.5,4.738802909851074,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.5,-0.44999998807907104,3.9587793350219727,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.5,-0.4000000059604645,3.2881078720092773,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.5,-0.3499999940395355,2.7993319034576416,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.5,-0.30000001192092896,2.359591484069824,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.5,-0.25,1.9438645839691162,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.5,-0.20000000298023224,1.674826979637146,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.5,-0.15000000596046448,1.5514729022979736,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.5,-0.10000000149011612,1.4739654064178467,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.5,-0.05000000074505806,1.4923076629638672,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.5,0.0,1.585745930671692,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.5,0.05000000074505806,1.6191219091415405,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.5,0.10000000149011612,1.6332929134368896,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.5,0.15000000596046448,1.7088388204574585,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.5,0.20000000298023224,1.8279399871826172,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.5,0.25,1.972068428993225,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.5,0.30000001192092896,2.1668198108673096,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.5,0.3499999940395355,2.459649085998535,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.5,0.4000000059604645,3.080411672592163,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.5,0.44999998807907104,4.065092086791992,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.5,0.5,4.66267204284668,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.5,0.550000011920929,4.33614444732666,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.5,0.6000000238418579,4.145779609680176,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.44999998807907104,-0.6000000238418579,6.043754577636719,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.44999998807907104,-0.550000011920929,5.300648212432861,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.44999998807907104,-0.5,4.653144359588623,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.44999998807907104,-0.44999998807907104,3.8727121353149414,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.44999998807907104,-0.4000000059604645,3.20078706741333,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.44999998807907104,-0.3499999940395355,2.6973586082458496,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.44999998807907104,-0.30000001192092896,2.252169132232666,False
