analysis_schema_version,run_key,run_label,study_id,cell_id,seed,step,num_concepts,d_model,num_layers,num_heads,memory_size,ffn_width,optimizer,learning_rate,training_batch_size,probe_batch_size,probe_loss,probe_accuracy,source_eval_batch_size,source_eval_loss,source_eval_accuracy,source_eval_value_flip_effect,source_eval_target_key_effect,linearization_absolute_error,linearization_function_movement,linearization_relative_error,parameter_displacement_norm,relative_parameter_displacement,hessian_ritz_max,hessian_ritz_min,hessian_negative_ritz_count,hessian_lanczos_steps,hessian_trace_estimate,hessian_trace_standard_error,center_loss,grid_minimum_loss,grid_maximum_loss,grid_minimum_alpha,grid_minimum_beta,center_relative_excess_over_grid_minimum,center_is_grid_minimum,center_is_local_3x3_minimum,grid_fraction_below_center,slice_curvature_min,slice_curvature_max
1,primary_noffn,"Primary: C64, d16, H4, no FFN",primary-adamw-12seeds-v1,cell-003-620823a00cef,0,0,64,16,2,4,4,,adamw,0.01,512,32,1.2748223543167114,0.5,8192,1.0610169172286987,0.5855712890625,0.10513024032115936,0.08598504215478897,0.0,0.0,0.0,0.0,0.0,60.79920959472656,-9.578164100646973,7,16,100.89409637451172,37.307823181152344,1.2748223543167114,1.149366855621338,9.684820175170898,-0.30000001192092896,-0.05000000074505806,0.09841018105037551,False,False,0.1888,-7.447612083803748,1.7155050921582649
1,primary_noffn,"Primary: C64, d16, H4, no FFN",primary-adamw-12seeds-v1,cell-003-620823a00cef,0,50,64,16,2,4,4,,adamw,0.01,512,32,0.3167304992675781,0.9375,8192,0.3199288249015808,0.9007568359375,0.709267258644104,0.7229905128479004,5.159452438354492,5.604799747467041,0.9205418229103088,5.434418201446533,0.34275004267692566,35.88587188720703,-3.0230400562286377,5,16,119.12263488769531,26.963672637939453,0.3167304992675781,0.28478363156318665,5.036540985107422,-0.05000000074505806,0.05000000074505806,0.10086451345313083,False,False,0.0128,6.754898889651271,13.75257921316751
1,primary_noffn,"Primary: C64, d16, H4, no FFN",primary-adamw-12seeds-v1,cell-003-620823a00cef,0,100,64,16,2,4,4,,adamw,0.01,512,32,0.11433720588684082,0.96875,8192,0.022838987410068512,0.9942626953125,0.9660248756408691,0.972267746925354,7.185765266418457,6.4889960289001465,1.107377052307129,8.445683479309082,0.5326712727546692,27.41244125366211,-3.6544699668884277,5,16,66.77301025390625,24.449369430541992,0.11433720588684082,0.11413432657718658,4.396942138671875,0.0,0.05000000074505806,0.001774394503351996,False,False,0.0032,7.912122527715601,30.575012689261534
1,primary_noffn,"Primary: C64, d16, H4, no FFN",primary-adamw-12seeds-v1,cell-003-620823a00cef,0,400,64,16,2,4,4,,adamw,0.01,512,32,0.0006081885658204556,1.0,8192,0.0016757271951064467,0.99951171875,0.9954279065132141,0.9999088644981384,9.38076114654541,6.379305839538574,1.4704986810684204,10.535428047180176,0.6644719243049622,28.183330535888672,-0.11485480517148972,4,16,57.56271743774414,21.607961654663086,0.0006081885658204556,0.0006081885658204556,2.944072723388672,0.0,0.0,0.0,True,True,0.0,-3.7252381737327815,17.260364907210885
1,primary_ffn,"Primary: C64, d16, H4, FFN32",primary-adamw-12seeds-v1,cell-007-8dda0b3cc614,0,0,64,16,2,4,4,32,adamw,0.01,512,32,1.9744772911071777,0.46875,8192,1.602602243423462,0.522705078125,0.08597659319639206,0.03680391609668732,0.0,0.0,0.0,0.0,0.0,133.6134490966797,-35.96492004394531,8,16,265.0256652832031,128.32745361328125,1.9744772911071777,1.1823064088821411,14.188955307006836,-0.5,-0.10000000149011612,0.4012053649808406,False,False,0.4416,-13.754844394775082,19.157790705922704
1,primary_ffn,"Primary: C64, d16, H4, FFN32",primary-adamw-12seeds-v1,cell-007-8dda0b3cc614,0,50,64,16,2,4,4,32,adamw,0.01,512,32,0.8289327621459961,0.75,8192,0.5447808504104614,0.80224609375,0.447425901889801,0.4362664818763733,14.66839599609375,5.607128620147705,2.6160264015197754,5.25509786605835,0.2609155774116516,40.23447799682617,-4.836829662322998,6,16,56.45323944091797,15.487251281738281,0.8289327621459961,0.7940185070037842,11.58193302154541,0.10000000149011612,-0.05000000074505806,0.0421195261384332,False,False,0.0592,4.862216993517776,6.4188676846229615
1,primary_ffn,"Primary: C64, d16, H4, FFN32",primary-adamw-12seeds-v1,cell-007-8dda0b3cc614,0,100,64,16,2,4,4,32,adamw,0.01,512,32,0.04979826882481575,1.0,8192,0.036564797163009644,0.9921875,0.9639266729354858,0.9630823135375977,17.294897079467773,7.736447334289551,2.235508918762207,8.828319549560547,0.43832600116729736,57.31230545043945,-4.651741981506348,6,16,92.50992584228516,27.082866668701172,0.04979826882481575,0.04979826882481575,10.88416862487793,0.0,0.0,0.0,True,True,0.0,2.841240859488022,11.715424425244994
1,primary_ffn,"Primary: C64, d16, H4, FFN32",primary-adamw-12seeds-v1,cell-007-8dda0b3cc614,0,400,64,16,2,4,4,32,adamw,0.01,512,32,0.0006261814851313829,1.0,8192,0.002843331079930067,0.9993896484375,1.0043916702270508,1.005957007408142,17.786165237426758,7.973494052886963,2.230661392211914,11.695319175720215,0.5806725025177002,19.765443801879883,-0.06363441050052643,5,16,26.832780838012695,8.347505569458008,0.0006261814851313829,0.0006261814851313829,9.478675842285156,0.0,0.0,0.0,True,True,0.0,0.30732745981086745,3.492942527987763
1,highlr_plateau,"High LR plateau: C128, d32, H1",scaling-width-load-adamw-10seeds-v1,cell-010-f5b3a33a84a0,0,0,128,32,2,1,4,,adamw,0.01,512,32,1.6318551301956177,0.46875,8192,1.7195707559585571,0.4793701171875,-0.04365251213312149,-0.0528409406542778,0.0,0.0,0.0,0.0,0.0,271.84295654296875,-44.46562576293945,7,16,75.21393585205078,102.78744506835938,1.6318551301956177,1.306010365486145,7.18382453918457,-0.15000000596046448,0.20000000298023224,0.19967750732285422,False,False,0.1024,-3.7738357323570733,20.068553035432938
1,highlr_plateau,"High LR plateau: C128, d32, H1",scaling-width-load-adamw-10seeds-v1,cell-010-f5b3a33a84a0,0,100,128,32,2,1,4,,adamw,0.01,512,32,0.9982694983482361,0.59375,8192,1.0013940334320068,0.503662109375,-1.0267467587254941e-06,-1.1848751455545425e-06,39.302162170410156,4.513555526733398,8.7075834274292,6.477355480194092,0.2928999662399292,74.97511291503906,-1.8989286422729492,7,16,51.46639633178711,14.569686889648438,0.9982694983482361,0.9427216053009033,5.419164657592773,-0.25,-0.3499999940395355,0.05564418540208212,False,False,0.104,-0.9742376603761103,11.350309281076719
