analysis_schema_version,run_key,run_label,dynamics_directory,dynamics_contract_hash,dynamics_manifest_sha256,dynamics_arrays_sha256,source_study_id,source_study_config_hash,source_cell_id,source_seed,source_initial_snapshot_sha256,source_git_commit,source_manifest_checked,source_snapshots_checked,numeric_metrics_recomputed
1,primary_noffn,"Primary: C64, d16, H4, no FFN",results/dynamics-primary-c64-h4-noffn-seed0-v1,a48877d9052e8bce3c808eb66fe94f0892c48959b3d9c1ffaa0e695fcbb7ffe6,39ff4b831569f8b0fa9b63b008f1ef1fab1b63c038bc1ea1b7653901acb4aa38,b2d06a8f6b7900434a769de6f58186686ab85562d32508fd51bc8966bf5be5d6,primary-adamw-12seeds-v1,90f25d44730697fcd428fca6afac9f254a3ad500980f2eaa99d12549933b5fe0,cell-003-620823a00cef,0,8fa29d6a82891690f8d1b20fb368a8bf95392ee0222b697754f51147f15eb0cf,062f46843965b40bbde14012218850546edd3c74,True,4,True
1,primary_ffn,"Primary: C64, d16, H4, FFN32",results/dynamics-primary-c64-h4-ffn-seed0-v1,d6dd7d2c762646bc75bcfb4acde06a76621621f56d46ef95d4a8002f0f16e33b,cbab8a07d911dbfc7600b83f5a434c004c5b1ab5879e1cc41dd205ebf3da634a,3859933dda2d784894e9c4c25051be12220edf6f13095a6c682986581c209e90,primary-adamw-12seeds-v1,90f25d44730697fcd428fca6afac9f254a3ad500980f2eaa99d12549933b5fe0,cell-007-8dda0b3cc614,0,d9edafd9f42241a622d5224015ee4f7e08a9d0cbf00d1d94c1b43ad3149cf4f1,062f46843965b40bbde14012218850546edd3c74,True,4,True
1,highlr_plateau,"High LR plateau: C128, d32, H1",results/dynamics-highlr-plateau-c128-d32-h1-noffn-seed0-v1,56ac9a4ae95c1ad6fa2c7c7f3b40ffa4a382c2db55e4a244d2dfa8fae361fa68,eedb4de6b40ffe4a49b79546f1e9c9ad10dab3adb49d009f2d8e7eea2b0d5815,38ad15d9f68f1a402ba8c0ad8d00098136087bf1df06feb75e717e3a3c4dd5e7,scaling-width-load-adamw-10seeds-v1,bffb1a6d15694071b753472a492474ca54484853136fedff195831ccd64433a0,cell-010-f5b3a33a84a0,0,9f55a1ad231f1df817952f29752572093838a30f714252b64f7f082fb090b4fd,df1ce531b7aee75288da3bf174c1c5d8549c9811,True,3,True
1,tuned,"Tuned: C128, d32, H1",results/dynamics-tuned-c128-d32-h1-noffn-seed0-v1,bba5a3a301d565b6f925417da19dc2d9f32c7edaee1e9b69f50ed95127d00230,4a7c3bfc9bedb4d7ab7ac99f05359e5242b3ec00ce024974462b6ebb77e729b0,3dc848380eaf4574036d251f5ff592663df658964f7737d826e0494560ec45e4,scaling-tuned-adamw-10seeds-v1,7097b902cc3f3a43380d0b66433b0a90ecf3915af0cdb913b8b407b76daf38af,cell-010-e2d6e09349f6,0,9f55a1ad231f1df817952f29752572093838a30f714252b64f7f082fb090b4fd,518c3c51c4d6f2a73c50257bcc70c35347d841c5,True,4,True
