seed,arm,step,accuracy_l64_m4,nll_l64_m4,qk_factor_norm,ov_factor_norm,mean_target_score_margin,mean_attention_selectivity,mean_direct_full_card_s_key
100,qk-small,0,0.0,9.01539421081543,0.028232020885667276,5.440094608306401,-1.6592496265843693e-08,-1.862645149230957e-09,-0.007647325750440359
100,qk-small,200,0.01953125,7.515804767608643,9.182765285649024,7.696133611411464,0.030657956609502435,-0.009035500581376255,0.4311719536781311
100,qk-small,400,0.07421875,6.7973480224609375,12.023460363375,9.572202472521255,0.04729178978595883,-0.004973456030711532,1.0805984735488892
100,qk-small,800,0.11328125,5.980823040008545,14.594483122290132,12.332117669446466,-0.04074481129646301,-0.016115632839500904,1.5397934913635254
100,qk-small,1600,0.83984375,1.3254468441009521,18.311204363195582,20.252255467208936,-0.8174229948781431,-0.045240344014018774,-0.9676668643951416
100,qk-small,3200,0.91015625,0.7483642101287842,21.900522960881162,24.021340776450515,-2.260129014030099,-0.053431097185239196,1.8889840841293335
100,qk-zero,0,0.0,9.01539421081543,0.0,5.440094608306401,0.0,-7.450580596923828e-09,-0.00764744495972991
100,qk-zero,200,0.00390625,7.722707748413086,0.0,7.400917064701515,0.0,-7.450580596923828e-09,0.29521164298057556
100,qk-zero,400,0.0234375,7.283555030822754,0.0,8.99548544506265,0.0,-7.450580596923828e-09,0.5666429996490479
100,qk-zero,800,0.03125,6.834073066711426,0.0,11.47310474676373,0.0,-7.450580596923828e-09,0.8907322883605957
100,qk-zero,1600,0.0546875,6.339054107666016,0.0,14.908641919175823,0.0,-7.450580596923828e-09,1.1931102275848389
100,qk-zero,3200,0.06640625,6.0030059814453125,0.0,19.94071642722145,0.0,-7.450580596923828e-09,1.6754705905914307
100,standard,0,0.0,9.015594482421875,7.227397346730823,5.440094608306401,-0.0010646924783941358,-4.406226798892021e-05,-0.007914870977401733
100,standard,200,0.0234375,7.521467208862305,11.41614899308591,7.674263483301764,0.029675150755792856,-0.008391907555051148,0.4394049048423767
100,standard,400,0.08203125,6.82403564453125,13.802460556153559,9.55702875730254,0.01761415763758123,-0.005798763362690806,1.1021329164505005
100,standard,800,0.22265625,5.753847122192383,16.733162801311803,12.580440104417063,0.03321950230747461,-0.016657844302244484,0.725948691368103
100,standard,1600,0.8828125,1.0474520921707153,19.93843396908103,20.476701895345947,0.06621381267905235,-0.07471338752657175,-1.0708000659942627
100,standard,3200,0.91796875,0.5878117680549622,23.298723706502223,24.120189325465784,-1.2395530696958303,-0.07527931220829487,-0.029917597770690918
101,qk-small,0,0.0,9.037846565246582,0.02843895175708328,5.432832830532018,2.2343438210725708e-09,-2.7939677238464355e-09,-0.008594940416514874
101,qk-small,200,0.01953125,7.426509857177734,9.25131175044944,7.791781533426446,-0.1323447898030281,-0.004216861561872065,0.4480488896369934
101,qk-small,400,0.07421875,6.648561477661133,12.007354548897915,9.715634180790394,-0.04025721224024892,0.0027973971446044743,0.9113590717315674
101,qk-small,800,0.08984375,5.979063034057617,14.39753005779591,12.383242183895778,0.002551976591348648,0.0018518601427786052,1.4638168811798096
101,qk-small,1600,0.66796875,2.2842531204223633,18.634373450323153,19.324968677016678,0.07644876092672348,-0.02678809201461263,-0.7441338300704956
101,qk-small,3200,0.95703125,0.4815562963485718,21.913500925848165,24.46784110104643,0.15652652876451612,-0.062092043648590334,-1.5100858211517334
101,qk-zero,0,0.0,9.037846565246582,0.0,5.432832830532018,0.0,-7.450580596923828e-09,-0.008594880811870098
101,qk-zero,200,0.0078125,7.753746032714844,0.0,7.50161094848523,0.0,-7.450580596923828e-09,0.2647130489349365
101,qk-zero,400,0.0234375,7.196417808532715,0.0,9.148868299809502,0.0,-7.450580596923828e-09,0.5033282041549683
101,qk-zero,800,0.0390625,6.797443389892578,0.0,11.513638774122134,0.0,-7.450580596923828e-09,0.6801614761352539
101,qk-zero,1600,0.08203125,6.305058002471924,0.0,15.073511712544146,0.0,-7.450580596923828e-09,0.9108732342720032
101,qk-zero,3200,0.0703125,6.05328369140625,0.0,20.292922647550494,0.0,-7.450580596923828e-09,1.2375924587249756
101,standard,0,0.0,9.037633895874023,7.280371649813319,5.432832830532018,0.00013043817307334393,-9.2316884547472e-05,-0.008971234783530235
101,standard,200,0.0234375,7.4435834884643555,11.482795617110241,7.798299624875743,-0.07017248682677746,-0.0021381984115578234,0.44576072692871094
101,standard,400,0.06640625,6.692602157592773,13.906277877265333,9.718807993038137,-0.05555470520630479,0.0004207789897918701,0.9324202537536621
101,standard,800,0.0703125,6.055479526519775,16.21042356113035,12.379880982937715,0.04664373118430376,-0.004224522097501904,1.4156806468963623
101,standard,1600,0.75390625,2.0282483100891113,19.537882662861755,19.587173964581062,-0.35596399661153555,-0.042935156263411045,-1.591022253036499
101,standard,3200,0.9140625,0.5923422574996948,22.677314132149093,24.063132082080887,0.13829778553918004,-0.048214358976110816,-1.5510082244873047
102,qk-small,0,0.0,9.046531677246094,0.02832413798630634,5.420471504454622,4.891210547697256e-09,-1.3969838619232178e-09,0.0024054250679910183
102,qk-small,200,0.046875,7.38987922668457,9.760020901782683,7.848466860735057,0.03366257390007377,-0.003430950629990548,0.521525502204895
102,qk-small,400,0.09765625,6.515446186065674,12.421438149502025,9.838220454085487,0.08942541293799877,-0.006106713088229299,0.9648285508155823
102,qk-small,800,0.12890625,5.604671955108643,15.13095700572365,12.628890061419725,0.004192954860627651,-0.004936130135320127,2.1859445571899414
102,qk-small,1600,0.78125,1.3718469142913818,18.21135267048736,20.582227699093764,0.4135926985181868,-0.034190212027169764,-1.5020575523376465
102,qk-small,3200,0.89453125,0.9168738722801208,21.45629459313132,25.76607911384658,-1.7001404725015163,-0.045487523544579744,-1.0021471977233887
102,qk-zero,0,0.0,9.046531677246094,0.0,5.420471504454622,0.0,7.450580596923828e-09,0.002405534265562892
102,qk-zero,200,0.015625,7.69268798828125,0.0,7.576262270689813,0.0,7.450580596923828e-09,0.33222949504852295
102,qk-zero,400,0.04296875,7.122861862182617,0.0,9.221155764364697,0.0,7.450580596923828e-09,0.5397430062294006
102,qk-zero,800,0.078125,6.514447212219238,0.0,11.704159526657547,0.0,7.450580596923828e-09,0.9670290946960449
102,qk-zero,1600,0.10546875,6.141829490661621,0.0,15.057895383956055,0.0,7.450580596923828e-09,1.4538789987564087
102,qk-zero,3200,0.09765625,5.90869140625,0.0,20.277275930433447,0.0,7.450580596923828e-09,1.7255488634109497
102,standard,0,0.0,9.046615600585938,7.250979324494423,5.420471504454622,0.00034777430118992925,4.097912460565567e-05,0.0025927028618752956
102,standard,200,0.05078125,7.418244361877441,11.807175460577884,7.853347878987757,0.028220056323334575,-0.004428481159266084,0.5117771029472351
102,standard,400,0.11328125,6.520534515380859,14.14191140071935,9.849729931706468,0.026721286587417126,-0.004285618488211185,1.0017303228378296
102,standard,800,0.1171875,5.613487243652344,16.731464891617637,12.639577079500196,0.006532548926770687,-0.0038775044376961887,2.0494225025177
102,standard,1600,0.81640625,1.33881676197052,19.834272341044077,20.198971963915586,-0.7040635151788592,-0.04566453699953854,-0.24021172523498535
102,standard,3200,0.875,0.9133813977241516,23.52235291006793,25.439376087035466,0.6589964143931866,-0.0440918521489948,0.6027328968048096
103,qk-small,0,0.0,9.02662467956543,0.02820845659940471,5.425075921832659,-5.3710923708649716e-08,-7.916241884231567e-09,-0.007771521806716919
103,qk-small,200,0.046875,7.553567409515381,9.712238964171654,7.776897193431266,-0.09315301477909088,-0.0005685018841177225,0.49460697174072266
103,qk-small,400,0.0546875,6.766624450683594,12.173985113499242,9.690683752310543,-0.1102951392531395,0.0028908945387229323,1.0011467933654785
103,qk-small,800,0.109375,5.837184429168701,14.329107386067191,12.413730028716614,-0.12386545538902283,0.010427906061522663,1.646533489227295
103,qk-small,1600,0.703125,2.0657296180725098,17.763031058053823,19.215170674296868,-0.40563295828178525,-0.04149631975451484,-0.5919798612594604
103,qk-small,3200,0.94921875,0.470578670501709,21.81889826544742,24.369127123591174,0.15626017889007926,-0.03700062626978706,0.7344884872436523
103,qk-zero,0,0.0,9.02662467956543,0.0,5.425075921832659,0.0,0.0,-0.007771551609039307
103,qk-zero,200,0.0234375,7.821391582489014,0.0,7.506771194061699,0.0,0.0,0.2852792739868164
103,qk-zero,400,0.0234375,7.269936561584473,0.0,9.14582996035248,0.0,0.0,0.5094204545021057
103,qk-zero,800,0.03125,6.727035045623779,0.0,11.494045861954708,0.0,0.0,0.8346045017242432
103,qk-zero,1600,0.05859375,6.343340873718262,0.0,15.054469108482193,0.0,0.0,1.3166474103927612
103,qk-zero,3200,0.08203125,6.232309341430664,0.0,19.961156317599553,0.0,0.0,1.617539882659912
103,standard,0,0.0,9.026330947875977,7.221364889447606,5.425075921832659,-0.0034191871527582407,-0.0002502973657101393,-0.007297039031982422
103,standard,200,0.0390625,7.567212104797363,11.854171475821236,7.769739607543535,-0.07405959442257881,0.0027185744838789105,0.49574732780456543
103,standard,400,0.0703125,6.774521827697754,14.106481954672901,9.6893894690968,-0.029482798650860786,0.003450750489719212,1.0120007991790771
103,standard,800,0.1171875,5.896889686584473,16.077438354658728,12.385816624853932,0.019676197320222855,0.006461129058152437,1.692437767982483
103,standard,1600,0.6953125,2.544914722442627,19.74506659397266,19.743571937485044,0.5421894509345293,-0.025587930576875806,-0.02739405632019043
103,standard,3200,0.88671875,0.8318163156509399,23.225322301494565,24.76288544818454,1.968708099797368,-0.04009192856028676,0.32259273529052734
104,qk-small,0,0.0,9.03856372833252,0.028264550382390473,5.411929856857276,3.489499889042236e-08,1.862645149230957e-09,0.009828637354075909
104,qk-small,200,0.04296875,7.514969825744629,9.493029948710618,7.721930863885799,0.020980825880542397,-0.003925326047465205,0.48493874073028564
104,qk-small,400,0.109375,6.757028102874756,12.088155275431882,9.625170025004955,-0.01848461152985692,-0.004687351232860237,0.9798578023910522
104,qk-small,800,0.09765625,5.893533706665039,14.400133998565282,12.338475223017227,-0.03322796197608113,-0.003664871910586953,1.5486793518066406
104,qk-small,1600,0.8125,1.1241942644119263,18.411750373160853,20.21028934201799,-0.9911876898258924,-0.03913407365325838,-1.2750272750854492
104,qk-small,3200,0.88671875,0.7857556343078613,22.257589738774822,25.19542864632265,-1.6334103494882584,-0.04984626732766628,-1.3309191465377808
104,qk-zero,0,0.0,9.038564682006836,0.0,5.411929856857276,0.0,0.0,0.00982858706265688
104,qk-zero,200,0.00390625,7.7985639572143555,0.0,7.483878427808152,0.0,0.0,0.3148820996284485
104,qk-zero,400,0.0234375,7.242338180541992,0.0,9.123155786366036,0.0,0.0,0.5581761598587036
104,qk-zero,800,0.06640625,6.710530757904053,0.0,11.51418149433413,0.0,0.0,0.8490058183670044
104,qk-zero,1600,0.07421875,6.477899551391602,0.0,14.898988934590184,0.0,0.0,1.1953321695327759
104,qk-zero,3200,0.06640625,6.196002006530762,0.0,19.820354312766916,0.0,0.0,1.299536943435669
104,standard,0,0.0,9.038387298583984,7.235724897891961,5.411929856857276,0.0021659893536707386,0.00016751931980252266,0.010041485540568829
104,standard,200,0.046875,7.503608226776123,11.544072989430669,7.715479107540031,-0.0038996029179543257,-0.004901490872725844,0.4920463562011719
104,standard,400,0.0859375,6.7454118728637695,13.96167031250341,9.62040381488148,-0.016090022632852197,-0.00498857710044831,0.9172812104225159
104,standard,800,0.12109375,5.911452770233154,16.262656755446923,12.364699768358037,-0.12938999943435192,-0.015680775686632842,1.443116307258606
104,standard,1600,0.87890625,0.9409126043319702,19.017908991967488,20.41212170934227,-0.8707156116142869,-0.0362417729338631,-1.5280925035476685
104,standard,3200,0.96875,0.16395676136016846,22.964095576985944,23.970627235000915,-1.5172472754493356,-0.03559063351713121,2.3655333518981934
105,qk-small,0,0.0,9.010454177856445,0.028249276283388493,5.433538331024108,1.4093211042620624e-09,-2.7939677238464355e-09,0.0018768608570098877
105,qk-small,200,0.05859375,7.422356605529785,9.34007451160451,7.763546963052715,-0.018359624315053225,-0.014340968569740653,0.4406585991382599
105,qk-small,400,0.1015625,6.59755802154541,11.971640693444835,9.701279063791358,0.03909561096224934,-0.01764081622241065,0.96462082862854
105,qk-small,800,0.15234375,5.708499908447266,14.53164176822989,12.417870381059569,-0.0739896111190319,-0.02890109090367332,1.618463397026062
105,qk-small,1600,0.80859375,1.4157474040985107,17.475328875108843,20.400980434045028,-0.8053859518840909,-0.04043879595701583,-0.9341776371002197
105,qk-small,3200,0.8203125,0.9569970369338989,19.936088535966416,25.071008412850475,-1.2458448763936758,-0.06304053324856795,-1.4448912143707275
105,qk-zero,0,0.0,9.010454177856445,0.0,5.433538331024108,0.0,0.0,0.0018770198803395033
105,qk-zero,200,0.01171875,7.715564250946045,0.0,7.498318563171048,0.0,0.0,0.2740279734134674
105,qk-zero,400,0.03125,7.176995277404785,0.0,9.103667655089486,0.0,0.0,0.48953527212142944
105,qk-zero,800,0.03515625,6.6600751876831055,0.0,11.513374077567093,0.0,0.0,0.8587491512298584
105,qk-zero,1600,0.0859375,6.28260612487793,0.0,14.99326006147314,0.0,0.0,1.3123352527618408
105,qk-zero,3200,0.0703125,5.963014602661133,0.0,19.994837428407667,0.0,0.0,1.584062933921814
105,standard,0,0.0,9.010619163513184,7.231814728547454,5.433538331024108,0.0001101726375054568,-4.198029637336731e-05,0.0021294853650033474
105,standard,200,0.04296875,7.454736232757568,11.663991203524565,7.753349057411503,0.0005231117829680443,-0.015451039071194828,0.4508192837238312
105,standard,400,0.08203125,6.666622638702393,13.829042290042722,9.686677614806626,0.01915229018777609,-0.017720009840559214,0.9850045442581177
105,standard,800,0.12109375,5.755476474761963,16.220390839530396,12.42109909033509,-0.08806792832911015,-0.027329879347234964,1.9477183818817139
105,standard,1600,0.79296875,1.550944209098816,19.68268344634252,20.504080284922214,0.8127628210932016,-0.05398371601768304,-0.6514382362365723
105,standard,3200,0.85546875,1.073168158531189,22.41089993672992,25.06813121137523,0.4275314179249108,-0.05972578900400549,-1.1215097904205322
106,qk-small,0,0.0,9.044614791870117,0.028306453726762524,5.428343138541944,1.6270020219977255e-08,-4.656612873077393e-10,-0.008377134799957275
106,qk-small,200,0.015625,7.502925872802734,9.389254655679373,7.745568131135185,0.024037493858486414,-0.01109819719567895,0.5109846591949463
106,qk-small,400,0.09375,6.819789886474609,12.081698719262274,9.707131889942174,0.04943247139453888,-0.004968056455254555,1.2515172958374023
106,qk-small,800,0.09375,6.057621955871582,14.477310153122863,12.502116539102726,-0.0002375040203332901,-0.0030398491653613746,2.133303642272949
106,qk-small,1600,0.8359375,1.284458041191101,18.357342754460973,20.336593904574013,0.14514951221644878,-0.03071401931811124,-0.9297130107879639
