accuracy,arm,nll,num_kv_pairs,ov_factor_norm,ov_gradient_norm,qk_factor_norm,qk_gradient_norm,seed,sequence_length,step
0.91015625,qk-small,0.7483642101287842,4,24.021340776450515,5.939370795773509,21.900522960881162,6.532448862393541,100,64,3200
0.888671875,qk-small,0.7122035026550293,16,24.021340776450515,,21.900522960881162,,100,256,3200
0.8115234375,qk-small,1.3876653909683228,16,24.021340776450515,,21.900522960881162,,100,512,3200
0.3818359375,qk-small,7.405684471130371,32,24.021340776450515,,21.900522960881162,,100,1024,3200
0.06640625,qk-zero,6.0030059814453125,4,19.94071642722145,0.7390480695116124,0.0,0.0,100,64,3200
0.001953125,qk-zero,7.846841335296631,16,19.94071642722145,,0.0,,100,256,3200
0.0068359375,qk-zero,7.832624435424805,16,19.94071642722145,,0.0,,100,512,3200
0.00244140625,qk-zero,8.116061210632324,32,19.94071642722145,,0.0,,100,1024,3200
0.91796875,standard,0.5878117680549622,4,24.120189325465784,2.7720182341832924,23.298723706502223,2.914868008841603,100,64,3200
0.91015625,standard,0.5871107578277588,16,24.120189325465784,,23.298723706502223,,100,256,3200
0.8271484375,standard,1.4199926853179932,16,24.120189325465784,,23.298723706502223,,100,512,3200
0.42236328125,standard,7.239668846130371,32,24.120189325465784,,23.298723706502223,,100,1024,3200
0.95703125,qk-small,0.4815562963485718,4,24.46784110104643,2.0160561918376136,21.913500925848165,6.103411286360481,101,64,3200
0.9345703125,qk-small,0.34124836325645447,16,24.46784110104643,,21.913500925848165,,101,256,3200
0.888671875,qk-small,0.8077716827392578,16,24.46784110104643,,21.913500925848165,,101,512,3200
0.39794921875,qk-small,7.452164649963379,32,24.46784110104643,,21.913500925848165,,101,1024,3200
0.0703125,qk-zero,6.05328369140625,4,20.292922647550494,0.7583884865812608,0.0,0.0,101,64,3200
0.0087890625,qk-zero,7.752898693084717,16,20.292922647550494,,0.0,,101,256,3200
0.005859375,qk-zero,7.864472389221191,16,20.292922647550494,,0.0,,101,512,3200
0.00439453125,qk-zero,8.105538368225098,32,20.292922647550494,,0.0,,101,1024,3200
0.9140625,standard,0.5923422574996948,4,24.063132082080887,3.9189829061707444,22.677314132149093,3.2266272429835774,101,64,3200
0.8896484375,standard,0.6511090993881226,16,24.063132082080887,,22.677314132149093,,101,256,3200
0.837890625,standard,1.0445458889007568,16,24.063132082080887,,22.677314132149093,,101,512,3200
0.39013671875,standard,7.619355201721191,32,24.063132082080887,,22.677314132149093,,101,1024,3200
0.89453125,qk-small,0.9168738722801208,4,25.76607911384658,3.1262012153756897,21.45629459313132,3.394782726176353,102,64,3200
0.783203125,qk-small,1.0743967294692993,16,25.76607911384658,,21.45629459313132,,102,256,3200
0.73828125,qk-small,1.4582897424697876,16,25.76607911384658,,21.45629459313132,,102,512,3200
0.34130859375,qk-small,8.19276237487793,32,25.76607911384658,,21.45629459313132,,102,1024,3200
0.09765625,qk-zero,5.90869140625,4,20.277275930433447,0.882460085768502,0.0,0.0,102,64,3200
0.0107421875,qk-zero,7.743341445922852,16,20.277275930433447,,0.0,,102,256,3200
0.0068359375,qk-zero,7.815391540527344,16,20.277275930433447,,0.0,,102,512,3200
0.00390625,qk-zero,8.101089477539062,32,20.277275930433447,,0.0,,102,1024,3200
0.875,standard,0.9133813977241516,4,25.439376087035466,3.9527296868830946,23.52235291006793,4.43424416966329,102,64,3200
