arm_name,checkpoint_count,inference_status,seed,spearman_rho,x,y
hard-dense-direct-constant-6400,4,descriptive_within_seed_only,100,-1.0,ntk_full_relative_drift,walsh_l_w
hard-dense-direct-constant-6400,4,descriptive_within_seed_only,101,-1.0,ntk_full_relative_drift,walsh_l_w
hard-dense-direct-constant-6400,4,descriptive_within_seed_only,102,-1.0,ntk_full_relative_drift,walsh_l_w
hard-factorized-constant-6400,4,descriptive_within_seed_only,100,-1.0,ntk_full_relative_drift,walsh_l_w
hard-factorized-constant-6400,4,descriptive_within_seed_only,101,-0.39999999999999997,ntk_full_relative_drift,walsh_l_w
hard-factorized-constant-6400,4,descriptive_within_seed_only,102,-1.0,ntk_full_relative_drift,walsh_l_w
hard-factorized-cosine-6400,4,descriptive_within_seed_only,100,-1.0,ntk_full_relative_drift,walsh_l_w
hard-factorized-cosine-6400,4,descriptive_within_seed_only,101,-0.39999999999999997,ntk_full_relative_drift,walsh_l_w
hard-factorized-cosine-6400,4,descriptive_within_seed_only,102,-1.0,ntk_full_relative_drift,walsh_l_w
hard-rank-matched-constant-6400,4,descriptive_within_seed_only,100,-0.7999999999999999,ntk_full_relative_drift,walsh_l_w
hard-rank-matched-constant-6400,4,descriptive_within_seed_only,101,-1.0,ntk_full_relative_drift,walsh_l_w
hard-rank-matched-constant-6400,4,descriptive_within_seed_only,102,-0.7999999999999999,ntk_full_relative_drift,walsh_l_w
