alpha_training,arm_name,beta_random_orthogonal,fixed_probe_risk,log10_risk_over_center,seed,step
-1.0,hard-factorized-constant-6400,-1.0,1.272916129919191,0.00499387664297153,100,0
-1.0,hard-factorized-constant-6400,-0.8333333333333334,1.4212758553572002,0.05287246520604844,100,0
-1.0,hard-factorized-constant-6400,-0.6666666666666666,1.5740593197651498,0.09721518199250345,100,0
-1.0,hard-factorized-constant-6400,-0.5,1.7071689387886837,0.13247058725313202,100,0
-1.0,hard-factorized-constant-6400,-0.3333333333333333,1.8346792023604817,0.16375422479759486,100,0
-1.0,hard-factorized-constant-6400,-0.16666666666666666,1.9403558383392019,0.18807546861555244,100,0
-1.0,hard-factorized-constant-6400,0.0,1.9967440615678531,0.20051648839343408,100,0
-1.0,hard-factorized-constant-6400,0.16666666666666666,2.0055152979688957,0.2024200660104374,100,0
-1.0,hard-factorized-constant-6400,0.3333333333333333,1.9592375600910037,0.19228118485959958,100,0
-1.0,hard-factorized-constant-6400,0.5,1.906523499878314,0.180436249676205,100,0
-1.0,hard-factorized-constant-6400,0.6666666666666666,1.8630674780017211,0.1704226716944204,100,0
-1.0,hard-factorized-constant-6400,0.8333333333333334,1.822697104392745,0.1609085905449387,100,0
-1.0,hard-factorized-constant-6400,1.0,1.7731064410252162,0.1489288943391716,100,0
-0.8333333333333334,hard-factorized-constant-6400,-1.0,1.1905531834705219,-0.0240571124548701,100,0
-0.8333333333333334,hard-factorized-constant-6400,-0.8333333333333334,1.3416521681856532,0.027834023737050573,100,0
-0.8333333333333334,hard-factorized-constant-6400,-0.6666666666666666,1.5046693328911944,0.07763515648216168,100,0
-0.8333333333333334,hard-factorized-constant-6400,-0.5,1.6407688943095657,0.11524150098909601,100,0
-0.8333333333333334,hard-factorized-constant-6400,-0.3333333333333333,1.7867918750137246,0.15226805586332948,100,0
-0.8333333333333334,hard-factorized-constant-6400,-0.16666666666666666,1.9116240619253242,0.1815965753228451,100,0
-0.8333333333333334,hard-factorized-constant-6400,0.0,1.9846038867820543,0.19786792447575324,100,0
-0.8333333333333334,hard-factorized-constant-6400,0.16666666666666666,1.985283638340603,0.19801665027816434,100,0
-0.8333333333333334,hard-factorized-constant-6400,0.3333333333333333,1.9273250410957319,0.18514905098852452,100,0
-0.8333333333333334,hard-factorized-constant-6400,0.5,1.8647242506153385,0.17080870573474183,100,0
-0.8333333333333334,hard-factorized-constant-6400,0.6666666666666666,1.8187063065530995,0.15995665966639197,100,0
-0.8333333333333334,hard-factorized-constant-6400,0.8333333333333334,1.770319484015456,0.14824573610427486,100,0
-0.8333333333333334,hard-factorized-constant-6400,1.0,1.7098550964435124,0.13315339409047952,100,0
-0.6666666666666666,hard-factorized-constant-6400,-1.0,1.0946997121128486,-0.06051090922376258,100,0
-0.6666666666666666,hard-factorized-constant-6400,-0.8333333333333334,1.2455285523127777,-0.0044522254068575405,100,0
-0.6666666666666666,hard-factorized-constant-6400,-0.6666666666666666,1.402056083710469,0.04695947311570071,100,0
-0.6666666666666666,hard-factorized-constant-6400,-0.5,1.5539158455789082,0.09162158219866691,100,0
-0.6666666666666666,hard-factorized-constant-6400,-0.3333333333333333,1.715013999332375,0.1344617563602055,100,0
-0.6666666666666666,hard-factorized-constant-6400,-0.16666666666666666,1.8692104241393075,0.17185228121931828,100,0
-0.6666666666666666,hard-factorized-constant-6400,0.0,1.9517366313099065,0.19061530019064463,100,0
-0.6666666666666666,hard-factorized-constant-6400,0.16666666666666666,1.9387807467687375,0.18772278517678698,100,0
-0.6666666666666666,hard-factorized-constant-6400,0.3333333333333333,1.871467071655141,0.1723762770375738,100,0
-0.6666666666666666,hard-factorized-constant-6400,0.5,1.8057412859694104,0.1568496146507771,100,0
