analysis_status,arm_name,cell_id,codebook_coherence,codebook_effective_rank,codebook_feature_dimensionality_sum,codebook_gram_offdiag_rms,codebook_row_norm_cv,codebook_row_norm_mean,final_global_offdiagonal_token_cosine,final_query_target_minus_distractor_cosine,final_token_covariance_effective_rank,fixed_probe_risk,i_swap,inference_unit,ntk_full_alignment,ntk_full_effective_rank,ntk_full_relative_drift,population_risk,s_key,seed,step,walsh_l_0,walsh_l_d,walsh_l_h,walsh_l_w,welch_bound,xi_value
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.8437610041666778,6.5251817562558685,6.787612494582763,0.3548774418101698,1.2912107079770851e-08,0.9999999997122113,0.30545590552216284,0.21448334909096234,2.313388170255876,1.258362921696975,0.1621904290685912,seed,0.9999999999991538,7.066531606383961,0.0,1.2443323085542262,-0.22081284469993534,100,0,0.8182480476898872,0.179033667266695,0.03746697007329966,1.034748685029882,0.3110855084191276,-0.19336391827084753
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.9380129289599658,4.924332217993095,5.013776475221648,0.4186784450049886,0.09921114469133752,1.2265976101303573,0.1313473060954065,0.8535028798821005,1.2150241847728633,0.01648770745170259,0.027098796091037155,seed,0.2915344493958929,3.290309914239395,0.9577738984843349,0.011821058686262528,0.9849230608031879,100,800,0.0028994525733387253,0.007455205597839294,0.009437333077694149,0.019791991248872168,0.3110855084191276,0.9796070282324081
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.9270283619799792,4.946724981489525,4.985682553457021,0.4177380489041111,0.07526289057736678,1.331128585167524,0.08159539122111277,1.0075188669976483,1.1055394791227338,0.00018915241354718493,0.004307102129956242,seed,0.22231842269793092,1.364447256344361,0.9750677427063374,0.0016123426260206259,0.9957907524329812,100,3200,0.00030452537683750623,0.0009077014493255269,0.0016124885067886263,0.0028247153329516595,0.3110855084191276,0.9966548988827526
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.9441965454132998,5.0017573820621255,5.037914200844307,0.4150193577558052,0.07086339673902159,1.454620087016386,0.07543964908005332,1.0203236331198302,1.0767117929650118,3.922750235527857e-05,0.00016059560841813177,seed,0.2155575482511355,1.2877102851837123,0.9765532363288767,0.0006916971011307171,1.0023178959686305,100,6400,0.00010144487388556393,0.0002966039005246529,0.000873422143805662,0.0012714709182158788,0.3110855084191276,0.9995486592879388
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.897881674778429,6.836804740995427,7.0276436240795555,0.3445684098909957,1.5183246145193736e-08,0.9999999967598305,0.14556168529326913,0.13638659698999642,2.4538030104828024,0.9834493464173721,0.19997854511802027,seed,0.9999999999991447,4.313548180113912,0.0,1.1804069967971063,0.04109324409561547,101,0,1.1668810724623644,0.06128659410876014,0.012751924527907094,1.2409195910990316,0.3110855084191276,-0.04798723340365996
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.9107794424131608,4.403831991810881,4.52955273113178,0.4440184015323586,0.10873404573297725,1.2222708513936462,0.12240486999663154,0.7793515160474886,1.2456560423924192,0.013652234975530763,0.04178308801310862,seed,0.35304573970566294,4.508745656930885,1.048833627303009,0.023914686807227803,0.9712720406801054,101,800,0.00684435544482137,0.017038248211456594,0.012954896131847528,0.03683749978812549,0.3110855084191276,0.9733155467215511
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.9331801198738278,4.288241662565971,4.372817051187939,0.4484600942924403,0.13725934567373968,1.3550577136941393,0.07175110246484573,1.0020525248395067,1.0681876625072007,0.0004822453702315627,0.004063004740244848,seed,0.24119539270466742,1.5825006607425791,0.9710590242023764,0.00271084310645443,0.98421354863234,101,3200,0.0008361407350769377,0.0012139689736349521,0.002764534733474917,0.004814644442186807,0.3110855084191276,0.9939379156112409
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.9440964202622506,4.265758817583931,4.348464936375728,0.45077459975876555,0.1546463384271944,1.4681244898162316,0.07322451830894039,1.0107301398527813,1.050515763764872,0.00036597447099181887,0.0021817191172938924,seed,0.21361705343160362,1.3367354125113637,0.9769228873459391,0.0014160380027910262,0.9859831222414547,101,6400,0.0003242810253611767,0.0007212877727474251,0.0013912990127053616,0.0024368678108139634,0.3110855084191276,0.9951310214073601
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.9172356781611094,6.506299868969615,6.699459607356197,0.3555236962002777,1.566949436241312e-08,1.0000000011274328,0.42510473994968784,0.25034816377448804,2.261555687771228,1.3871767128551378,0.45630863888902895,seed,0.9999999999998095,3.23512694245167,0.0,1.4839268231338114,-0.16986016148431796,102,0,1.245092510705362,0.23914013129196487,0.015466356906529017,1.499698998903856,0.3110855084191276,-0.1924794100850704
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.8808369805540426,4.421375660397105,4.620631409990115,0.4496404357734066,0.08475181019546417,1.128402766116633,0.19391657114299762,0.7493213161263301,1.282347556148169,0.034457524197453904,0.045908736661845743,seed,0.2882894809986828,3.0295922539844033,0.9666234609565001,0.020019407081365737,0.9702449642810885,102,800,0.005449558530221376,0.012592676973832467,0.013527623020568483,0.031569858524622324,0.3110855084191276,0.95821056180921
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.8843512795195336,4.036075662757117,4.419764625737773,0.464679117200627,0.11643766585331619,1.250274329584105,0.16559569553123488,0.7533988557107596,1.1635946290910208,0.003112729374941818,0.009271674820727271,seed,0.2490821028637288,1.5566040102678453,0.9836553155331642,0.004076955048758224,0.9873634884063449,102,3200,0.0010572912646239514,0.0020895821099253076,0.003826437682820013,0.006973311057369272,0.3110855084191276,0.9940837958147313
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.8979797416498089,3.8348060650062763,4.2629121409991,0.4672770284397737,0.1432251291283664,1.351060688115121,0.17930063156414697,0.6607419156088794,1.1494904858691668,0.008366636760276899,0.011496568177125164,seed,0.24063107218747445,1.4155540398259778,0.9852230415228072,0.002989005562893326,1.0000195573607773,102,6400,0.0004429937871736176,0.0015546785094599225,0.003282909893914522,0.005280582190548062,0.3110855084191276,1.0039486104342359
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,0.8437610041666778,6.5251817562558685,6.787612494582763,0.3548774418101698,1.2912107079770851e-08,0.9999999997122113,0.30545590552216284,0.21448334909096234,2.313388170255876,1.258362921696975,0.1621904290685912,seed,0.9999999999991538,7.066531606383961,0.0,1.2443323085542262,-0.22081284469993534,100,0,0.8182480476898872,0.179033667266695,0.03746697007329966,1.034748685029882,0.3110855084191276,-0.19336391827084753
