arm_name,cell_id,composite_max_abs_gap,fixed_probe_risk,gauge_coordinate,prediction_max_abs_gap,raw_parameter_relative_displacement,risk_absolute_gap,role,seed,step
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.016487707451702555,-0.25,1.970645868709653e-15,0.17883183257392496,3.469446951953614e-17,gauge_flat_numerical_negative_control,100,800
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.0,0.01648770745170259,0.0,0.0,0.0,0.0,gauge_flat_numerical_negative_control,100,800
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,0.016487707451702575,0.25,4.6074255521944e-15,0.18446660058390885,1.3877787807814457e-17,gauge_flat_numerical_negative_control,100,800
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.016487707451702593,0.5,2.886579864025407e-15,0.3939259871288948,3.469446951953614e-18,gauge_flat_numerical_negative_control,100,800
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.016487707451702596,0.75,2.0539125955565396e-15,0.647993874352395,6.938893903907228e-18,gauge_flat_numerical_negative_control,100,800
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.016487707451702582,1.0,1.3877787807814457e-15,0.9674581308830327,6.938893903907228e-18,gauge_flat_numerical_negative_control,100,800
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.016487707451702582,1.25,2.4980018054066022e-15,1.375715790983526,6.938893903907228e-18,gauge_flat_numerical_negative_control,100,800
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,0.016487707451702555,1.5,5.2735593669694936e-15,1.9005827972289107,3.469446951953614e-17,gauge_flat_numerical_negative_control,100,800
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.016487707451702565,1.75,3.497202527569243e-15,2.5763952992133703,2.42861286636753e-17,gauge_flat_numerical_negative_control,100,800
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,0.016487707451702575,2.0,3.4416913763379853e-15,3.4464481464669046,1.3877787807814457e-17,gauge_flat_numerical_negative_control,100,800
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,0.00018915241354718493,-2.0,6.661338147750939e-16,3.071431400332424,0.0,gauge_flat_numerical_negative_control,100,3200
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.00018915241354718488,-1.75,4.440892098500626e-16,2.303226203225637,5.421010862427522e-20,gauge_flat_numerical_negative_control,100,3200
