arm_name,cell_id,center_fixed_probe_risk,coordinate_count,diagnostic_seed,inference_status,max_per_map_axis_absolute_cosine,max_per_map_axis_relative_norm_gap,maximum_fixed_probe_risk,minimum_fixed_probe_risk,numeric_path,plane_coordinate_system,proxy_prediction_max_abs_gap,rank_constraint_scope,reference_step,seed,step,training_axis_frobenius_norm,training_orientation
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,1.258362921696975,13,6431967374275360123,descriptive_grid_not_independent_N,9.496084182389892e-17,2.0237033660033763e-16,2.0057540846246296,0.7031543166919143,numeric/hard-factorized-cosine-6400/seed-100/step-0/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,800,100,0,6.5016702503344055,-1.0
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,0.01648770745170259,13,4581114522873862097,descriptive_grid_not_independent_N,3.764157639764117e-17,1.8703005029191519e-16,0.7692086729885432,0.01648770745170259,numeric/hard-factorized-cosine-6400/seed-100/step-800/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,0,100,800,6.5016702503344055,1.0
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,0.0001837386113218063,13,6677425633215694219,descriptive_grid_not_independent_N,5.851088153036705e-17,2.0444682874964233e-16,0.22668013254112881,0.00016475046886380452,numeric/hard-factorized-cosine-6400/seed-100/step-3200/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,800,100,3200,3.318827049741134,1.0
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,5.282686988508726e-05,13,2114692661051443682,descriptive_grid_not_independent_N,3.03217269614427e-17,2.517813963067352e-16,0.0016680816563128817,4.723232310184962e-05,numeric/hard-factorized-cosine-6400/seed-100/step-6400/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,3200,100,6400,0.7882583818998822,1.0
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,0.9834493464173721,13,7578626805848198626,descriptive_grid_not_independent_N,3.2333423277679806e-17,2.1037617315788098e-16,2.9669016683682097,0.5910954004283542,numeric/hard-factorized-cosine-6400/seed-101/step-0/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,800,101,0,6.7676611056141525,-1.0
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,0.013652234975530763,13,3364552233369245243,descriptive_grid_not_independent_N,6.29814045861957e-17,1.8515324601178412e-16,1.332103965966679,0.013652234975530763,numeric/hard-factorized-cosine-6400/seed-101/step-800/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,0,101,800,6.7676611056141525,1.0
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,0.000240513702347749,13,248099019541374752,descriptive_grid_not_independent_N,4.978042602917123e-17,2.1027101588803978e-16,0.441496154222015,0.00020481994803202026,numeric/hard-factorized-cosine-6400/seed-101/step-3200/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,800,101,3200,4.851594196771447,1.0
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,0.00011019081790648576,13,4418682609562339369,descriptive_grid_not_independent_N,4.5981329580687856e-17,2.1646783150530104e-16,0.005444868595784043,0.00010865538120004352,numeric/hard-factorized-cosine-6400/seed-101/step-6400/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,3200,101,6400,0.9060233864532736,1.0
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,1.3871767128551378,13,3944954302134432369,descriptive_grid_not_independent_N,2.979759123967414e-17,1.7184725639267286e-16,2.536748323849061,0.4934087026857642,numeric/hard-factorized-cosine-6400/seed-102/step-0/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,800,102,0,6.725602225290818,-1.0
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,0.034457524197453904,13,5379335415691685795,descriptive_grid_not_independent_N,3.347735998093209e-17,2.1199910652338668e-16,0.8040686380759077,0.032770256577084905,numeric/hard-factorized-cosine-6400/seed-102/step-800/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,0,102,800,6.725602225290818,1.0
