analysis_status,arm_name,cell_id,coherence,effective_rank,episode_count,feature_dimensionality_sum,global_offdiagonal_token_cosine,gram_offdiag_rms,query_distractor_mean_cosine,query_target_cosine,query_target_minus_distractor_cosine,row_norm_cv,row_norm_mean,seed,site,step,token_covariance_effective_rank,welch_bound
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.8437610041666778,6.5251817562558685,,6.787612494582763,,0.3548774418101698,,,,1.2912107079770851e-08,0.9999999997122113,100,codebook,0,,0.3110855084191276
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.04836243737978813,,-0.012995937728406171,0.4014431284542506,0.4144390661826568,,,100,input_embeddings,0,2.4186807147199945,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.19772766359016775,,0.20041622883910598,0.42542756133607884,0.22501133249697286,,,100,layers.0.post_ffn_residual,0,2.3353992313008356,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.30545590552216284,,0.3213909828056374,0.5358743318965997,0.21448334909096234,,,100,layers.1.post_ffn_residual,0,2.313388170255876,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.9380129289599658,4.924332217993095,,5.013776475221648,,0.4186784450049886,,,,0.09921114469133752,1.2265976101303573,100,codebook,800,,0.3110855084191276
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.01259176408535879,,-0.0778395273553472,0.45935299429544163,0.5371925216507888,,,100,input_embeddings,800,2.3320946089688617,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.07729951648572744,,-0.00985356447108035,0.5625600089649148,0.5724135734359951,,,100,layers.0.post_ffn_residual,800,1.8091900735859072,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.1313473060954065,,0.03425103477833143,0.887753914660432,0.8535028798821005,,,100,layers.1.post_ffn_residual,800,1.2150241847728633,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.9270283619799792,4.946724981489525,,4.985682553457021,,0.4177380489041111,,,,0.07526289057736678,1.331128585167524,100,codebook,3200,,0.3110855084191276
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.01015536571234254,,-0.08728229610113208,0.5074341036292362,0.5947163997303684,,,100,input_embeddings,3200,2.6517434638797788,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.04249446443705705,,-0.044513631960080166,0.6560253993769334,0.7005390313370136,,,100,layers.0.post_ffn_residual,3200,1.7030566735249804,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.08159539122111277,,-0.026037228672603965,0.9814816383250442,1.0075188669976483,,,100,layers.1.post_ffn_residual,3200,1.1055394791227338,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.9441965454132998,5.0017573820621255,,5.037914200844307,,0.4150193577558052,,,,0.07086339673902159,1.454620087016386,100,codebook,6400,,0.3110855084191276
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.02010020820751699,,-0.05165103974773044,0.5595288291672751,0.6111798689150055,,,100,input_embeddings,6400,2.69999004315484,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.04305599535918492,,-0.0391963503693972,0.6787765159805323,0.7179728663499295,,,100,layers.0.post_ffn_residual,6400,1.817465399793653,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.07543964908005332,,-0.03484666866394352,0.9854769644558867,1.0203236331198302,,,100,layers.1.post_ffn_residual,6400,1.0767117929650118,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.897881674778429,6.836804740995427,,7.0276436240795555,,0.3445684098909957,,,,1.5183246145193736e-08,0.9999999967598305,101,codebook,0,,0.3110855084191276
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.06410898860282255,,-0.16156339552301083,0.03176467317024678,0.1933280686932576,,,101,input_embeddings,0,2.398605225767774,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.16329862817810897,,0.03250918209385986,0.18153297517457223,0.14902379308071237,,,101,layers.0.post_ffn_residual,0,2.4503595187669065,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.14556168529326913,,-0.006108358995898596,0.13027823799409782,0.13638659698999642,,,101,layers.1.post_ffn_residual,0,2.4538030104828024,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.9107794424131608,4.403831991810881,,4.52955273113178,,0.4440184015323586,,,,0.10873404573297725,1.2222708513936462,101,codebook,800,,0.3110855084191276
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.07490123563675831,,-0.1029721278370031,0.30094416157675075,0.40391628941375385,,,101,input_embeddings,800,2.3729532585914157,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.10853347296834644,,-0.015771009892432995,0.4299547332281718,0.4457257431206048,,,101,layers.0.post_ffn_residual,800,2.141335976284431,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.12240486999663154,,0.03110570268226784,0.8104572187297565,0.7793515160474886,,,101,layers.1.post_ffn_residual,800,1.2456560423924192,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.9331801198738278,4.288241662565971,,4.372817051187939,,0.4484600942924403,,,,0.13725934567373968,1.3550577136941393,101,codebook,3200,,0.3110855084191276
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.02184861528941723,,-0.0691863608177828,0.4195339298576094,0.4887202906753922,,,101,input_embeddings,3200,2.4972423352867086,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.02727397668582346,,-0.0719502552189221,0.4081070516486137,0.4800573068675358,,,101,layers.0.post_ffn_residual,3200,2.1567431479784593,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.07175110246484573,,-0.03436227590301137,0.9676902489364954,1.0020525248395067,,,101,layers.1.post_ffn_residual,3200,1.0681876625072007,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.9440964202622506,4.265758817583931,,4.348464936375728,,0.45077459975876555,,,,0.1546463384271944,1.4681244898162316,101,codebook,6400,,0.3110855084191276
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.019550510161232798,,-0.06801787670386725,0.4494010682748304,0.5174189449786977,,,101,input_embeddings,6400,2.582333526860756,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.025483128964955942,,-0.06334730980578965,0.40899280985989495,0.47234011966568457,,,101,layers.0.post_ffn_residual,6400,2.3159794246350676,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.07322451830894039,,-0.03726241174248463,0.9734677281102967,1.0107301398527813,,,101,layers.1.post_ffn_residual,6400,1.050515763764872,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.9172356781611094,6.506299868969615,,6.699459607356197,,0.3555236962002777,,,,1.566949436241312e-08,1.0000000011274328,102,codebook,0,,0.3110855084191276
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.17240044747297967,,0.019568255693235802,0.36684444224277657,0.3472761865495408,,,102,input_embeddings,0,2.4884052730238233,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.453294305250669,,0.30196870644015394,0.5595017002595205,0.25753299381936656,,,102,layers.0.post_ffn_residual,0,2.3975425783624575,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.42510473994968784,,0.321992501926783,0.5723406657012711,0.25034816377448804,,,102,layers.1.post_ffn_residual,0,2.261555687771228,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.8808369805540426,4.421375660397105,,4.620631409990115,,0.4496404357734066,,,,0.08475181019546417,1.128402766116633,102,codebook,800,,0.3110855084191276
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.03506418183709477,,-0.1252237002049669,0.36708646683355595,0.4923101670385228,,,102,input_embeddings,800,2.5061147109040407,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.17668935710449518,,-0.03498196714058199,0.4946426804071558,0.5296246475477377,,,102,layers.0.post_ffn_residual,800,1.9533696317629623,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.19391657114299762,,0.08207976383663129,0.8314010799629614,0.7493213161263301,,,102,layers.1.post_ffn_residual,800,1.282347556148169,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.8843512795195336,4.036075662757117,,4.419764625737773,,0.464679117200627,,,,0.11643766585331619,1.250274329584105,102,codebook,3200,,0.3110855084191276
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.01752266794896333,,-0.16863047739370185,0.4119233907377619,0.5805538681314637,,,102,input_embeddings,3200,2.517529833906563,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.10013647756873961,,-0.12750118763412643,0.5056507726170387,0.6331519602511652,,,102,layers.0.post_ffn_residual,3200,1.8702262930099867,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.16559569553123488,,-0.018824233943121944,0.7345746217676377,0.7533988557107596,,,102,layers.1.post_ffn_residual,3200,1.1635946290910208,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.8979797416498089,3.8348060650062763,,4.2629121409991,,0.4672770284397737,,,,0.1432251291283664,1.351060688115121,102,codebook,6400,,0.3110855084191276
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.02002314156159436,,-0.1667562946543437,0.4289151621099596,0.5956714567643033,,,102,input_embeddings,6400,2.4560857243687133,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.11045674008863438,,-0.09256151687818012,0.5228203586452279,0.6153818755234081,,,102,layers.0.post_ffn_residual,6400,1.7347754747018858,
exploratory,hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,,,256,,0.17930063156414697,,-0.06814215407024354,0.5925997615386358,0.6607419156088794,,,102,layers.1.post_ffn_residual,6400,1.1494904858691668,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,0.8437610041666778,6.5251817562558685,,6.787612494582763,,0.3548774418101698,,,,1.2912107079770851e-08,0.9999999997122113,100,codebook,0,,0.3110855084191276
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.04836243737978813,,-0.012995937728406171,0.4014431284542506,0.4144390661826568,,,100,input_embeddings,0,2.4186807147199945,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.19772766359016775,,0.20041622883910598,0.42542756133607884,0.22501133249697286,,,100,layers.0.post_ffn_residual,0,2.3353992313008356,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.30545590552216284,,0.3213909828056374,0.5358743318965997,0.21448334909096234,,,100,layers.1.post_ffn_residual,0,2.313388170255876,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,0.9380129289599658,4.924332217993095,,5.013776475221648,,0.4186784450049886,,,,0.09921114469133752,1.2265976101303573,100,codebook,800,,0.3110855084191276
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.01259176408535879,,-0.0778395273553472,0.45935299429544163,0.5371925216507888,,,100,input_embeddings,800,2.3320946089688617,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.07729951648572744,,-0.00985356447108035,0.5625600089649148,0.5724135734359951,,,100,layers.0.post_ffn_residual,800,1.8091900735859072,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.1313473060954065,,0.03425103477833143,0.887753914660432,0.8535028798821005,,,100,layers.1.post_ffn_residual,800,1.2150241847728633,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,0.9122398904180214,4.941312917294238,,4.97624266555,,0.4181646983829985,,,,0.07160483047164116,1.3151782666855814,100,codebook,3200,,0.3110855084191276
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.011077295299260895,,-0.09246386593997372,0.5105348348905565,0.6029987008305302,,,100,input_embeddings,3200,2.6171104211337317,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.04758478136897247,,-0.04267851795557514,0.647850845137544,0.6905293630931191,,,100,layers.0.post_ffn_residual,3200,1.733232904845631,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.07938867255232662,,-0.02918662248571876,0.9794346599220196,1.0086212824077383,,,100,layers.1.post_ffn_residual,3200,1.108094753453606,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,0.8978055433654463,4.929709382911081,,4.964283636892576,,0.41861245583125767,,,,0.06954675886107467,1.323038944406373,100,codebook,6400,,0.3110855084191276
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.010803892132542885,,-0.09744646491875053,0.5154782179156758,0.6129246828344264,,,100,input_embeddings,6400,2.633616103112764,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.04273034494675569,,-0.04894753568242237,0.6568026363553275,0.7057501720377499,,,100,layers.0.post_ffn_residual,6400,1.7056329535593906,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.07633515755115323,,-0.03341178747344809,0.9870241731335962,1.0204359606070443,,,100,layers.1.post_ffn_residual,6400,1.0863127364034053,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,0.897881674778429,6.836804740995427,,7.0276436240795555,,0.3445684098909957,,,,1.5183246145193736e-08,0.9999999967598305,101,codebook,0,,0.3110855084191276
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.06410898860282255,,-0.16156339552301083,0.03176467317024678,0.1933280686932576,,,101,input_embeddings,0,2.398605225767774,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.16329862817810897,,0.03250918209385986,0.18153297517457223,0.14902379308071237,,,101,layers.0.post_ffn_residual,0,2.4503595187669065,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.14556168529326913,,-0.006108358995898596,0.13027823799409782,0.13638659698999642,,,101,layers.1.post_ffn_residual,0,2.4538030104828024,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,0.9107794424131608,4.403831991810881,,4.52955273113178,,0.4440184015323586,,,,0.10873404573297725,1.2222708513936462,101,codebook,800,,0.3110855084191276
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.07490123563675831,,-0.1029721278370031,0.30094416157675075,0.40391628941375385,,,101,input_embeddings,800,2.3729532585914157,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.10853347296834644,,-0.015771009892432995,0.4299547332281718,0.4457257431206048,,,101,layers.0.post_ffn_residual,800,2.141335976284431,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.12240486999663154,,0.03110570268226784,0.8104572187297565,0.7793515160474886,,,101,layers.1.post_ffn_residual,800,1.2456560423924192,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,0.9413599229189491,4.286929542318949,,4.383180890601705,,0.4477088879504083,,,,0.1340770834199245,1.3259494491086539,101,codebook,3200,,0.3110855084191276
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.024390089558912018,,-0.0669113593595461,0.4227785411966234,0.4896899005561695,,,101,input_embeddings,3200,2.4414050448268614,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.027852215104927552,,-0.07859770801771901,0.4108142841069614,0.48941199212468045,,,101,layers.0.post_ffn_residual,3200,2.107243815395471,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.0741902821444535,,-0.03196759290442307,0.9691371076123624,1.0011047005167855,,,101,layers.1.post_ffn_residual,3200,1.0714397478585853,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,0.9482418123238986,4.254332837825442,,4.341761430748839,,0.45037647875400294,,,,0.13250321040059984,1.33404283925604,101,codebook,6400,,0.3110855084191276
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.026160250723755295,,-0.05548319496991938,0.44966407366936056,0.50514726863928,,,101,input_embeddings,6400,2.4524444982427602,
