step,time,mean_offdiagonal_cosine,mean_absolute_offdiagonal_cosine,mean_nearest_neighbor_cosine,high_alignment_pair_fraction,mean_resultant_length,gram_participation_rank,largest_gram_eigenvalue_fraction,mean_normalized_attention_entropy,max_unit_norm_error
0,0.0,0.014471164888359637,0.5133585692325378,0.970952626863911,0.05555555555555555,0.17282954879585555,2.794805579514649,0.43950595519409036,0.9630556188278192,2.220446049250313e-16
1,0.1,0.017877037392575686,0.5152797580115934,0.9711067645844793,0.05654761904761905,0.1822709759762006,2.7810700854360846,0.44393660886148606,0.9631146768936449,2.220446049250313e-16
2,0.2,0.02164111054133361,0.5173108729602354,0.9712710089415899,0.057539682539682536,0.19216651162240858,2.7664667910515375,0.44856626179602105,0.963186225333082,2.220446049250313e-16
3,0.30000000000000004,0.02579647120957329,0.5194685777333847,0.9714518979703171,0.057539682539682536,0.20253000110335187,2.750954621768477,0.4534005312910713,0.9632718446150121,2.220446049250313e-16
4,0.4,0.030378388133110196,0.5217505883264411,0.9716336563277433,0.05952380952380952,0.213374613809915,2.734495011485295,0.45844392327571215,0.9633732616585041,2.220446049250313e-16
5,0.5,0.03542428861747751,0.5241562286849414,0.9718160499915991,0.06299603174603174,0.22471267010969687,2.7170534146568475,0.4636994856219723,0.9634923571995992,2.220446049250313e-16
6,0.6000000000000001,0.04097369829352265,0.5267543758031429,0.9720116086869588,0.06498015873015874,0.23655545704482567,2.6986011364825817,0.4691684135618316,0.9636311725031016,2.220446049250313e-16
7,0.7000000000000001,0.04706813874172912,0.5294274226796774,0.9722198123408611,0.06696428571428571,0.24891303516266403,2.679117489689522,0.47484961041716506,0.9637919151979786,2.220446049250313e-16
8,0.8,0.053750978281425325,0.532180237245503,0.9724275906549047,0.0689484126984127,0.2617940397445634,2.658592262442804,0.4807392112189433,0.9639769639866044,2.220446049250313e-16
9,0.9,0.061067232102766614,0.534953353337157,0.9726347090566945,0.0744047619047619,0.2752054806888135,2.637028446965876,0.4868300828653297,0.9641888719385454,2.220446049250313e-16
10,1.0,0.0690633092875587,0.5378307500708513,0.9728434105299446,0.07738095238095238,0.28915254638328985,2.6144451303603353,0.49311132271539243,0.9644303680195491,2.220446049250313e-16
11,1.1,0.077786706168101,0.5407466476264482,0.9731293502207837,0.07886904761904762,0.30363841799782915,2.5908803864202072,0.4995677884329901,0.9647043564147894,2.220446049250313e-16
